[行业>三日涨幅]
+------------+--------+----------+-------+--------+------+---------+---------+
|    行业    |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+-------+--------+------+---------+---------+
|  食品饮料  | 002495 | 佳隆股份 | 27.3  | -313.0 | 10.2 |  11.0   |  15.4   |
| 非金属材料 | 603612 | 索通发展 | 206.2 |  32.6  | 10.0 |   2.8   |  21.2   |
|  铁路公路  | 000755 | 山西路桥 | 116.5 |  30.3  | 10.0 |  33.2   |  77.2   |
|  通用设备  | 300988 | 津荣天宇 | 40.2  |  54.2  | 20.0 |  25.2   |  20.3   |
|  通用设备  | 301063 | 海锅股份 | 28.0  |  82.2  | 14.8 |  23.7   |  24.9   |
|  通用设备  | 301268 |  铭利达  | 252.4 | 111.6  | 17.2 |  19.5   |  42.3   |
|  通用设备  | 300990 | 同飞股份 | 89.7  | 106.9  | 12.3 |  18.3   |  29.1   |
|  通用设备  | 600992 | 贵绳股份 | 37.4  | 187.2  | 10.0 |  18.1   |  11.2   |
|  通用设备  | 002965 | 祥鑫科技 | 74.2  |  54.4  | 10.0 |  16.8   |  42.8   |
|  通用设备  | 002843 | 泰嘉股份 | 43.0  |  69.5  | 10.0 |  16.2   |  17.1   |
|  通用设备  | 688017 | 绿的谐波 | 262.1 | 179.5  | 18.8 |  14.3   |  11.0   |
|  通信设备  | 300565 | 科信技术 | 55.1  | -108.8 | 16.1 |  21.0   |  54.8   |
|  贸易行业  | 600647 | 同达创业 | 28.4  | 111.3  | 10.0 |  11.8   |  12.6   |
|  贸易行业  | 301099 | 雅创电子 | 70.8  |  54.3  | 11.1 |   9.1   |  14.9   |
|  装修装饰  | 000055 | 方大集团 | 59.7  |  34.0  | 10.1 |  18.1   |  29.3   |
|  装修建材  | 002323 | 雅博股份 | 102.9 | 563.0  | 10.0 |  26.3   |  32.9   |
|  装修建材  | 001216 | 华瓷股份 | 33.7  |  24.1  | 10.0 |   8.3   |   7.6   |
|  装修建材  | 603661 | DR恒林股 | 31.2  |  10.7  | 10.0 |   8.3   |   9.8   |
|  综合行业  | 002591 | 恒大高新 | 22.5  | -206.2 | 10.0 |  33.0   |  51.5   |
|  综合行业  | 000652 | 泰达股份 | 67.0  | 431.8  | 9.9  |  14.4   |  14.4   |
|  综合行业  | 600784 | 鲁银投资 | 54.8  |  23.5  | 10.0 |   6.4   |  14.6   |
|  纺织服装  | 600630 | 龙头股份 | 29.1  | -39.2  | 10.0 |   9.4   |  -5.4   |
|  电网设备  | 688248 | 南网科技 | 230.4 | 1272.6 | 20.0 |  51.3   |  74.5   |
|  电网设备  | 301120 | 新特电气 | 66.0  | 107.5  | 20.0 |  34.8   |  47.1   |
|  电网设备  | 002882 |  金龙羽  | 50.1  |  28.9  | 10.0 |  17.9   |  21.1   |
|  电网设备  | 688663 |  新风光  | 54.8  |  79.5  | 13.0 |  17.8   |  21.3   |
|  电网设备  | 601126 | 四方股份 | 149.7 |  29.0  | 10.0 |  16.4   |  17.6   |
|  电网设备  | 601877 | 正泰电器 | 813.3 |  34.6  | 10.0 |   8.7   |  -0.5   |
|  电网设备  | 688676 | 金盘科技 | 152.0 |  90.5  | 13.0 |   7.9   |  19.2   |
|  电网设备  | 301031 | 中熔电气 | 98.2  |  73.9  | 9.8  |   7.7   |   4.9   |
|  电源设备  | 300693 | 盛弘股份 | 75.0  |  81.7  | 20.0 |  27.7   |  28.7   |
|  电源设备  | 002335 | 科华数据 | 169.5 |  43.2  | 10.0 |   4.6   |  10.0   |
|  电源设备  | 300870 |  欧陆通  | 47.7  | -40.5  | 12.1 |   4.2   |  10.8   |
|    电池    | 300068 | 南都电源 | 163.1 |  8.5   | 20.0 |  17.6   |  19.4   |
|    电池    | 688339 | 亿华通-U | 109.9 | -117.0 | 20.0 |  15.7   |  14.3   |
|    电池    | 300438 | 鹏辉能源 | 368.4 | 101.7  | 11.5 |  14.7   |  22.4   |
|    电池    | 300648 | 星云股份 | 65.0  | -50.8  | 10.3 |  12.3   |   9.7   |
|    电池    | 688819 | 天能股份 | 371.5 |  21.2  | 12.4 |  10.5   |   6.5   |
|    电池    | 002580 | 圣阳股份 | 43.1  |  50.1  | 9.9  |   8.6   |  11.0   |
|    电池    | 605378 | 野马电池 | 31.3  | 292.5  | 10.0 |   5.8   |   8.2   |
|  电子元件  | 002134 | 天津普林 | 29.2  | 220.4  | 10.0 |  19.9   |  19.0   |
|  电子元件  | 600237 | 铜峰电子 | 44.3  |  52.7  | 9.9  |  -5.4   |   0.6   |
|  电力行业  | 000155 | 川能动力 | 347.9 |  39.7  | 10.0 |   7.8   |   0.5   |
|  物流行业  | 001228 |  永泰运  | 57.9  |  28.8  | 10.0 |   8.9   |   6.8   |
|  消费电子  | 002993 | 奥海科技 | 112.4 |  26.9  | 10.0 |  18.7   |  26.4   |
|  消费电子  | 600898 | 国美通讯 | 18.9  | -45.4  | 9.9  |  11.8   |  10.8   |
|  消费电子  | 301135 | 瑞德智能 | 31.6  |  83.6  | 10.7 |  10.4   |  12.6   |
|  消费电子  | 002976 | 瑞玛精密 | 27.4  |  39.4  | 10.0 |  10.0   |  11.3   |
|  消费电子  | 300916 | 朗特智能 | 54.6  |  68.3  | 14.9 |   4.6   |  25.9   |
| 汽车零部件 | 603917 | 合力科技 | 55.3  | 119.6  | 10.0 |  33.1   |  45.0   |
| 汽车零部件 | 603586 |  金麒麟  | 27.1  |  72.4  | 10.0 |   9.2   |  10.3   |
| 汽车零部件 | 300585 | 奥联电子 | 30.7  | 372.4  | 10.0 |   7.4   |   1.9   |
| 汽车零部件 | 600218 | 全柴动力 | 46.5  |  32.1  | 10.0 |   6.0   |  15.3   |
| 汽车零部件 | 603109 | 神驰机电 | 37.1  | 392.3  | 10.0 |   4.8   |   4.3   |
|  汽车整车  | 000957 | 中通客车 | 137.6 | -97.5  | 10.0 |  19.4   |  20.9   |
|  橡胶制品  | 300547 | 川环科技 | 41.6  |  49.5  | 11.4 |   7.5   |  12.3   |
|  有色金属  | 301266 | 宇邦新材 | 65.6  |  81.5  | 10.7 |  20.0   |  24.6   |
|  有色金属  | 002824 | 和胜股份 | 105.6 |  52.3  | 10.0 |  11.6   |   4.1   |
|  文化传媒  | 600996 | 贵广网络 | 85.9  | 744.4  | 9.9  |  20.8   |  22.3   |
| 房地产开发 | 000631 | 顺发恒业 | 110.7 |  66.4  | 9.9  |  28.2   |  29.6   |
| 房地产开发 | 600657 | 信达地产 | 194.5 | 160.2  | 10.0 |  17.0   |   9.3   |
|  工程建设  | 002374 | 中锐股份 | 56.2  | 110.7  | 10.0 |  33.2   |  30.9   |
|  工程建设  | 300712 | 永福股份 | 140.2 | 207.9  | 13.9 |  28.3   |  32.0   |
|   小金属   | 688190 | 云路股份 | 100.3 |  65.4  | 13.8 |  12.6   |   8.6   |
