[行业>三日涨幅]
+--------------+--------+----------+--------+---------+------+---------+---------+
|     行业     |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+--------+---------+------+---------+---------+
|   食品饮料   | 603345 | 安井食品 | 429.8  |  52.6   | -4.3 |  -3.5   |  -4.2   |
|   风电设备   | 603507 | 振江股份 |  44.2  |  60.1   | -3.4 |   9.7   |   8.3   |
|   风电设备   | 600458 | 时代新材 |  81.9  |  26.5   | -3.1 |   7.5   |   6.1   |
|   风电设备   | 601218 | 吉鑫科技 |  52.7  |  51.9   | -4.4 |   6.1   |   8.2   |
|     银行     | 601166 | 兴业银行 | 3739.0 |   3.4   | -3.2 |  -6.1   |  -7.2   |
|     银行     | 601658 | 邮储银行 | 4361.0 |   4.4   | -3.7 |  -6.4   |  -7.1   |
|     银行     | 600036 | 招商银行 | 9200.0 |   6.4   | -3.8 |  -7.5   |  -8.3   |
|     银行     | 000001 | 平安银行 | 2595.0 |   5.0   | -4.3 |  -7.5   |  -8.0   |
|   铁路公路   | 000885 | 城发环境 |  63.5  |   7.1   | -5.5 |   6.9   |   8.2   |
|   铁路公路   | 600020 | 中原高速 |  73.7  |  13.1   | -4.7 |   6.5   |   7.2   |
|   铁路公路   | 600368 | 五洲交通 |  44.8  |   6.2   | -5.0 |   5.8   |   6.4   |
|   铁路公路   | 601107 | 四川成渝 | 123.9  |  12.3   | -4.3 |   2.8   |   3.0   |
|   铁路公路   | 000429 | 粤高速Ａ  | 157.6  |   9.2   | -4.6 |   2.2   |  -2.2   |
|   铁路公路   | 603069 | 海汽集团 |  93.1  | -142.8  | -3.7 |   1.8   |  -8.2   |
|   铁路公路   | 601188 | 龙江交通 |  42.2  |  17.9   | -4.5 |   1.3   |   2.9   |
|   铁路公路   | 600012 | 皖通高速 | 123.2  |   7.6   | -3.3 |   0.8   |   1.5   |
|   铁路公路   | 600548 |  深高速  | 207.4  |  12.6   | -3.9 |   0.5   |   1.2   |
|   铁路公路   | 600106 | 重庆路桥 |  56.9  |  94.2   | -3.2 |  -2.7   |   2.1   |
|   钢铁行业   | 002443 | 金洲管道 |  41.1  |  21.3   | -3.4 |  -1.5   |  -1.6   |
|   钢铁行业   | 600231 | 凌钢股份 |  73.0  |  14.4   | -3.8 |  -1.9   |  -1.5   |
|   钢铁行业   | 000825 | 太钢不锈 | 291.8  |   5.7   | -3.6 |  -4.1   |  -6.4   |
|   造纸印刷   | 000815 |  美利云  |  65.0  | -1183.9 | -3.8 |  -0.3   |  -1.7   |
|   通用设备   | 000595 | 宝塔实业 |  59.2  | -112.4  | -5.1 |  11.3   |  10.2   |
|   通用设备   | 000530 | 冰山冷热 |  40.2  |  -78.8  | -3.6 |   6.2   |   9.7   |
|   通用设备   | 002347 | 泰尔股份 |  23.2  |  853.4  | -3.4 |  -3.0   |  -3.0   |
|   通用设备   | 603969 | 银龙股份 |  40.9  |  36.0   | -4.1 |  -4.3   |   0.6   |
|   通信设备   | 000851 | 高鸿股份 |  59.3  |  720.0  | -3.2 |   6.3   |  12.9   |
|   通信设备   | 600355 | 精伦电子 |  15.6  |  -51.7  | -3.7 |  -5.1   |   0.0   |
|   通信服务   | 002231 | 奥维通信 |  20.0  |  160.4  | -3.4 |   5.3   |   3.8   |
|   通信服务   | 002115 | 三维通信 |  34.2  |  52.4   | -4.1 |   2.7   |   1.7   |
|   软件开发   | 002410 |  广联达  | 557.3  |  128.1  | -3.6 |  -7.1   |  -12.4  |
|   贸易行业   | 600153 | 建发股份 | 369.8  |   9.2   | -3.1 |   3.3   |   4.6   |
|   贸易行业   | 600301 | 南化股份 |  33.1  |  190.6  | -3.8 |   1.6   |   1.6   |
