[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 化学制品 | 600309 | 万华化学 | 2820.0 |  13.1   | -1.8 |  -2.9   |  -4.4   |
| 化学制品 | 002709 | 天赐材料 | 1138.0 |  19.0   | -2.3 |   1.9   |  -9.2   |
| 化学制品 | 300769 | 德方纳米 | 664.3  |  21.8   | -2.7 |   2.3   |  -6.9   |
| 化学制品 | 688005 | 容百科技 | 631.3  |  54.0   | 2.4  |   8.4   |  -3.8   |
| 化学制品 | 003022 | 联泓新科 | 540.5  |  125.8  | 7.8  |  17.5   |  12.5   |
| 化学制品 | 688065 | 凯赛生物 | 429.2  |  61.5   | -1.7 |  -6.5   |  -10.0  |
| 化学制品 | 600160 | 巨化股份 | 394.2  |  42.0   | 3.4  |  13.2   |   5.7   |
| 化学制品 | 688116 | 天奈科技 | 382.9  |  95.8   | -1.7 |   3.8   |  -6.8   |
| 化学制品 | 002407 |  多氟多  | 371.7  |  12.7   | -0.5 |   4.5   |  -11.7  |
| 化学制品 | 002497 | 雅化集团 | 359.3  |   8.8   | -0.7 |   1.2   |  -9.8   |
| 化学制品 | 300699 | 光威复材 | 354.5  |  42.7   | 3.0  |   7.5   |  12.7   |
| 化学制品 | 600378 | 昊华科技 | 354.4  |  39.8   | -3.6 |  -1.0   |  -3.8   |
| 化学制品 | 600352 | 浙江龙盛 | 328.9  |  17.5   | -1.8 |  -0.8   |  -0.6   |
| 化学制品 | 300285 | 国瓷材料 | 323.7  |  38.9   | 0.8  |   2.1   |  -3.9   |
| 化学制品 | 603026 | 石大胜华 | 273.7  |  15.2   | -7.7 |  -8.5   |  -17.3  |
| 化学制品 | 002326 | 永太科技 | 271.5  |  17.4   | 0.5  |   3.9   |  -8.6   |
| 化学制品 | 600299 |  安迪苏  | 248.1  |  14.5   | -1.8 |  -0.4   |  -4.5   |
| 化学制品 | 002408 | 齐翔腾达 | 216.0  |   9.7   | -0.4 |   1.5   |  -3.5   |
| 化学制品 | 300821 | 东岳硅材 | 199.3  |  20.6   | -2.5 |   0.5   |  -6.8   |
| 化学制品 | 603906 | 龙蟠科技 | 196.7  |  23.1   | -1.6 |   0.4   |  -8.4   |
| 化学制品 | 300343 | 联创股份 | 190.5  |  15.5   | 4.4  |  10.1   |  -2.1   |
| 化学制品 | 600500 | 中化国际 | 175.0  |  11.1   | 1.6  |   2.1   |  -4.2   |
| 化学制品 | 605589 | 圣泉集团 | 174.8  |  34.8   | -0.6 |   0.3   |  -7.2   |
| 化学制品 | 603379 | 三美股份 | 147.9  |  19.2   | 2.4  |   5.7   |   0.9   |
| 化学制品 | 600273 | 嘉化能源 | 143.0  |   6.1   | -1.3 |  -0.1   |  -10.2  |
| 化学制品 | 002226 | 江南化工 | 138.3  |  22.0   | -2.2 |  -1.3   |  -5.3   |
| 化学制品 | 688639 | 华恒生物 | 137.5  |  62.2   | -0.5 |  -2.3   |  -8.7   |
| 化学制品 | 688353 |  C华盛   | 131.9  |  21.5   | 4.4  |  21.9   |  21.9   |
| 化学制品 | 600370 |  三房巷  | 120.0  |   7.8   | -1.6 |  -4.0   |  -8.6   |
| 化学制品 | 300072 | 三聚环保 | 116.3  |  -16.5  | -3.5 |  -0.2   |  -9.9   |
| 化学制品 | 002810 | 山东赫达 | 112.4  |  29.2   | -2.0 |  -6.5   |  -9.7   |
| 化学制品 | 301216 | 万凯新材 | 101.9  |   8.8   | 2.3  |  -1.5   |  -2.8   |
| 化学制品 | 605399 | 晨光新材 | 100.7  |  13.2   | 0.1  |   3.0   |  -4.5   |
| 化学制品 | 688269 | 凯立新材 |  99.0  |  44.5   | 0.3  |  -0.1   |  -5.8   |
| 化学制品 | 300910 | 瑞丰新材 |  97.3  |  47.2   | 0.5  |   4.7   |  -0.8   |
| 化学制品 | 002549 | 凯美特气 |  97.3  |  43.2   | 3.2  |   4.8   |  -10.1  |
| 化学制品 | 605366 | 宏柏新材 |  90.9  |  18.9   | -0.4 |   2.3   |  -6.1   |
| 化学制品 | 688196 | 卓越新能 |  88.9  |  22.2   | 4.0  |   6.2   |  -2.3   |
| 化学制品 | 002440 | 闰土股份 |  88.6  |  10.5   | -3.3 |  -3.3   |  -4.9   |
| 化学制品 | 603916 |  苏博特  |  86.0  |  26.8   | -1.4 |  -7.0   |  -12.6  |
| 化学制品 | 300019 | 硅宝科技 |  83.5  |  48.9   | -2.3 |   2.6   |  -3.9   |
| 化学制品 | 000881 | 中广核技 |  80.8  |  53.0   | -3.4 |  -0.6   |  -3.3   |
| 化学制品 | 002455 | 百川股份 |  79.2  |  31.6   | -1.8 |  11.2   |   0.5   |
| 化学制品 | 688157 | 松井股份 |  78.8  |  98.3   | 1.8  |   5.9   |   3.1   |
| 化学制品 | 605020 | 永和股份 |  76.0  |  26.2   | 10.0 |  13.3   |  13.9   |
