[行业>市值]
+----------+--------+------------+--------+--------+-------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+--------+-------+---------+---------+
| 化学制药 | 600276 |  恒瑞医药  | 2376.0 |  48.0  | -3.4  |   1.0   |  -3.6   |
| 化学制药 | 600196 |  复星医药  | 1205.0 |  65.1  | -5.1  |   0.4   |  -1.7   |
| 化学制药 | 000963 |  华东医药  | 804.7  |  28.6  | -0.5  |   4.1   |   1.5   |
| 化学制药 | 002001 |   新和成   | 637.0  |  13.2  | -1.6  |  -1.6   |  -4.4   |
| 化学制药 | 603456 |  九洲药业  | 436.4  |  52.5  | -3.1  |  -2.3   |  -4.3   |
| 化学制药 | 300363 |  博腾股份  | 403.4  |  26.4  | -3.8  |  -2.4   |  -8.9   |
| 化学制药 | 603707 |  健友股份  | 316.5  |  24.0  | -1.5  |  -1.1   |  -12.0  |
| 化学制药 | 600521 |  华海药业  | 314.5  |  57.1  | -3.1  |  -1.5   |  -5.4   |
| 化学制药 | 000513 |  丽珠集团  | 308.1  |  13.9  | -3.0  |  -2.7   |  -6.5   |
| 化学制药 | 600062 |  华润双鹤  | 289.7  |  21.8  | -10.0 |  -3.6   |  -7.7   |
| 化学制药 | 600079 |  人福医药  | 289.2  |  7.8   | 10.0  |  11.9   |   8.3   |
| 化学制药 | 688690 |  纳微科技  | 284.8  | 116.9  | -0.8  |  -0.2   |  -6.9   |
| 化学制药 | 002294 |   信立泰   | 279.8  |  29.5  | -3.2  |  -2.2   |  -5.7   |
| 化学制药 | 002422 |  科伦药业  | 270.8  |  23.2  |  1.5  |   0.0   |   1.2   |
| 化学制药 | 002399 |   海普瑞   | 238.1  |  25.3  | -2.4  |  -3.4   |  -5.5   |
| 化学制药 | 300558 |  贝达药业  | 225.6  |  67.4  | -2.4  |  -1.1   |  -6.5   |
| 化学制药 | 000739 |  普洛药业  | 224.9  |  37.0  | -3.4  |  -2.6   |  -7.8   |
| 化学制药 | 600380 |   健康元   | 220.2  |  11.9  | -2.2  |  -3.4   |  -5.4   |
| 化学制药 | 603229 |  奥翔药业  | 195.8  |  69.2  | -10.0 |   3.6   |   5.0   |
| 化学制药 | 300725 |  药石科技  | 187.1  |  66.0  | -3.1  |   0.3   |  -7.4   |
| 化学制药 | 002653 |   海思科   | 175.6  | 167.6  | -3.3  |   1.5   |   0.3   |
| 化学制药 | 000756 |  新华制药  | 172.2  |  39.7  | -5.3  |  -5.8   |   0.2   |
| 化学制药 | 000623 |  吉林敖东  | 163.2  |  68.8  | -2.3  |  -3.0   |  -2.4   |
| 化学制药 | 688131 |  皓元医药  | 162.0  |  65.0  |  3.8  |   6.6   |  -2.7   |
| 化学制药 | 301089 |  拓新药业  | 157.9  | 138.8  | -10.2 |  -7.6   |  -4.0   |
| 化学制药 | 002019 |  亿帆医药  | 156.6  |  32.3  | -3.1  |  -4.1   |  -8.6   |
| 化学制药 | 688091 | 上海谊众-U | 152.5  | 124.0  | -5.2  |  -5.8   |  -14.3  |
| 化学制药 | 600267 |  海正药业  | 145.3  |  26.9  | -0.7  |  -2.6   |  -3.2   |
| 化学制药 | 300630 |  普利制药  | 134.8  |  20.8  | -2.8  |   1.6   |  -7.3   |
| 化学制药 | 688356 |  键凯科技  | 134.2  |  64.1  |  0.7  |   0.9   |  -5.0   |
| 化学制药 | 600216 |  浙江医药  | 131.9  |  12.7  |  2.2  |   2.2   |  -2.1   |
| 化学制药 | 002262 |  恩华药业  | 131.6  |  17.4  | -0.8  |  -1.7   |  -5.0   |
| 化学制药 | 605507 |  国邦医药  | 130.2  |  16.2  | -1.4  |  -0.3   |  -2.2   |
| 化学制药 | 300199 |  翰宇药业  | 129.7  | -56.3  | -4.9  |  -8.7   |  -1.1   |
| 化学制药 | 002773 |  康弘药业  | 129.1  |  10.9  | -2.5  |  -2.2   |  -4.1   |
| 化学制药 | 002099 |  海翔药业  | 116.9  |  33.6  |  0.1  |   0.1   |   4.0   |
| 化学制药 | 600812 |  华北制药  | 109.8  | 200.6  | -2.7  |  -4.5   |  -2.7   |
| 化学制药 | 300233 |  金城医药  | 108.5  |  24.1  | -1.5  |  -5.2   |  -0.5   |
| 化学制药 | 002793 |  罗欣药业  | 103.9  |  31.8  | -9.8  |  -7.8   |  -9.6   |
| 化学制药 | 688192 | 迪哲医药-U | 103.8  | -14.3  | -0.7  |  -0.8   |  -4.4   |
| 化学制药 | 002675 |  东诚药业  | 103.5  |  47.1  | -1.2  |  -0.7   |  -5.5   |
| 化学制药 | 688505 |  复旦张江  | 100.7  | 511.3  | -2.0  |   0.3   |  -1.9   |
| 化学制药 | 688553 | 汇宇制药-W | 100.4  |  21.1  | -1.6  |  -0.8   |  -2.2   |
| 化学制药 | 688321 |  微芯生物  |  99.1  | -663.9 | -2.0  |  -1.6   |  -5.0   |
| 化学制药 | 600420 |  国药现代  |  94.8  |  30.5  | -1.6  |  -2.3   |  -2.7   |
| 化学制药 | 605116 |   奥锐特   |  94.5  |  57.8  | -1.6  |  -1.1   |   2.6   |
| 化学制药 | 000915 |  华特达因  |  93.9  |  15.4  | -1.9  |  -1.4   |  -6.2   |
| 化学制药 | 300702 |  天宇股份  |  93.1  |  27.5  | -1.2  |  -1.1   |  -1.9   |
| 化学制药 | 688166 |  博瑞医药  |  89.3  |  36.8  | -4.7  |  -3.0   |  -8.5   |
| 化学制药 | 002102 |   ST冠福   |  89.3  |  19.4  | -0.3  |  -1.2   |  -3.4   |
| 化学制药 | 002332 |  仙琚制药  |  89.2  |  17.5  | -2.5  |  -0.1   |  -6.4   |
| 化学制药 | 300942 |  易瑞生物  |  87.6  |  19.2  | -2.0  |  -1.4   |  -3.4   |
| 化学制药 | 300573 |  兴齐眼药  |  87.2  |  29.4  | -2.3  |  -0.9   |  -8.2   |
| 化学制药 | 601089 |  福元医药  |  86.0  |  25.1  | -1.2  |  -0.3   |  -2.1   |
| 化学制药 | 688578 |  艾力斯-U  |  85.1  | -93.9  | -1.1  |  -0.9   |  -5.3   |
| 化学制药 | 600851 |  海欣股份  |  84.5  |  77.3  | -1.6  |  -0.3   |  -4.2   |
| 化学制药 | 002755 |   奥赛康   |  80.9  | 104.5  | -6.5  |  -5.0   |  -5.4   |
| 化学制药 | 688266 | 泽璟制药-U |  80.8  | -16.9  |  0.1  |   0.5   |  -6.3   |
| 化学制药 | 300723 |   一品红   |  79.9  |  25.0  | -2.4  |  -2.2   |  -3.8   |
| 化学制药 | 688658 |  XD悦康药  |  76.4  |  30.1  | -1.7  |  -1.0   |  -3.1   |
| 化学制药 | 300497 |  富祥药业  |  75.3  |  67.4  | -1.6  |  -3.1   |   1.6   |
| 化学制药 | 002020 |  京新药业  |  74.2  |  13.5  | -2.2  |  -2.2   |  -4.9   |
| 化学制药 | 603520 |   司太立   |  73.0  |  22.7  | -4.1  |  -4.9   |  -12.5  |
| 化学制药 | 002550 |  千红制药  |  72.4  |  14.1  | -4.2  |  -0.7   |  -3.2   |
| 化学制药 | 600664 |  哈药股份  |  72.2  |  18.0  | -4.7  |  -5.6   |  -4.0   |
| 化学制药 | 000813 |  德展健康  |  71.5  |  58.7  | -4.5  |  -4.8   |  -5.0   |
| 化学制药 | 000597 |  东北制药  |  69.3  |  25.4  | -4.1  |  -5.3   |  -5.9   |
| 化学制药 | 002435 |  长江健康  |  68.2  |  27.5  |  1.9  |   3.0   |  15.0   |
| 化学制药 | 300267 |  尔康制药  |  67.9  |  75.3  | -3.0  |  -4.9   |  -2.4   |
| 化学制药 | 300705 |  九典制药  |  66.4  |  29.7  | -0.3  |  -4.4   |  -3.2   |
| 化学制药 | 688513 |  苑东生物  |  64.8  |  30.1  | -0.1  |   1.5   |   0.5   |
| 化学制药 | 603538 |   美诺华   |  64.2  |  13.9  | -2.8  |  -3.6   |  -4.7   |
| 化学制药 | 300158 |  振东制药  |  62.4  | 170.4  | -4.4  |  -5.2   |  -4.9   |
| 化学制药 | 300436 |   广生堂   |  60.5  | -165.7 | 11.8  |  12.1   |  12.5   |
| 化学制药 | 002082 |   万邦德   |  59.8  |  60.4  | -5.0  |   0.8   |  -2.0   |
| 化学制药 | 600789 |  鲁抗医药  |  56.9  |  31.9  | -2.7  |  -3.4   |  -3.4   |
| 化学制药 | 688221 | 前沿生物-U |  56.5  | -23.8  |  1.3  |   7.2   |  10.2   |
| 化学制药 | 300255 |  常山药业  |  56.1  |  47.3  | -3.4  |  -2.3   |  -1.8   |
| 化学制药 | 600200 |  江苏吴中  |  55.9  | 183.3  |  2.6  |   6.5   |   2.4   |
| 化学制药 | 000566 |  海南海药  |  54.4  | -76.9  | -4.1  |  -6.9   |  -5.4   |
| 化学制药 | 603676 |   卫信康   |  54.0  |  34.7  |  6.3  |  28.7   |  23.0   |
| 化学制药 | 002437 |  誉衡药业  |  53.0  | 1326.7 | -4.4  |  -5.1   |  -4.0   |
| 化学制药 | 603367 |  辰欣药业  |  52.0  |  13.4  | -3.1  |  -2.2   |  -2.0   |
| 化学制药 | 603222 |  济民医疗  |  51.3  |  18.2  | -2.6  |  -1.0   |  -3.0   |
| 化学制药 | 000931 |   中关村   |  50.4  | -193.3 | -3.3  |   2.8   |   2.5   |
| 化学制药 | 600227 |   圣济堂   |  50.1  | -14.4  | -2.6  |  -3.3   |  -4.5   |
| 化学制药 | 000766 |  通化金马  |  49.5  | 213.7  | -1.4  |  -3.6   |   1.6   |
| 化学制药 | 300381 |   溢多利   |  49.3  | -38.8  |  0.1  |  -1.8   |  -3.5   |
| 化学制药 | 301211 |  亨迪药业  |  49.2  |  44.0  | -2.8  |  -1.4   |  -3.0   |
| 化学制药 | 603669 |  灵康药业  |  49.2  |  59.8  |  0.7  |  -5.4   |   2.9   |
| 化学制药 | 300636 |  同和药业  |  48.8  |  45.4  |  0.1  |   0.0   |  -2.0   |
| 化学制药 | 300006 |  莱美药业  |  47.7  | -45.2  | -1.3  |  -11.7  |  13.6   |
| 化学制药 | 600488 |  天药股份  |  47.2  |  52.3  | -3.6  |  -2.9   |  -1.6   |
| 化学制药 | 000788 |  北大医药  |  45.5  |  95.9  | -1.7  |  -3.2   |   0.4   |
| 化学制药 | 300110 |  华仁药业  |  45.5  |  45.4  | -1.3  |  -1.3   |  -2.0   |
| 化学制药 | 300194 |  福安药业  |  42.1  |  28.3  | -3.5  |  -3.3   |  -3.0   |
| 化学制药 | 688189 |  南新制药  |  41.6  |  88.1  |  0.1  |  -0.8   |   8.3   |
| 化学制药 | 002940 |   昂利康   |  41.0  |  26.2  | -0.2  |   1.4   |   5.8   |
| 化学制药 | 002900 |   哈三联   |  40.1  | -856.7 |  1.0  |  -1.6   |  -5.3   |
| 化学制药 | 688670 |   金迪克   |  39.8  | -376.4 | -2.6  |  -3.7   |  -11.9  |
| 化学制药 | 002923 |  润都股份  |  39.4  |  25.8  | -2.0  |   0.4   |  -2.6   |
| 化学制药 | 301258 |   富士莱   |  38.0  |  23.8  |  0.3  |   3.7   |   0.4   |
| 化学制药 | 300434 |  金石亚药  |  37.5  |  14.1  | -1.8  |  -2.9   |  -4.2   |
| 化学制药 | 002393 |  力生制药  |  37.3  |  22.2  | -4.6  |  -2.8   |  -2.0   |
| 化学制药 | 002365 |  永安药业  |  36.5  |  18.0  | -0.8  |   0.7   |  -2.4   |
| 化学制药 | 300016 |  北陆药业  |  35.2  |  22.4  | -3.4  |  -3.2   |  -3.9   |
| 化学制药 | 300584 |  海辰药业  |  35.0  |  69.3  | -3.9  |  -4.2   |  -2.3   |
| 化学制药 | 003020 |  立方制药  |  34.8  |  18.5  | -2.3  |  -2.3   |   0.8   |
| 化学制药 | 300111 |   向日葵   |  34.6  | -124.1 |  1.3  |   4.0   |   5.1   |
| 化学制药 | 688566 |   吉贝尔   |  33.8  |  29.6  | -0.4  |   0.8   |   0.8   |
| 化学制药 | 300966 |  共同药业  |  33.0  |  63.3  | -1.6  |   1.7   |   0.5   |
| 化学制药 | 300452 |  山河药辅  |  31.4  |  23.2  | -0.4  |   2.5   |  -1.5   |
| 化学制药 | 600613 |  神奇制药  |  31.3  |  33.3  | -2.5  |  -2.3   |   0.3   |
| 化学制药 | 603811 |  诚意药业  |  31.2  |  26.9  | -3.5  |  -1.8   |  -1.0   |
| 化学制药 | 300086 |  康芝药业  |  31.1  | -16.8  | -1.6  |   2.2   |  10.9   |
| 化学制药 | 301130 |  西点药业  |  30.6  |  96.7  | -2.5  |  -2.0   |  -2.3   |
| 化学制药 | 000908 |  景峰医药  |  28.7  | 214.8  | -5.5  |  -6.0   |  -5.5   |
| 化学制药 | 688799 |  华纳药厂  |  28.2  |  20.7  | -3.9  |   0.9   |   0.2   |
| 化学制药 | 603351 |  威尔药业  |  28.1  |  25.5  | -3.3  |  -3.3   |  -7.0   |
| 化学制药 | 600513 |  联环药业  |  27.9  |  23.0  | -5.0  |  -4.6   |  -6.2   |
| 化学制药 | 002370 |  亚太药业  |  27.3  | -23.6  | -4.0  |  -5.4   |  -2.5   |
| 化学制药 | 603168 |  莎普爱思  |  26.7  |  24.2  | -4.2  |  -0.4   |   0.1   |
| 化学制药 | 000153 |  丰原药业  |  25.2  |  17.6  | -2.7  |  -1.7   |  -2.9   |
| 化学制药 | 000952 |  广济药业  |  24.3  |  72.8  | -3.9  |  -3.9   |  -4.8   |
| 化学制药 | 300583 |  赛托生物  |  24.2  |  47.5  | -3.5  |   2.0   |   0.6   |
| 化学制药 | 605177 |  东亚药业  |  23.0  |  25.6  | -3.6  |   0.1   |  -1.1   |
| 化学制药 | 688117 |  圣诺生物  |  22.8  |  39.9  | -1.8  |  -1.6   |  -1.5   |
| 化学制药 | 000953 |  河化股份  |  21.5  | -376.0 | -2.8  |  -5.0   |   0.5   |
| 化学制药 | 301075 |  多瑞医药  |  20.8  |  58.3  | -3.8  |  -4.3   |  -1.5   |
| 化学制药 | 002898 |  赛隆药业  |  20.3  | 396.4  | -4.2  |  -5.8   |  -6.9   |
| 化学制药 | 300254 |  仟源医药  |  16.7  | -270.5 | -5.7  |  -6.0   |  -4.0   |
| 化学制药 | 600781 |  *ST辅仁   |  13.5  |  -1.9  | -4.9  |   0.9   |  -1.8   |
+----------+--------+------------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+------------+--------+--------+-------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+--------+-------+---------+---------+
| 化学制药 | 300436 |   广生堂   |  60.5  | -165.7 | 11.8  |  12.1   |  12.5   |
| 化学制药 | 600079 |  人福医药  | 289.2  |  7.8   | 10.0  |  11.9   |   8.3   |
| 化学制药 | 603676 |   卫信康   |  54.0  |  34.7  |  6.3  |  28.7   |  23.0   |
| 化学制药 | 688131 |  皓元医药  | 162.0  |  65.0  |  3.8  |   6.6   |  -2.7   |
| 化学制药 | 600200 |  江苏吴中  |  55.9  | 183.3  |  2.6  |   6.5   |   2.4   |
| 化学制药 | 600216 |  浙江医药  | 131.9  |  12.7  |  2.2  |   2.2   |  -2.1   |
| 化学制药 | 002435 |  长江健康  |  68.2  |  27.5  |  1.9  |   3.0   |  15.0   |
| 化学制药 | 002422 |  科伦药业  | 270.8  |  23.2  |  1.5  |   0.0   |   1.2   |
| 化学制药 | 300111 |   向日葵   |  34.6  | -124.1 |  1.3  |   4.0   |   5.1   |
| 化学制药 | 688221 | 前沿生物-U |  56.5  | -23.8  |  1.3  |   7.2   |  10.2   |
| 化学制药 | 002900 |   哈三联   |  40.1  | -856.7 |  1.0  |  -1.6   |  -5.3   |
| 化学制药 | 603669 |  灵康药业  |  49.2  |  59.8  |  0.7  |  -5.4   |   2.9   |
| 化学制药 | 688356 |  键凯科技  | 134.2  |  64.1  |  0.7  |   0.9   |  -5.0   |
| 化学制药 | 301258 |   富士莱   |  38.0  |  23.8  |  0.3  |   3.7   |   0.4   |
