[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 商业百货 | 601933 | 永辉超市 | 332.1 |  16.5  | -10.1 |  -14.3  |  -12.9  |
| 商业百货 | 600415 | 小商品城 | 288.8 |  10.7  | -2.4  |  -2.4   |  -6.2   |
| 商业百货 | 600859 |  王府井  | 265.3 |  17.6  | -2.3  |  -0.6   |  -0.8   |
| 商业百货 | 000785 | 居然之家 | 257.9 |  12.8  | -2.0  |  -3.0   |  -4.1   |
| 商业百货 | 601828 |  美凯龙  | 222.1 |  8.0   | -5.0  |  -5.7   |  -8.9   |
| 商业百货 | 600827 | 百联股份 | 201.3 |  32.4  | -3.3  |  -4.3   |  -6.1   |
| 商业百货 | 000564 |  ST大集  | 191.6 | 397.1  |  1.0  |   2.0   |   0.0   |
| 商业百货 | 002024 |  ST易购  | 189.0 |  -4.6  |  0.5  |  -2.4   |  -3.3   |
| 商业百货 | 301078 |  孩子王  | 167.8 | -129.3 |  0.8  |   5.5   |   4.2   |
| 商业百货 | 600682 | 南京新百 | 123.8 |  14.7  | -3.1  |  -2.5   |  -5.2   |
| 商业百货 | 002416 |  爱施德  | 108.7 |  13.6  | -3.6  |  -3.2   |  -6.2   |
| 商业百货 | 603123 | XD翠微股 | 91.9  |  35.1  | -6.6  |  -7.4   |  -6.9   |
| 商业百货 | 600729 | 重庆百货 | 89.5  |  5.4   | -1.9  |  -3.9   |  -2.8   |
| 商业百货 | 002818 |  富森美  | 87.4  |  9.7   |  0.9  |  -1.3   |  -3.2   |
| 商业百货 | 000501 | 武商集团 | 81.7  |  11.6  | -2.7  |  -5.5   |  -0.9   |
| 商业百货 | 603708 |  家家悦  | 75.4  |  14.4  | -2.2  |  -5.9   |  -7.6   |
| 商业百货 | 002419 | 天虹股份 | 72.1  |  6.5   | -5.7  |  -5.7   |  -7.8   |
| 商业百货 | 000906 | 浙商中拓 | 69.5  |  10.4  |  4.5  |   3.4   |   2.0   |
| 商业百货 | 000058 |  深赛格  | 66.6  |  49.4  | -6.4  |  -12.3  |  -10.0  |
| 商业百货 | 600861 | 北京城乡 | 66.0  | -84.4  | -2.3  |  -5.2   |  -5.9   |
| 商业百货 | 002697 | 红旗连锁 | 65.5  |  13.4  | -3.2  |  -4.5   |  -4.5   |
| 商业百货 | 002277 | 友阿股份 | 57.0  |  23.7  | -3.8  |  -6.0   |  -10.7  |
| 商业百货 | 002344 | 海宁皮城 | 56.8  |  9.9   | -2.9  |  -4.3   |  -2.2   |
| 商业百货 | 600828 | 茂业商业 | 56.3  |  34.2  | -3.9  |  -3.9   |  -3.9   |
| 商业百货 | 605136 | 丽人丽妆 | 55.4  | 109.0  | -3.3  |  -4.0   |  -5.5   |
| 商业百货 | 002251 |  步步高  | 53.6  |  47.7  | -4.8  |  -4.5   |  -3.3   |
| 商业百货 | 002187 | 广百股份 | 52.9  |  45.0  | -6.0  |  -7.7   |  -5.2   |
| 商业百货 | 601116 | 三江购物 | 52.1  |  27.5  | -5.6  |  -4.6   |  -3.8   |
| 商业百货 | 600790 |  轻纺城  | 51.7  |  17.3  | -1.1  |   0.0   |  -0.6   |
| 商业百货 | 600694 | 大商股份 | 49.8  |  5.3   | -1.7  |  -2.6   |  -2.8   |
| 商业百货 | 601366 | 利群股份 | 49.8  | -49.0  | -0.3  |  -0.8   |  -3.0   |
| 商业百货 | 000882 | 华联股份 | 49.5  | 543.3  | -6.7  |  -8.6   |  -6.2   |
| 商业百货 | 601010 | 文峰股份 | 48.4  | -50.4  | -9.7  |  -10.3  |  -9.7   |
| 商业百货 | 600738 | 丽尚国潮 | 48.2  |  5.2   | -2.5  |  -7.2   |  -11.6  |
| 商业百货 | 600361 | 华联综超 | 46.5  |  55.9  | -2.6  |  -0.1   |  10.6   |
| 商业百货 | 603031 | 安孚科技 | 44.8  |  32.4  | -3.9  |  -1.6   |  -2.2   |
| 商业百货 | 600628 |  新世界  | 44.8  | 106.6  | -3.5  |  -3.8   |  -3.5   |
| 商业百货 | 600814 | 杭州解百 | 44.3  |  11.8  | -1.8  |  -3.1   |  -4.5   |
| 商业百货 | 300622 | 博士眼镜 | 44.2  | 160.2  | -0.6  |   2.6   |   6.9   |
| 商业百货 | 002561 |  徐家汇  | 40.7  |  48.2  | -3.9  |  -5.0   |  -1.5   |
| 商业百货 | 600824 | 益民集团 | 37.2  |  25.6  | -3.5  |  -5.1   |  -2.8   |
