[行业>市值]
+--------+--------+----------+--------+--------+------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+------+---------+---------+
| 小金属 | 600111 | 北方稀土 | 1136.0 |  18.2  | -2.2 |  -0.3   |  -5.5   |
| 小金属 | 603993 | 洛阳钼业 | 1112.0 |  15.5  | 0.2  |  -1.5   |  -4.1   |
| 小金属 | 002738 | 中矿资源 | 418.5  |  13.5  | -0.5 |  -1.5   |  -10.9  |
| 小金属 | 002056 | 横店东磁 | 379.2  |  25.9  | -3.8 |   2.1   |  -8.6   |
| 小金属 | 300748 | 金力永磁 | 366.8  |  56.0  | 1.2  |   8.9   |   2.0   |
| 小金属 | 600392 | 盛和资源 | 358.3  |  12.6  | -1.4 |   1.3   |  -6.2   |
| 小金属 | 600549 | 厦门钨业 | 298.9  |  16.4  | -2.4 |  -0.5   |  -8.0   |
| 小金属 | 000831 | 五矿稀土 | 279.7  |  41.6  | -1.8 |  -1.0   |  -7.0   |
| 小金属 | 600456 | 宝钛股份 | 269.0  |  34.8  | -2.6 |   0.3   |  -9.9   |
| 小金属 | 601958 | 金钼股份 | 262.3  |  23.9  | -4.6 |  -6.3   |  -8.1   |
| 小金属 | 000960 | 锡业股份 | 248.0  |  5.1   | -5.9 |  -7.0   |  -10.6  |
| 小金属 | 000970 | 中科三环 | 226.7  |  34.1  | 3.9  |  10.2   |  -3.4   |
| 小金属 | 600259 | 广晟有色 | 169.9  |  52.2  | -0.8 |  -2.1   |  -3.0   |
| 小金属 | 000657 | 中钨高新 | 163.7  |  38.0  | 1.1  |   3.0   |  -6.0   |
| 小金属 | 600206 | 有研新材 | 139.6  |  33.5  | 2.0  |  -0.9   |  -10.8  |
| 小金属 | 605376 | 博迁新材 | 131.4  |  76.5  | -0.2 |   4.1   |  -11.7  |
| 小金属 | 300224 | 正海磁材 | 128.8  |  38.5  | 1.7  |   7.5   |  -0.8   |
| 小金属 | 600366 | 宁波韵升 | 128.4  |  43.5  | 4.3  |   9.8   |  -3.1   |
| 小金属 | 603399 | 吉翔股份 | 117.9  | 1516.1 | -2.6 |  -2.5   |  -10.0  |
| 小金属 | 300811 | 铂科新材 | 103.1  |  79.8  | -1.3 |   6.6   |  -3.1   |
| 小金属 | 688190 | 云路股份 | 101.0  |  65.9  | 0.7  |  15.6   |   5.7   |
| 小金属 | 600459 | 贵研铂业 |  97.1  |  12.8  | -1.7 |   0.9   |  -7.5   |
| 小金属 | 002057 | 中钢天源 |  91.5  |  37.0  | 2.7  |  17.4   |  11.4   |
| 小金属 | 000795 |  英洛华  |  84.5  |  37.0  | -0.3 |   3.9   |  -5.5   |
| 小金属 | 002428 | 云南锗业 |  73.9  | 211.6  | -0.9 |  -1.6   |  -7.5   |
| 小金属 | 002378 | 章源钨业 |  71.2  |  27.1  | 0.4  |   0.8   |  -5.9   |
| 小金属 | 688077 |  大地熊  |  68.4  |  32.7  | 2.5  |  12.8   |  -1.5   |
| 小金属 | 002149 | 西部材料 |  66.3  |  78.8  | -1.1 |   1.6   |  -2.9   |
| 小金属 | 300328 | 宜安科技 |  60.8  | 178.7  | 3.3  |   4.0   |  -2.2   |
| 小金属 | 300127 | 银河磁体 |  58.9  |  40.2  | -1.3 |   7.0   |  -3.1   |
| 小金属 | 002167 | 东方锆业 |  56.2  |  23.4  | -2.3 |  -1.1   |  -5.0   |
| 小金属 | 000962 | 东方钽业 |  43.6  |  22.0  | -3.2 |  -0.6   |  -7.1   |
| 小金属 | 300835 | 龙磁科技 |  43.6  |  39.1  | -2.2 |   5.6   |  -9.2   |
