[行业>市值]
+--------------+--------+----------+------+--------+-------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+-------+---------+---------+
| 工程咨询服务 | 300284 |  苏交科  | 81.3 |  46.1  | -4.2  |  -5.2   |   1.4   |
| 工程咨询服务 | 000928 | 中钢国际 | 73.5 |  14.3  | -5.0  |  -5.9   |  -8.4   |
| 工程咨询服务 | 603018 | 华设集团 | 64.5 |  17.3  | -3.9  |  -7.4   |   2.8   |
| 工程咨询服务 | 301091 |  深城交  | 63.1 | -41.5  |  1.1  |  -11.7  |  18.4   |
| 工程咨询服务 | 003013 | 地铁设计 | 63.0 |  16.7  | -2.0  |  -1.9   |  -2.7   |
| 工程咨询服务 | 603959 | 百利科技 | 62.7 |  50.9  | -2.4  |   5.8   |   0.8   |
| 工程咨询服务 | 600629 | 华建集团 | 56.2 |  16.1  | -3.6  |  -4.9   |  -1.7   |
| 工程咨询服务 | 603357 | 设计总院 | 52.2 |  11.7  | -3.8  |  -6.9   |   3.2   |
| 工程咨询服务 | 300492 | 华图山鼎 | 49.3 | 905.9  | -2.4  |  -3.6   |  -2.5   |
| 工程咨询服务 | 301136 | 招标股份 | 48.4 | 136.4  | -5.3  |  -5.3   |  -8.3   |
| 工程咨询服务 | 300983 | 尤安设计 | 44.1 | -50.9  | -2.6  |  -2.5   |  -4.9   |
| 工程咨询服务 | 000779 |  甘咨询  | 38.3 |  23.7  | -3.6  |  -7.1   |  -1.5   |
| 工程咨询服务 | 002116 | 中国海诚 | 37.5 |  24.0  | -6.8  |  -7.7   |   0.6   |
| 工程咨询服务 | 300732 |  设研院  | 36.2 |  19.8  | -4.7  |  -5.0   |   3.2   |
| 工程咨询服务 | 603458 | 勘设股份 | 32.5 |  26.8  | -3.6  |   1.2   |   5.2   |
| 工程咨询服务 | 300500 | 启迪设计 | 30.7 | -86.6  | -3.0  |   5.2   |   6.6   |
| 工程咨询服务 | 603909 | 建发合诚 | 27.0 | 111.5  | -4.3  |  -0.7   |   3.5   |
| 工程咨询服务 | 301027 | 华蓝集团 | 26.8 |  40.2  | -9.8  |  -19.0  |  -15.5  |
| 工程咨询服务 | 002949 | 华阳国际 | 25.7 | -168.8 | -3.7  |  -1.1   |  -0.8   |
| 工程咨询服务 | 603017 | 中衡设计 | 24.9 |  29.0  | -3.4  |  -3.9   |  -0.3   |
| 工程咨询服务 | 300977 | 深圳瑞捷 | 24.9 | -25.4  | -3.8  |  -8.5   |  -3.4   |
| 工程咨询服务 | 301167 | 建研设计 | 24.8 |  41.2  | -3.3  |  -3.8   |  -0.3   |
| 工程咨询服务 | 300746 | 汉嘉设计 | 24.6 |  43.1  | -6.0  |  -2.9   |  -2.8   |
| 工程咨询服务 | 300635 |  中达安  | 23.8 |  79.3  | -2.2  |   1.5   |   0.1   |
| 工程咨询服务 | 300675 |  建科院  | 22.9 | -25.5  | -4.4  |  -3.9   |   0.6   |
| 工程咨询服务 | 300989 | 蕾奥规划 | 22.3 |  40.5  | -5.4  |  -5.7   |  -5.9   |
| 工程咨询服务 | 300564 | 筑博设计 | 22.2 | 241.8  | -6.5  |  -4.9   |  -5.7   |
| 工程咨询服务 | 300778 |  新城市  | 21.3 |  23.4  | -5.5  |  -6.4   |  -7.0   |
| 工程咨询服务 | 300949 | 奥雅股份 | 21.2 | -13.4  | -5.3  |  -4.2   |  -5.7   |
| 工程咨询服务 | 300668 | 杰恩设计 | 20.8 | -32.3  |  0.8  |  -3.1   |  -2.5   |
| 工程咨询服务 | 003001 | 中岩大地 | 20.6 |  80.2  | -10.0 |  -10.0  |  -10.3  |
| 工程咨询服务 | 300826 | 测绘股份 | 19.2 |  44.6  | -1.6  |   1.2   |   3.9   |
| 工程咨询服务 | 300844 | 山水比德 | 17.1 |  -6.8  | -4.0  |  -2.0   |  -4.1   |
| 工程咨询服务 | 002883 | 中设股份 | 15.4 |  34.3  | -7.7  |  -9.2   |  -4.4   |
| 工程咨询服务 | 603860 | 中公高科 | 14.7 | -88.1  | -1.6  |   3.8   |   2.1   |
+--------------+--------+----------+------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+--------------+--------+----------+------+--------+-------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+-------+---------+---------+
| 工程咨询服务 | 301091 |  深城交  | 63.1 | -41.5  |  1.1  |  -11.7  |  18.4   |
| 工程咨询服务 | 300668 | 杰恩设计 | 20.8 | -32.3  |  0.8  |  -3.1   |  -2.5   |
| 工程咨询服务 | 603860 | 中公高科 | 14.7 | -88.1  | -1.6  |   3.8   |   2.1   |
| 工程咨询服务 | 300826 | 测绘股份 | 19.2 |  44.6  | -1.6  |   1.2   |   3.9   |
| 工程咨询服务 | 003013 | 地铁设计 | 63.0 |  16.7  | -2.0  |  -1.9   |  -2.7   |
| 工程咨询服务 | 300635 |  中达安  | 23.8 |  79.3  | -2.2  |   1.5   |   0.1   |
| 工程咨询服务 | 300492 | 华图山鼎 | 49.3 | 905.9  | -2.4  |  -3.6   |  -2.5   |
| 工程咨询服务 | 603959 | 百利科技 | 62.7 |  50.9  | -2.4  |   5.8   |   0.8   |
| 工程咨询服务 | 300983 | 尤安设计 | 44.1 | -50.9  | -2.6  |  -2.5   |  -4.9   |
| 工程咨询服务 | 300500 | 启迪设计 | 30.7 | -86.6  | -3.0  |   5.2   |   6.6   |
| 工程咨询服务 | 301167 | 建研设计 | 24.8 |  41.2  | -3.3  |  -3.8   |  -0.3   |
| 工程咨询服务 | 603017 | 中衡设计 | 24.9 |  29.0  | -3.4  |  -3.9   |  -0.3   |
| 工程咨询服务 | 600629 | 华建集团 | 56.2 |  16.1  | -3.6  |  -4.9   |  -1.7   |
| 工程咨询服务 | 603458 | 勘设股份 | 32.5 |  26.8  | -3.6  |   1.2   |   5.2   |
| 工程咨询服务 | 000779 |  甘咨询  | 38.3 |  23.7  | -3.6  |  -7.1   |  -1.5   |
| 工程咨询服务 | 002949 | 华阳国际 | 25.7 | -168.8 | -3.7  |  -1.1   |  -0.8   |
| 工程咨询服务 | 603357 | 设计总院 | 52.2 |  11.7  | -3.8  |  -6.9   |   3.2   |
| 工程咨询服务 | 300977 | 深圳瑞捷 | 24.9 | -25.4  | -3.8  |  -8.5   |  -3.4   |
| 工程咨询服务 | 603018 | 华设集团 | 64.5 |  17.3  | -3.9  |  -7.4   |   2.8   |
| 工程咨询服务 | 300844 | 山水比德 | 17.1 |  -6.8  | -4.0  |  -2.0   |  -4.1   |
| 工程咨询服务 | 300284 |  苏交科  | 81.3 |  46.1  | -4.2  |  -5.2   |   1.4   |
| 工程咨询服务 | 603909 | 建发合诚 | 27.0 | 111.5  | -4.3  |  -0.7   |   3.5   |
| 工程咨询服务 | 300675 |  建科院  | 22.9 | -25.5  | -4.4  |  -3.9   |   0.6   |
| 工程咨询服务 | 300732 |  设研院  | 36.2 |  19.8  | -4.7  |  -5.0   |   3.2   |
| 工程咨询服务 | 000928 | 中钢国际 | 73.5 |  14.3  | -5.0  |  -5.9   |  -8.4   |
| 工程咨询服务 | 300949 | 奥雅股份 | 21.2 | -13.4  | -5.3  |  -4.2   |  -5.7   |
| 工程咨询服务 | 301136 | 招标股份 | 48.4 | 136.4  | -5.3  |  -5.3   |  -8.3   |
| 工程咨询服务 | 300989 | 蕾奥规划 | 22.3 |  40.5  | -5.4  |  -5.7   |  -5.9   |
| 工程咨询服务 | 300778 |  新城市  | 21.3 |  23.4  | -5.5  |  -6.4   |  -7.0   |
| 工程咨询服务 | 300746 | 汉嘉设计 | 24.6 |  43.1  | -6.0  |  -2.9   |  -2.8   |
| 工程咨询服务 | 300564 | 筑博设计 | 22.2 | 241.8  | -6.5  |  -4.9   |  -5.7   |
| 工程咨询服务 | 002116 | 中国海诚 | 37.5 |  24.0  | -6.8  |  -7.7   |   0.6   |
| 工程咨询服务 | 002883 | 中设股份 | 15.4 |  34.3  | -7.7  |  -9.2   |  -4.4   |
| 工程咨询服务 | 301027 | 华蓝集团 | 26.8 |  40.2  | -9.8  |  -19.0  |  -15.5  |
| 工程咨询服务 | 003001 | 中岩大地 | 20.6 |  80.2  | -10.0 |  -10.0  |  -10.3  |
+--------------+--------+----------+------+--------+-------+---------+---------+
