[行业>市值]
+------------+--------+----------+--------+--------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+-------+---------+---------+
| 房地产开发 | 000002 |  万科Ａ   | 2048.0 |  35.8  | -4.2  |  -7.4   |  -8.2   |
| 房地产开发 | 600048 | 保利发展 | 1889.0 |  8.8   | -5.0  |  -2.6   |  -1.9   |
| 房地产开发 | 001979 | 招商蛇口 | 947.3  |  53.4  | -5.3  |  -5.3   |  -3.4   |
| 房地产开发 | 600383 | XD金地集 | 494.3  |  19.7  | -3.9  |  -9.6   |  -8.2   |
| 房地产开发 | 601155 | 新城控股 | 459.5  |  22.6  | -4.9  |  -8.3   |  -12.1  |
| 房地产开发 | 000069 | 华侨城Ａ  | 450.3  |  63.9  | -2.5  |  -4.4   |  -6.5   |
| 房地产开发 | 600606 | 绿地控股 | 431.8  |  4.2   | -4.8  |  -8.9   |  -9.6   |
| 房地产开发 | 600663 |  陆家嘴  | 391.7  |  14.9  | -2.4  |  -3.3   |  -3.2   |
| 房地产开发 | 600515 |  ST基础  | 343.9  | 114.5  | -4.4  |  -5.0   |  -7.7   |
| 房地产开发 | 600848 | 上海临港 | 304.0  |  25.0  | -3.3  |  -2.6   |  -6.3   |
| 房地产开发 | 002244 | 滨江集团 | 267.9  |  29.4  | -6.9  |  -5.7   |   0.9   |
| 房地产开发 | 600208 | 新湖中宝 | 227.9  |  11.6  | -1.1  |  -1.9   |  -1.9   |
| 房地产开发 | 600246 | 万通发展 | 199.6  | -135.1 | -0.5  |  -0.4   |   7.4   |
| 房地产开发 | 600657 | 信达地产 | 175.1  | 144.2  | -10.0 |   3.5   |  -1.1   |
| 房地产开发 | 600641 | XD万业企 | 173.8  | 159.5  | -1.5  |  -2.0   |  -8.3   |
| 房地产开发 | 600895 | 张江高科 | 173.6  | -19.0  | -4.1  |  -5.3   |  -10.9  |
| 房地产开发 | 600675 | 中华企业 | 170.1  | -38.7  | -5.1  |  -5.4   |  -5.4   |
| 房地产开发 | 600773 | 西藏城投 | 162.0  | 148.0  |  0.0  |   2.1   |  -6.4   |
| 房地产开发 | 000402 |  金融街  | 159.0  |  4.2   | -3.3  |  -3.8   |  -5.7   |
| 房地产开发 | 000031 |  大悦城  | 150.4  | -37.3  | -4.1  |  -5.1   |  -5.9   |
| 房地产开发 | 600325 | 华发股份 | 146.7  |  5.2   | -6.5  |  -7.7   |  -6.8   |
| 房地产开发 | 600648 |  外高桥  | 144.4  |  4.5   | -6.7  |  -6.1   |  -6.3   |
| 房地产开发 | 600007 | 中国国贸 | 144.0  |  13.5  | -2.9  |  -5.0   |  -6.6   |
| 房地产开发 | 600639 | 浦东金桥 | 142.8  |  3.9   | -4.5  |  -4.6   |  -4.3   |
| 房地产开发 | 000656 | 金科股份 | 126.6  | -10.8  | -6.0  |  -10.9  |  -12.2  |
| 房地产开发 | 000540 | 中天金融 | 125.4  |  -3.2  | -8.7  |  -6.3   |  -4.3   |
| 房地产开发 | 601512 | 中新集团 | 124.7  |  5.2   | -2.9  |  -3.5   |  -2.7   |
| 房地产开发 | 000631 | 顺发恒业 | 121.9  |  73.1  | 10.1  |  33.2   |  42.3   |
| 房地产开发 | 600064 | DR南京高 | 119.0  |  4.5   | -1.9  |  -4.3   |  -3.0   |
| 房地产开发 | 600376 | 首开股份 | 112.7  |  -7.3  | -4.2  |  -5.2   |  -6.0   |
| 房地产开发 | 600340 | 华夏幸福 | 111.5  |  1.0   | -5.9  |  -7.5   |  -10.1  |
| 房地产开发 | 600185 | 格力地产 | 103.1  |  19.9  | -5.2  |  -5.5   |  -7.5   |
| 房地产开发 | 600225 | 天津松江 | 102.0  | -32.2  |  0.0  |   1.4   |  -0.3   |
| 房地产开发 | 600649 | 城投控股 | 101.4  |  5.3   | -2.9  |  -3.8   |  -4.8   |
| 房地产开发 | 000029 | 深深房Ａ  | 101.2  |  15.6  | -8.9  |  -8.4   |  -12.3  |
| 房地产开发 | 000048 | 京基智农 |  99.5  | -17.5  | -3.3  |  -2.0   |   7.8   |
| 房地产开发 | 000718 | 苏宁环球 |  98.9  |  18.6  | -3.8  |  -5.2   |  -4.1   |
| 房地产开发 | 600823 | 世茂股份 |  97.2  |  25.1  | -5.1  |  -5.8   |  -7.5   |
| 房地产开发 | 000961 | 中南建设 |  96.8  |  -4.0  | -9.6  |  -11.2  |  -13.1  |
| 房地产开发 | 002314 | 南山控股 |  93.4  | -18.6  | -9.0  |  -9.0   |  -10.8  |
| 房地产开发 | 000736 | 中交地产 |  90.8  | -54.6  | -10.0 |  -14.5  |  -9.2   |
| 房地产开发 | 000517 | 荣安地产 |  89.2  |  4.5   | -4.4  |  -6.7   |  -6.3   |
| 房地产开发 | 600603 | 广汇物流 |  85.7  |  41.3  | -1.7  |  10.5   |   6.4   |
| 房地产开发 | 600266 | 城建发展 |  84.2  |  -2.1  | -4.4  |  -4.6   |  -5.3   |
| 房地产开发 | 600223 | 鲁商发展 |  83.8  |  31.6  | -2.1  |  -3.6   |  -12.0  |
| 房地产开发 | 600094 |  大名城  |  79.2  | -23.8  | -4.8  |  -7.8   |  -8.8   |
| 房地产开发 | 600510 |  黑牡丹  |  76.4  |  65.3  | -9.3  |  -7.9   |  -8.1   |
| 房地产开发 | 000671 |  阳光城  |  76.2  |  -1.3  | -8.9  |  -9.8   |  -10.7  |
| 房地产开发 | 000838 | 财信发展 |  69.7  |  97.0  | -4.7  |  -5.0   |  -9.8   |
| 房地产开发 | 600162 | 香江控股 |  66.2  |  42.5  | -3.9  |  -5.3   |  -5.8   |
| 房地产开发 | 600748 | 上实发展 |  62.0  | -166.2 | -4.5  |  -5.9   |  -6.9   |
| 房地产开发 | 000011 | 深物业A  |  61.9  |  7.0   | -5.5  |  -11.4  |  -14.8  |
| 房地产开发 | 002208 | 合肥城建 |  60.5  |  43.8  | -7.0  |  -9.8   |  -8.3   |
| 房地产开发 | 600736 | 苏州高新 |  59.1  |  29.9  | -4.8  |   2.0   |   3.0   |
| 房地产开发 | 000042 | 中洲控股 |  58.8  |  40.5  | -4.5  |  -7.1   |  -6.0   |
| 房地产开发 | 000036 | 华联控股 |  57.3  |  41.0  | -1.0  |  -1.8   |  -3.8   |
| 房地产开发 | 000965 | 天保基建 |  56.3  |  43.7  | -6.1  |  -9.8   |  -2.9   |
| 房地产开发 | 000006 | 深振业Ａ  |  56.0  |  31.5  | -3.5  |  -5.2   |  -7.0   |
| 房地产开发 | 600565 | 迪马股份 |  51.2  | -26.9  | -9.5  |  -9.9   |  -10.7  |
| 房地产开发 | 002016 | 世荣兆业 |  50.5  |  20.3  | -3.7  |   2.3   |   4.2   |
| 房地产开发 | 600708 | 光明地产 |  49.2  | 235.1  | -4.3  |  -5.2   |  -5.6   |
| 房地产开发 | 600622 | XD光大嘉 |  48.9  |  33.9  | -9.9  |  -0.5   |   1.1   |
| 房地产开发 | 600503 | 华丽家族 |  48.2  |  18.6  | -2.3  |  -3.4   |  -3.1   |
| 房地产开发 | 600067 | 冠城大通 |  47.0  |  43.0  | -4.0  |  -1.5   |  -1.2   |
| 房地产开发 | 000797 | 中国武夷 |  46.5  | 110.8  | -5.7  |  -6.6   |  -4.2   |
| 房地产开发 | 000620 |  新华联  |  45.1  |  -2.5  | -9.2  |  -10.5  |  -10.2  |
| 房地产开发 | 000886 | 海南高速 |  44.1  | 1008.8 | -6.5  |  -1.6   |  -4.3   |
| 房地产开发 | 600077 | 宋都股份 |  43.7  | -93.9  | -6.3  |  -6.9   |  -8.9   |
| 房地产开发 | 600743 | 华远地产 |  42.5  | -17.6  | -5.2  |  -6.2   |  -7.2   |
| 房地产开发 | 000926 | 福星股份 |  40.8  |  27.6  | -6.3  |  -5.9   |  -4.2   |
| 房地产开发 | 002305 | 南国置业 |  40.8  | -17.4  | -6.8  |  -6.4   |  -5.2   |
| 房地产开发 | 600716 | 凤凰股份 |  40.1  |  15.1  | -0.5  |  -2.3   |  -4.7   |
| 房地产开发 | 600466 | 蓝光发展 |  39.5  |  -3.4  | -7.8  |  -11.0  |  -14.5  |
| 房地产开发 | 000514 |  渝开发  |  38.9  | -79.8  | -10.0 |   0.0   |   0.7   |
| 房地产开发 | 600393 | 粤泰股份 |  38.5  | -13.4  | -5.0  |  -7.9   |  -7.9   |
| 房地产开发 | 000863 | 三湘印象 |  37.9  | -34.3  | -5.1  |  -8.2   |  -6.2   |
| 房地产开发 | 000918 |  嘉凯城  |  37.9  |  -5.3  | -5.0  |  -6.2   |  -6.7   |
| 房地产开发 | 000897 | 津滨发展 |  37.5  |  21.3  | -3.7  |  -3.7   |  -4.9   |
| 房地产开发 | 600173 | 卧龙地产 |  37.4  |  17.4  |  0.4  |  -0.9   |  -0.9   |
| 房地产开发 | 600215 |  派斯林  |  36.4  |  40.9  | -1.4  |  -7.7   |  -3.1   |
| 房地产开发 | 000667 | 美好置业 |  35.8  |  -6.6  | -5.2  |  -7.0   |  -7.0   |
| 房地产开发 | 600382 |  ST广珠  |  35.7  |  15.2  |  2.3  |   7.9   |   1.8   |
| 房地产开发 | 000558 | 莱茵体育 |  34.5  | -102.9 | -3.6  |  -4.3   |  -5.6   |
| 房地产开发 | 600638 |  新黄浦  |  34.0  | 159.0  | -2.7  |  -1.9   |  -3.6   |
| 房地产开发 | 600533 | 栖霞建设 |  33.8  |  6.9   | -5.3  |  -6.7   |  -4.5   |
| 房地产开发 | 600807 | 济南高新 |  32.3  |  -5.8  | -8.5  |  -7.1   |  -11.6  |
| 房地产开发 | 600683 | 京投发展 |  31.4  |  11.5  | -1.6  |  -1.6   |  -2.8   |
| 房地产开发 | 600239 |  ST云城  |  29.9  |  -2.0  | -2.1  |  -3.1   |  -0.5   |
| 房地产开发 | 000732 |  ST泰禾  |  29.1  |  -1.8  | -4.9  |  -6.4   |  -6.4   |
| 房地产开发 | 600684 | 珠江股份 |  26.5  |  -5.1  | -8.8  |  -12.4  |  -12.2  |
| 房地产开发 | 600665 |  天地源  |  26.1  | -24.2  | -4.1  |  -6.8   |  -6.5   |
| 房地产开发 | 002133 | 广宇集团 |  25.0  |  14.3  | -6.7  |  -7.2   |  -6.1   |
| 房地产开发 | 600159 | 大龙地产 |  22.0  |  99.2  | -8.3  |  -8.0   |  -8.6   |
| 房地产开发 | 600234 | 科新发展 |  21.8  | -28.2  | -2.4  |  -0.8   |  -3.1   |
| 房地产开发 | 000616 |  ST海投  |  21.3  | -104.8 |  2.0  |  12.9   |   8.8   |
| 房地产开发 | 600322 | 天房发展 |  21.1  |  -2.5  | -5.0  |  -5.5   |  -6.8   |
| 房地产开发 | 000809 |  ST新城  |  20.9  | -16.2  |  0.0  |  -1.2   |  -4.9   |
| 房地产开发 | 600692 | 亚通股份 |  20.3  | 175.0  | -4.8  |  -1.7   |  -2.5   |
| 房地产开发 | 600082 | 海泰发展 |  20.2  | -42.9  | -5.2  |  -4.3   |  -3.4   |
| 房地产开发 | 000608 | 阳光股份 |  20.0  | -105.5 | -6.6  |  -7.3   |  -7.3   |
| 房地产开发 | 600463 | 空港股份 |  19.4  | -94.6  | -4.9  |  -4.6   |  -5.4   |
| 房地产开发 | 000014 | 沙河股份 |  18.9  |  30.1  | -7.0  |  -7.2   |  -8.8   |
| 房地产开发 | 000573 | 粤宏远Ａ  |  18.4  | -73.0  | -4.0  |  -4.0   |  -6.5   |
| 房地产开发 | 600791 | 京能置业 |  17.9  | -22.9  | -5.3  |  -6.2   |  -5.0   |
| 房地产开发 | 000668 | 荣丰控股 |  17.4  | -70.0  | -1.6  |   1.5   |   3.0   |
| 房地产开发 | 000609 | 中迪投资 |  14.8  |  -9.6  | -2.5  |  -4.8   |  -3.1   |
+------------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+--------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+-------+---------+---------+
| 房地产开发 | 000631 | 顺发恒业 | 121.9  |  73.1  | 10.1  |  33.2   |  42.3   |
| 房地产开发 | 600382 |  ST广珠  |  35.7  |  15.2  |  2.3  |   7.9   |   1.8   |
