[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 物流行业 | 002352 | 顺丰控股 | 2491.0 |  60.9  | -1.8  |  -1.6   |  -4.5   |
| 物流行业 | 601816 | 京沪高铁 | 2323.0 | 263.7  | -3.9  |  -0.8   |  -2.3   |
| 物流行业 | 601006 | 大秦铁路 | 895.0  |  7.5   | -1.3  |  -1.0   |  -0.7   |
| 物流行业 | 600233 | 圆通速递 | 624.7  |  17.6  | -2.2  |  -2.9   |  -9.1   |
| 物流行业 | 002120 | 韵达股份 | 456.9  |  32.9  | -2.7  |  -4.9   |  -5.3   |
| 物流行业 | 601156 | 东航物流 | 288.9  |  5.3   | -0.2  |  -1.9   |  -4.6   |
| 物流行业 | 601598 | XD中国外 | 264.2  |  6.7   | -1.9  |  -1.9   |  -1.4   |
| 物流行业 | 600704 | 物产中大 | 245.7  |  5.9   | -2.5  |  -2.1   |  -3.1   |
| 物流行业 | 603713 | 密尔克卫 | 238.2  |  44.6  | -0.4  |   6.8   |   3.7   |
| 物流行业 | 001213 | 中铁特货 | 218.2  |  47.3  |  1.9  |   1.9   |   2.1   |
| 物流行业 | 600057 | 厦门象屿 | 182.6  |  9.8   | -2.4  |  -2.8   |  -3.9   |
| 物流行业 | 002183 |  怡亚通  | 169.1  |  74.3  | -3.1  |   0.5   |  -2.8   |
| 物流行业 | 600179 | 安通控股 | 168.9  |  8.0   |  3.8  |   3.2   |   1.6   |
| 物流行业 | 000927 | 中国铁物 | 166.4  |  19.7  | -2.1  |  -1.8   |  -2.8   |
| 物流行业 | 002468 | 申通快递 | 162.6  |  38.2  | -10.0 |  -7.7   |  -8.5   |
| 物流行业 | 002010 | 传化智联 | 159.2  |  26.1  | -1.9  |  -2.9   |  -5.5   |
| 物流行业 | 601333 | 广深铁路 | 145.2  |  -9.1  | -3.3  |  -3.3   |  -3.3   |
| 物流行业 | 603056 | 德邦股份 | 131.3  | -41.2  | -1.0  |  -2.3   |  -3.1   |
| 物流行业 | 600575 | 淮河能源 | 121.6  |  14.3  | -2.2  |   0.6   |   0.0   |
| 物流行业 | 603128 | 华贸物流 | 118.5  |  11.8  | -2.7  |  -1.7   |  -5.4   |
| 物流行业 | 600787 | 中储股份 | 118.5  |  9.1   | -2.9  |  -3.2   |  -1.8   |
