[行业>市值]
+----------+--------+-------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+--------+------+---------+---------+
| 电子元件 | 300124 |  汇川技术   | 1662.0 |  57.9  | -1.2 |   1.2   |  -2.0   |
| 电子元件 | 002179 |  中航光电   | 1017.0 |  34.5  | -0.3 |  -1.0   |  -0.6   |
| 电子元件 | 002938 |  鹏鼎控股   | 691.7  |  29.1  | 0.8  |   4.8   |   1.9   |
| 电子元件 | 600884 |  杉杉股份   | 663.7  |  20.6  | -3.8 |   2.6   |  -8.5   |
| 电子元件 | 000733 |  振华科技   | 651.6  |  26.8  | -1.8 |  -2.7   |  -9.9   |
| 电子元件 | 300390 |  天华超净   | 508.0  |  8.4   | 0.4  |   0.5   |  -8.6   |
| 电子元件 | 300408 |  三环集团   | 506.9  |  25.5  | 0.2  |  -1.2   |  -4.7   |
| 电子元件 | 600563 |  法拉电子   | 472.5  |  57.8  | -1.4 |   5.3   |   2.4   |
| 电子元件 | 002916 |  深南电路   | 465.2  |  33.4  | -0.7 |  -0.8   |  -1.1   |
| 电子元件 | 002414 |  高德红外   | 392.6  |  31.5  | -0.8 |  -1.2   |  -5.6   |
| 电子元件 | 002384 |  东山精密   | 385.1  |  26.4  | 7.2  |   7.6   |   3.2   |
| 电子元件 | 600183 |  生益科技   | 361.2  |  18.7  | -1.5 |  -1.9   |  -6.2   |
| 电子元件 | 688778 |  厦钨新能   | 351.1  |  42.4  | -0.8 |  -1.6   |   5.4   |
| 电子元件 | 002008 |  大族激光   | 312.8  |  23.5  | -3.0 |  -0.5   |  -5.7   |
| 电子元件 | 002025 |  航天电器   | 302.8  |  47.7  | 0.2  |  -4.5   |  -7.4   |
| 电子元件 | 688375 |  国博电子   | 283.5  |  70.7  | 0.0  |   0.0   |   0.0   |
| 电子元件 | 603267 |  鸿远电子   | 274.2  |  26.5  | -1.6 |  -4.3   |  -10.2  |
| 电子元件 | 002463 |  沪电股份   | 241.4  |  24.2  | 0.6  |   0.2   |  -4.6   |
| 电子元件 | 300726 |  宏达电子   | 224.2  |  31.9  | -1.3 |  -2.8   |  -10.2  |
| 电子元件 | 000988 |  华工科技   | 219.0  |  24.2  | -1.5 |  -0.2   |  -4.7   |
| 电子元件 | 603678 |  火炬电子   | 216.8  |  27.9  | -1.1 |  -2.4   |  -8.2   |
| 电子元件 | 002484 |  江海股份   | 198.3  |  42.2  | -0.3 |  12.0   |   3.3   |
| 电子元件 | 000636 |  风华高科   | 196.1  |  27.2  | -2.8 |  -2.9   |  -8.5   |
| 电子元件 | 002138 |  顺络电子   | 189.7  |  29.1  | -2.5 |   0.9   |  -2.7   |
| 电子元件 | 603228 |  景旺电子   | 183.2  |  26.1  | 1.8  |   3.3   |  -5.4   |
| 电子元件 | 002389 |  航天彩虹   | 169.7  | 122.2  | -1.3 |   0.1   |  -6.4   |
| 电子元件 | 600478 |   科力远    | 165.2  | 130.8  | 2.8  |   3.2   |  11.7   |
| 电子元件 | 002436 |  兴森科技   | 160.7  |  20.0  | -4.9 |  -3.0   |  -6.6   |
| 电子元件 | 300747 |  锐科激光   | 158.2  | 189.2  | -0.6 |  -4.2   |  -8.7   |
| 电子元件 | 688800 |   瑞可达    | 154.4  |  69.2  | -0.7 |   4.8   |   2.7   |
| 电子元件 | 688776 |  国光电气   | 145.1  |  87.1  | 1.9  |   1.3   |   0.3   |
| 电子元件 | 688322 | 奥比中光-UW | 137.2  | -56.3  | 6.1  |   4.0   |  -20.3  |
| 电子元件 | 300476 |  胜宏科技   | 125.9  |  15.6  | -2.0 |  -2.9   |  -8.9   |
| 电子元件 | 301217 |  铜冠铜箔   | 122.2  |  31.1  | 1.0  |   6.4   |  -2.6   |
| 电子元件 | 000062 |  深圳华强   | 119.9  |  13.6  | -2.5 |  -1.6   |  -5.3   |
| 电子元件 | 002815 |  崇达技术   | 106.4  |  16.9  | -2.4 |  -0.7   |  -6.8   |
| 电子元件 | 002859 |  洁美科技   |  99.1  |  77.3  | 4.7  |   4.0   |  -5.9   |
| 电子元件 | 603989 |  艾华集团   |  96.9  |  21.1  | -0.6 |   0.8   |  -6.3   |
| 电子元件 | 002913 |   奥士康    |  92.0  |  15.4  | -1.2 |  -0.5   |  -6.8   |
| 电子元件 | 688183 |  生益电子   |  91.8  |  30.7  | -0.2 |   4.2   |   1.3   |
| 电子元件 | 301150 |  中一科技   |  90.8  |  21.4  | 2.2  |   3.9   |  -3.3   |
| 电子元件 | 002724 |   海洋王    |  87.7  | 130.2  | 1.4  |   3.3   |  -4.5   |
| 电子元件 | 603920 |  世运电路   |  85.3  |  45.1  | 1.1  |   7.9   |   1.2   |
| 电子元件 | 002214 |  大立科技   |  79.0  | 244.7  | 10.0 |  14.5   |   8.8   |
| 电子元件 | 300475 |  香农芯创   |  78.8  |  35.9  | -0.1 |  -2.2   |  -6.7   |
| 电子元件 | 603738 |  泰晶科技   |  74.8  |  25.4  | -1.8 |   2.2   |  -6.3   |
| 电子元件 | 603328 |  依顿电子   |  66.8  |  43.9  | -0.3 |   9.7   |   6.2   |
| 电子元件 | 600288 |  大恒科技   |  66.0  | -179.1 | -0.1 |  -0.1   |  -4.5   |
| 电子元件 | 603936 |  博敏电子   |  65.2  |  40.2  | -0.8 |  -0.2   |  -2.5   |
| 电子元件 | 002636 |  金安国纪   |  63.8  |  99.5  | -5.3 |   1.1   |  -3.4   |
| 电子元件 | 688519 |  南亚新材   |  60.7  |  21.4  | 1.0  |   4.0   |  -1.1   |
| 电子元件 | 300657 |  弘信电子   |  59.9  | -41.7  | -0.9 |   2.2   |  -2.8   |
| 电子元件 | 002922 |   伊戈尔    |  59.8  |  42.8  | -3.1 |   4.0   |   0.0   |
| 电子元件 | 688053 |   思科瑞    |  57.0  |  75.5  | -1.6 |   4.7   |   2.7   |
| 电子元件 | 002141 |  贤丰控股   |  57.0  |  80.9  | 2.0  |  -0.2   |  -7.0   |
| 电子元件 | 300903 |  科翔股份   |  55.8  |  75.3  | -2.5 |   4.8   |   2.4   |
| 电子元件 | 002729 |  好利科技   |  55.3  | 199.6  | 0.7  |   0.3   |  -6.4   |
| 电子元件 | 000823 |  超声电子   |  53.2  |  17.7  | -0.3 |   1.5   |  -1.3   |
| 电子元件 | 300656 |  民德电子   |  52.5  |  95.0  | -1.7 |   4.0   |  -6.8   |
| 电子元件 | 600601 |   *ST方科   |  52.0  | -10.1  | -2.5 |  -2.9   |  -2.9   |
| 电子元件 | 600353 |  旭光电子   |  49.4  | 116.0  | -0.6 |  -1.6   |   3.8   |
| 电子元件 | 688103 |  国力股份   |  49.2  | 102.1  | 2.8  |   3.0   |   1.3   |
| 电子元件 | 603002 |  宏昌电子   |  48.6  |  21.8  | 1.3  |   2.1   |  -1.3   |
| 电子元件 | 002288 |  超华科技   |  48.2  |  43.0  | -6.0 |  -1.1   |  -8.0   |
| 电子元件 | 300516 |   久之洋    |  47.8  | 139.0  | -1.8 |   1.3   |  -3.1   |
| 电子元件 | 688025 |   杰普特    |  46.9  |  48.2  | -2.2 |  -0.7   |   2.8   |
| 电子元件 | 300739 |  明阳电路   |  45.3  |  23.9  | -1.0 |   3.9   |  -3.7   |
| 电子元件 | 002579 |  中京电子   |  43.5  | 183.8  | -0.4 |   0.4   |  -2.7   |
| 电子元件 | 600237 |  铜峰电子   |  43.3  |  51.5  | -2.2 |  -2.9   |  -4.4   |
| 电子元件 | 688093 |  世华科技   |  42.0  |  36.8  | -2.5 |   0.3   |  -4.0   |
| 电子元件 | 600152 |  维科技术   |  39.6  | -151.1 | -2.7 |   9.8   |  21.6   |
| 电子元件 | 002161 |   远望谷    |  38.6  | -24.1  | -9.4 |  -10.3  |   1.6   |
| 电子元件 | 301021 |  英诺激光   |  37.5  |  75.6  | -1.2 |   1.6   |  -6.9   |
| 电子元件 | 603386 |  骏亚科技   |  37.3  |  30.1  | -3.4 |  -2.3   |  -8.3   |
| 电子元件 | 300852 |  四会富仕   |  36.3  |  26.1  | -2.1 |   4.2   |  -0.1   |
| 电子元件 | 300227 |   光韵达    |  35.3  |  53.8  | -1.9 |   0.9   |  -3.3   |
| 电子元件 | 688662 |  富信科技   |  33.9  |  63.6  | -2.3 |   3.1   |  -4.9   |
| 电子元件 | 603186 |  华正新材   |  32.8  |  26.6  | -1.3 |   1.7   |  -5.9   |
| 电子元件 | 002134 |  天津普林   |  32.1  | 242.4  | 10.0 |  33.1   |  28.4   |
| 电子元件 | 300814 |  中富电路   |  32.0  |  39.1  | -1.0 |   6.1   |  -1.3   |
| 电子元件 | 002137 |   实益达    |  31.6  |  45.6  | 3.6  |   7.9   |  10.3   |
| 电子元件 | 002869 |  金溢科技   |  31.4  | -48.0  | 4.3  |  -2.9   |  15.4   |
| 电子元件 | 300460 |  惠伦晶体   |  30.9  | 143.8  | -0.2 |  -0.1   |  -7.9   |
| 电子元件 | 300410 |  正业科技   |  30.7  |  92.6  | -1.7 |   4.9   |  -3.8   |
| 电子元件 | 002388 |  新亚制程   |  30.3  | 127.5  | 4.4  |   0.8   |  -1.3   |
| 电子元件 | 688020 |  方邦股份   |  27.9  | -55.4  | -2.6 |  -1.1   |  -5.9   |
| 电子元件 | 688511 |  天微电子   |  27.3  |  29.2  | -1.2 |  -0.4   |  -6.2   |
| 电子元件 | 605058 |  澳弘电子   |  26.4  |  19.8  | -1.3 |   0.9   |  -1.6   |
| 电子元件 | 688210 |  统联精密   |  24.9  |  63.5  | 0.8  |   5.2   |  -0.1   |
| 电子元件 | 300964 |  本川智能   |  23.1  |  41.4  | 1.7  |   3.2   |  -3.4   |
| 电子元件 | 300868 |   杰美特    |  21.7  | -59.8  | -2.1 |  -0.6   |  -3.4   |
| 电子元件 | 301067 |  显盈科技   |  20.7  |  47.5  | -0.9 |  -2.9   |  -1.3   |
| 电子元件 | 300936 |  中英科技   |  20.0  |  68.6  | -0.5 |   2.3   |  -1.1   |
| 电子元件 | 605258 |  协和电子   |  20.0  |  53.0  | -2.6 |  -6.6   |  -0.1   |
| 电子元件 | 301041 |   金百泽    |  19.4  | 655.2  | -1.0 |   2.0   |  -3.2   |
| 电子元件 | 300991 |   创益通    |  19.1  |  89.4  | -2.4 |  -0.8   |  -3.7   |
| 电子元件 | 300220 |  金运激光   |  18.2  | -63.0  | -2.1 |   1.9   |   0.4   |
| 电子元件 | 688655 |   迅捷兴    |  16.0  | 129.1  | -1.9 |   2.3   |  -2.4   |
| 电子元件 | 002199 |  东晶电子   |  15.4  | -74.9  | -7.7 |  -3.8   |  -5.2   |
| 电子元件 | 688371 |   菲沃泰    |  0.0   |  0.0   | 0.0  |   0.0   |   0.0   |
+----------+--------+-------------+--------+--------+------+---------+---------+
 




