[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 纺织服装 | 300979 | 华利集团 | 768.8 |  29.6   | -0.1 |  -0.7   |  -6.1   |
| 纺织服装 | 600177 |  雅戈尔  | 300.9 |   3.5   | -1.4 |  -3.1   |  -4.1   |
| 纺织服装 | 600398 | 海澜之家 | 193.5 |   6.7   | -2.2 |  -2.8   |  -6.1   |
| 纺织服装 | 002291 |  星期六  | 161.3 |  46.5   | -2.0 |  -1.9   |  -14.3  |
| 纺织服装 | 002563 | 森马服饰 | 144.4 |  17.3   | -6.3 |  -7.6   |  -8.5   |
| 纺织服装 | 601718 | 际华集团 | 134.8 |  31.7   | -2.9 |  -0.7   |  -2.5   |
| 纺织服装 | 600400 | 红豆股份 | 131.0 |  109.6  | -1.6 |   5.8   |  -4.0   |
| 纺织服装 | 002612 | 朗姿股份 | 126.9 | -1415.6 | 10.0 |   6.5   |  10.0   |
| 纺织服装 | 002832 | 比音勒芬 | 122.4 |  14.4   | -1.4 |  -6.2   |  -11.8  |
| 纺织服装 | 002003 | 伟星股份 | 104.3 |  40.0   | -1.1 |  -1.6   |  -1.4   |
| 纺织服装 | 603055 | XD台华新 | 101.3 |  22.1   | -3.0 |   0.2   |  -10.6  |
| 纺织服装 | 002293 | 罗莱生活 | 94.9  |  14.9   | -1.6 |  -3.2   |  -5.8   |
| 纺织服装 | 603877 |  太平鸟  | 93.8  |  12.3   | -2.2 |  -0.9   |  -7.6   |
| 纺织服装 | 000982 | 中银绒业 | 88.7  | -439.4  | -3.3 |  -0.5   |  -7.6   |
| 纺织服装 | 603665 |  康隆达  | 80.4  |  108.4  | -1.5 |   4.3   |  -5.7   |
| 纺织服装 | 601339 | 百隆东方 | 78.9  |   5.7   | -3.1 |  -4.9   |  -5.6   |
| 纺织服装 | 603587 | 地素时尚 | 73.9  |  12.3   | -2.4 |  -0.7   |  -2.0   |
| 纺织服装 | 603555 |  贵人鸟  | 67.7  |  665.0  | -0.9 |   7.0   |   4.1   |
| 纺织服装 | 000726 |  鲁泰Ａ   | 67.0  |  10.5   | -4.5 |  -0.7   |   0.7   |
| 纺织服装 | 603511 | 爱慕股份 | 66.0  |  12.7   | -4.2 |  -3.2   |  -8.8   |
| 纺织服装 | 300005 |  探路者  | 65.9  |  200.5  | -1.2 |  -2.5   |  -4.4   |
| 纺织服装 | 605138 | 盛泰集团 | 63.7  |  25.9   | -5.3 |  -4.6   |  -7.2   |
| 纺织服装 | 002327 |  富安娜  | 63.3  |  15.0   | -1.8 |  -3.5   |  -3.9   |
| 纺织服装 | 002042 | 华孚时尚 | 59.7  |   9.9   | -4.6 |  -6.4   |  -7.1   |
| 纺织服装 | 002154 |  报喜鸟  | 57.8  |   7.0   | -3.4 |  -5.7   |  -10.6  |
| 纺织服装 | 603908 |  牧高笛  | 57.4  |  39.0   | -2.6 |  -0.6   |  -9.6   |
| 纺织服装 | 605080 | 浙江自然 | 57.3  |  16.9   | -1.0 |   0.7   |  -4.7   |
| 纺织服装 | 600220 | 江苏阳光 | 55.1  |  81.5   | -3.1 |  -2.8   |  -6.9   |
| 纺织服装 | 600987 | 航民股份 | 53.7  |  11.6   | -1.2 |  -1.5   |  -4.1   |
| 纺织服装 | 601566 |  九牧王  | 45.7  |  -19.9  | -4.7 |  -3.5   |  -12.6  |
| 纺织服装 | 603558 | 健盛集团 | 44.2  |  13.4   | -1.0 |  -5.1   |  -8.4   |
| 纺织服装 | 002269 | 美邦服饰 | 42.5  |  -6.8   | -8.2 |  -7.7   |  -11.5  |
| 纺织服装 | 301088 | 戎美股份 | 40.4  |  21.1   | -3.4 |  -3.1   |  -5.3   |
| 纺织服装 | 002029 |  七匹狼  | 39.5  |  21.8   | -3.1 |  -4.0   |  -5.1   |
| 纺织服装 | 002083 | 孚日股份 | 38.8  |  18.2   | -2.5 |  -2.5   |   4.4   |
| 纺织服装 | 002503 |  搜于特  | 38.1  |  -7.5   | -3.9 |  -3.9   |  -6.0   |
| 纺织服装 | 603365 | 水星家纺 | 37.9  |  11.2   | -3.6 |  -4.2   |  -5.7   |
| 纺织服装 | 300577 | 开润股份 | 35.9  |  19.3   | -5.4 |  -7.3   |  -9.3   |
| 纺织服装 | 003016 | 欣贺股份 | 35.2  |  14.2   | -1.9 |  -1.2   |  -4.5   |
| 纺织服装 | 000850 | 华茂股份 | 34.2  |  -5.5   | -4.0 |  -3.5   |  -6.2   |
| 纺织服装 | 603808 |  歌力思  | 33.3  |  17.6   | -3.7 |  -3.4   |  -7.2   |
| 纺织服装 | 002404 | 嘉欣丝绸 | 33.0  |  30.1   | -2.4 |   1.4   |  -2.2   |
| 纺织服装 | 300918 | 南山智尚 | 32.1  |  28.4   | -3.0 |  -1.0   |  -5.1   |
| 纺织服装 | 002397 | 梦洁股份 | 32.0  |  -87.0  | -3.0 |   0.9   |  -3.9   |
| 纺织服装 | 301108 | 洁雅股份 | 31.4  |  16.6   | 0.4  |   1.0   |   2.0   |
| 纺织服装 | 603889 | 新澳股份 | 30.9  |  10.4   | -4.0 |  -6.4   |  -8.6   |
| 纺织服装 | 002674 | 兴业科技 | 30.8  |  197.9  | -4.1 |  -2.8   |  -8.0   |
| 纺织服装 | 002763 | 汇洁股份 | 29.7  |   8.6   | -2.8 |  -1.9   |  -3.3   |
| 纺织服装 | 603116 |  红蜻蜓  | 29.3  |  53.3   | -2.3 |  -2.3   |  -4.5   |
| 纺织服装 | 600735 |  新华锦  | 28.5  |  64.0   | -1.0 |  -0.1   |  -1.6   |
| 纺织服装 | 603001 | 奥康国际 | 27.8  |  59.3   | -6.2 |  -5.5   |  -7.2   |
| 纺织服装 | 600630 | 龙头股份 | 27.4  |  -37.0  | -5.7 |   1.1   |  -2.0   |
| 纺织服装 | 605055 | 迎丰股份 | 27.2  |  85.2   | -4.2 |  -5.7   |  -9.1   |
| 纺织服装 | 001234 |  泰慕士  | 26.9  |  25.9   | -3.1 |  -2.9   |  -6.4   |
| 纺织服装 | 002762 | 金发拉比 | 26.9  |  109.1  | 0.4  |  -0.1   |  -6.3   |
| 纺织服装 | 603839 | 安正时尚 | 26.3  |  30.9   | -4.8 |  -3.9   |  -6.1   |
| 纺织服装 | 603518 | 锦泓集团 | 25.4  |  15.4   | -5.2 |  -5.4   |  -11.0  |
| 纺织服装 | 301066 |  万事利  | 25.3  |  223.5  | 1.4  |   1.7   |  -2.8   |
| 纺织服装 | 300952 | 恒辉安防 | 25.3  |  51.3   | -3.2 |  -1.6   |  -4.4   |
| 纺织服装 | 002087 | 新野纺织 | 25.2  |  60.8   | -8.6 |  -8.3   |  -8.8   |
| 纺织服装 | 605003 | 众望布艺 | 25.2  |  16.4   | 0.0  |   3.1   |   0.8   |
| 纺织服装 | 002486 |  嘉麟杰  | 24.9  |  289.3  | -0.7 |   3.8   |   1.7   |
| 纺织服装 | 002722 | 物产金轮 | 24.3  |  16.7   | -1.1 |   0.7   |  -1.1   |
| 纺织服装 | 605189 | 富春染织 | 24.2  |  23.2   | -1.3 |   0.0   |  -2.0   |
| 纺织服装 | 300840 | 酷特智能 | 23.8  |  33.0   | -4.2 |  -3.2   |  -9.0   |
| 纺织服装 | 002394 | 联发股份 | 23.3  |  47.1   | -4.0 |  -2.7   |  -3.7   |
| 纺织服装 | 600448 | 华纺股份 | 23.2  |  379.5  | -6.1 |  -3.4   |  -6.8   |
| 纺织服装 | 605180 | 华生科技 | 22.8  |  26.9   | -4.5 |  -7.2   |  -4.3   |
| 纺织服装 | 300591 |  万里马  | 22.1  |  335.0  | -3.0 |  -2.3   |  -2.9   |
| 纺织服装 | 300819 | 聚杰微纤 | 22.1  |  74.1   | -3.6 |   2.6   |  -5.6   |
| 纺织服装 | 000955 | 欣龙控股 | 22.0  |  -40.5  | -5.1 |  -4.0   |  -6.8   |
| 纺织服装 | 002634 | 棒杰股份 | 22.0  |  45.4   | -2.5 |   0.0   |  -2.2   |
| 纺织服装 | 600107 |  美尔雅  | 21.9  | -176.5  | -5.6 |  -7.3   |  -9.0   |
| 纺织服装 | 300901 | 中胤时尚 | 21.8  |  50.9   | -4.5 |  -2.9   |  -9.2   |
| 纺织服装 | 002687 |  乔治白  | 21.6  |  39.0   | -2.3 |  -1.2   |  -4.3   |
| 纺织服装 | 600232 | 金鹰股份 | 21.4  |  41.4   | -2.7 |   3.5   |   0.2   |
| 纺织服装 | 002656 |  ST摩登  | 19.9  |  -45.1  | -5.1 |  -14.4  |  -10.8  |
| 纺织服装 | 002098 | 浔兴股份 | 19.8  |  24.3   | -6.0 |  -8.2   |  -7.5   |
| 纺织服装 | 001209 | 洪兴股份 | 19.0  |  20.1   | -4.4 |  -2.8   |  -6.1   |
| 纺织服装 | 600156 | 华升股份 | 18.9  |  -11.9  | -5.4 |  -4.3   |  -8.2   |
| 纺织服装 | 300877 | 金春股份 | 18.6  |  -46.4  | -3.1 |  -1.0   |  -4.7   |
| 纺织服装 | 002780 | 三夫户外 | 18.2  |  189.8  | -9.4 |  -9.0   |  -7.4   |
| 纺织服装 | 603608 | 天创时尚 | 18.2  |  -17.0  | -5.2 |  -5.0   |  -8.7   |
| 纺织服装 | 003041 | 真爱美家 | 17.9  |  24.1   | -2.0 |  -0.4   |  -4.4   |
| 纺织服装 | 600689 | 上海三毛 | 17.8  |  433.6  | -7.2 |  -4.9   |  -7.6   |
| 纺织服装 | 002875 |  安奈儿  | 17.6  |  -15.7  | 0.6  |   1.0   |   1.0   |
| 纺织服装 | 002144 | 宏达高科 | 17.2  |  27.7   | -4.3 |  -1.5   |  -20.0  |
| 纺织服装 | 603557 |  ST起步  | 16.9  |  -6.6   | -3.7 |  -3.1   |  -6.1   |
| 纺织服装 | 002193 | 如意集团 | 16.2  |  140.1  | 0.5  |   0.7   |   1.2   |
| 纺织服装 | 002776 |  ST柏龙  | 16.1  |  -12.8  | -0.3 |   5.6   |  18.1   |
| 纺织服装 | 002485 | *ST雪发  | 15.7  | -168.6  | -0.3 |  -1.0   |  -4.6   |
