[行业>三日涨幅]
+--------------+--------+----------+-------+--------+-------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+--------+-------+---------+---------+
|   食品饮料   | 002495 | 佳隆股份 | 24.6  | -281.9 | -9.9  |   2.7   |   1.1   |
|   食品饮料   | 600381 | 青海春天 | 77.6  | -82.3  | -10.0 |  -7.8   |  11.1   |
|   食品饮料   | 600882 | 妙可蓝多 | 217.4 |  73.9  | -10.0 |  -10.0  |  -10.0  |
|   通用设备   | 000595 | 宝塔实业 | 53.3  | -101.2 | -10.0 |  -6.0   |   0.4   |
|   通信设备   | 600355 | 精伦电子 | 14.0  | -46.5  | -10.1 |  -11.5  |  -18.4  |
|  计算机设备  | 603660 | 苏州科达 | 24.2  |  -7.8  | -9.9  |  -9.8   |  -11.2  |
|   装修装饰   | 002713 | 东易日盛 | 24.6  |  -2.5  | -10.0 |  -6.2   |  -8.9   |
|   装修装饰   | 603030 | 全筑股份 | 16.6  | -31.3  | -10.0 |  -6.8   |  -11.7  |
|   装修建材   | 002323 | 雅博股份 | 92.7  | 507.2  | -9.9  |   9.0   |  18.1   |
|   装修建材   | 002333 | 罗普斯金 | 45.7  | -415.0 | -10.0 |  -10.8  |  18.6   |
|   航天航空   | 002297 | 博云新材 | 44.7  | 112.9  | -9.9  |  -7.9   |  -11.7  |
|   纺织服装   | 002494 | 华斯股份 | 15.1  | -96.6  | -9.9  |  -6.8   |  -6.3   |
|   电网设备   | 600192 | 长城电工 | 27.3  | -37.7  | -10.1 |  -11.0  |  18.4   |
|   电力行业   | 000722 | 湖南发展 | 77.4  |  48.1  | -10.0 |  -10.9  |  18.6   |
|   生物制品   | 603087 | 甘李药业 | 231.4 |  51.1  | -10.0 |  -9.7   |  -12.2  |
|   环保行业   | 002645 | 华宏科技 | 111.7 |  11.0  | -10.0 |  -4.8   |  -9.7   |
|   环保行业   | 605069 | 正和生态 | 22.7  | -23.2  | -10.0 |  -8.3   |  -8.5   |
|   物流行业   | 002468 | 申通快递 | 162.6 |  38.2  | -10.0 |  -7.7   |  -8.5   |
|  汽车零部件  | 600841 | 动力新科 | 127.9 | 191.0  | -10.0 |  -6.8   |  -12.2  |
|   有色金属   | 600490 | 鹏欣资源 | 77.5  |  29.7  | -10.0 |  -6.2   |  -10.7  |
|  房地产开发  | 600657 | 信达地产 | 175.1 | 144.2  | -10.0 |   3.5   |  -1.1   |
|  房地产开发  | 000514 |  渝开发  | 38.9  | -79.8  | -10.0 |   0.0   |   0.7   |
|  房地产开发  | 600622 | XD光大嘉 | 48.9  |  33.9  | -9.9  |  -0.5   |   1.1   |
|  房地产开发  | 000736 | 中交地产 | 90.8  | -54.6  | -10.0 |  -14.5  |  -9.2   |
|   工程建设   | 002374 | 中锐股份 | 50.6  |  99.5  | -10.1 |   8.9   |  18.0   |
| 工程咨询服务 | 003001 | 中岩大地 | 20.6  |  80.2  | -10.0 |  -10.0  |  -10.3  |
| 工程咨询服务 | 301027 | 华蓝集团 | 26.8  |  40.2  | -9.8  |  -19.0  |  -15.5  |
|   家电行业   | 603366 | 日出东方 | 36.7  | -15.0  | -10.1 |  -6.5   |  -2.0   |
|   家电行业   | 000404 | 长虹华意 | 46.4  |  35.5  | -10.0 |  -10.8  |  18.7   |
|   多元金融   | 000567 | 海德股份 | 141.9 |  27.9  | -10.0 |   2.4   |   0.5   |
|   多元金融   | 000666 | 经纬纺机 | 58.0  |  10.7  | -10.0 |  -6.4   |  -4.7   |
|   多元金融   | 000046 | 泛海控股 | 67.5  |  -2.1  | -9.7  |  -11.0  |  -11.0  |
|   商业百货   | 601933 | 永辉超市 | 332.1 |  16.5  | -10.1 |  -14.3  |  -12.9  |
|    半导体    | 688332 |  N中科   | 77.2  |  48.0  | -29.9 |  -29.9  |  -29.9  |
|   医药商业   | 002589 | 瑞康医药 | 68.9  |  40.3  | -9.8  |  -26.9  |  -2.8   |
|   医疗器械   | 002551 | 尚荣医疗 | 34.5  |  82.4  | -9.9  |  -7.9   |  -5.8   |
|   化学制药   | 603229 | 奥翔药业 | 195.8 |  69.2  | -10.0 |   3.6   |   5.0   |
|   化学制药   | 600062 | 华润双鹤 | 289.7 |  21.8  | -10.0 |  -3.6   |  -7.7   |
|   化学制药   | 301089 | 拓新药业 | 157.9 | 138.8  | -10.2 |  -7.6   |  -4.0   |
|   化学制药   | 002793 | 罗欣药业 | 103.9 |  31.8  | -9.8  |  -7.8   |  -9.6   |
|  光学光电子  | 002217 |  合力泰  | 83.8  | -10.5  | -9.7  |  -11.8  |  -13.5  |
|   专用设备   | 600343 | 航天动力 | 66.0  | -148.6 | -10.0 |  -8.7   |  -9.5   |
+--------------+--------+----------+-------+--------+-------+---------+---------+
