[行业>三日涨幅]
+--------------+--------+----------+-------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+--------+------+---------+---------+
|   食品饮料   | 603170 | 宝立食品 | 63.7  |  38.0  | 10.0 |  58.4   |  58.4   |
|   食品饮料   | 605198 | 德利股份 | 80.4  |  62.1  | 10.0 |  14.3   |  25.3   |
|   食品饮料   | 002330 |  得利斯  | 53.2  |  43.5  | 10.0 |   8.0   |   4.4   |
|   钢铁行业   | 000655 | 金岭矿业 | 45.1  |  27.6  | 9.9  |  -0.5   |   2.2   |
|   通用设备   | 002965 | 祥鑫科技 | 89.8  |  65.8  | 10.0 |  33.1   |  43.8   |
|   通用设备   | 002514 | 宝馨科技 | 87.3  | 391.1  | 10.0 |  21.1   |  61.2   |
|   通用设备   | 003025 | 思进智能 | 37.0  |  22.8  | 10.0 |  14.8   |  11.8   |
|   通用设备   | 002896 | 中大力德 | 29.3  |  42.1  | 10.0 |  14.2   |   6.8   |
|   通用设备   | 002598 | 山东章鼓 | 35.5  |  44.1  | 10.1 |  10.8   |   4.9   |
|   通用设备   | 002164 | 宁波东力 | 36.6  |  23.9  | 10.1 |   8.5   |  17.2   |
|   通用设备   | 002426 | 胜利精密 | 86.0  | 274.7  | 10.1 |   4.2   |   4.6   |
|   通信设备   | 002902 | 铭普光磁 | 39.4  |  47.4  | 10.0 |  17.8   |   5.8   |
|   通信设备   | 300308 | 中际旭创 | 256.7 |  29.5  | 9.8  |  11.6   |   7.0   |
|   通信设备   | 002296 | 辉煌科技 | 28.4  |  36.9  | 9.9  |   6.1   |   0.4   |
|   通信服务   | 603421 | 鼎信通讯 | 56.9  | -14.0  | 9.9  |  14.8   |  17.5   |
|   通信服务   | 002115 | 三维通信 | 35.4  |  54.2  | 10.1 |  -0.7   |   5.3   |
|   贸易行业   | 600647 | 同达创业 | 29.5  | 115.3  | 10.0 |  14.0   |  14.8   |
|     证券     | 002670 | 国盛金控 | 175.3 | -113.1 | 9.9  |  -5.6   |  -5.6   |
|  计算机设备  | 002835 | 同为股份 | 24.6  | 1419.7 | 10.0 |  21.0   |  12.5   |
|   装修装饰   | 000055 | 方大集团 | 61.6  |  35.1  | 10.0 |  13.7   |  17.1   |
|   装修装饰   | 002620 | 瑞和股份 | 23.8  |  61.4  | 10.0 |   3.1   |  13.2   |
|   装修建材   | 000663 | 永安林业 | 29.8  |  66.2  | 9.9  |  19.6   |  27.2   |
|   装修建材   | 002718 | 友邦吊顶 | 21.1  |  24.9  | 10.0 |   7.2   |  15.2   |
|   装修建材   | 000619 | 海螺新材 | 27.2  | -26.0  | 10.0 |   5.9   |  26.9   |
|   装修建材   | 603378 | 亚士创能 | 47.9  | -31.5  | 10.0 |   2.7   |   0.6   |
|   航运港口   | 601975 | 招商南油 | 169.4 |  41.0  | 10.1 |   8.7   |   7.7   |
|   航运港口   | 601872 | 招商轮船 | 482.4 |  9.2   | 10.0 |   6.6   |   5.1   |
|   航运港口   | 600026 | 中远海能 | 464.7 | 464.1  | 10.1 |   6.5   |   9.7   |
|   美容护理   | 300740 | 水羊股份 | 60.5  |  36.4  | 20.0 |  19.9   |  13.7   |
|   综合行业   | 002591 | 恒大高新 | 27.3  | -249.7 | 10.1 |  33.1   |  77.0   |
|   纺织服装   | 002193 | 如意集团 | 17.9  | 154.1  | 10.0 |   9.5   |   8.1   |
|   石油行业   | 000819 | 岳阳兴长 | 58.0  | 122.9  | 10.0 |  28.6   |  25.6   |
|   电网设备   | 688248 | 南网科技 | 262.7 | 1451.0 | 16.3 |  36.8   |  84.6   |
|   电网设备   | 002090 | 金智科技 | 80.2  | 242.0  | 10.0 |  27.0   |  38.4   |
|   电网设备   | 688663 |  新风光  | 61.5  |  89.1  | 10.2 |  26.6   |  33.8   |
|   电网设备   | 603097 | 江苏华辰 | 47.3  |  41.3  | 10.0 |  15.2   |  27.7   |
|   电网设备   | 002028 | 思源电气 | 359.4 |  38.0  | 10.0 |  11.4   |  20.7   |
|   电网设备   | 002121 | 科陆电子 | 107.3 | -57.1  | 10.0 |   8.9   |  14.2   |
|   电网设备   | 002441 |  众业达  | 55.0  |  9.2   | 10.0 |   8.5   |  10.2   |
|   电网设备   | 002112 | 三变科技 | 19.9  | 274.7  | 10.0 |   4.0   |   8.8   |
|   电网设备   | 000533 | 顺钠股份 | 29.3  | 164.2  | 10.1 |   0.7   |   1.2   |
|   电源设备   | 002518 |  科士达  | 202.5 |  93.2  | 10.0 |  15.5   |  10.8   |
|   电源设备   | 002534 | 西子洁能 | 151.5 |  94.3  | 10.0 |  13.9   |  16.5   |
|   电源设备   | 002665 | 首航高科 | 85.3  | -39.6  | 10.2 |   5.3   |   6.3   |
|   电子元件   | 688103 | 国力股份 | 59.1  | 122.5  | 20.0 |  23.8   |  24.8   |
|   电子元件   | 300657 | 弘信电子 | 68.8  | -47.9  | 14.9 |  17.1   |  11.0   |
|   电子元件   | 600152 | 维科技术 | 43.5  | -166.1 | 9.9  |  12.9   |  30.8   |
|   电力行业   | 601016 | 节能风电 | 280.7 |  16.6  | 10.0 |  10.7   |  15.0   |
|   电力行业   | 605028 | 世茂能源 | 32.4  |  18.0  | 10.0 |   3.9   |   5.4   |
|   电力行业   | 000531 | 穗恒运Ａ  | 63.5  | -31.3  | 10.0 |   3.6   |   4.3   |
|   电力行业   | 000040 | 东旭蓝天 | 54.4  | -23.6  | 9.9  |   2.8   |   6.4   |
|   电力行业   | 002616 | 长青集团 | 42.9  | 244.8  | 10.1 |   0.7   |  11.2   |
|   电力行业   | 001896 | 豫能控股 | 102.2 |  -5.5  | 10.0 |  -1.3   |  -7.3   |
|   电力行业   | 000537 | 广宇发展 | 226.7 |  41.9  | 10.0 |  -2.6   |   0.3   |
|   生物制品   | 000534 | 万泽股份 | 67.0  |  51.3  | 10.0 |   6.5   |   3.2   |
|   环保行业   | 300187 | 永清环保 | 54.9  | 169.9  | 20.0 |  43.4   |  45.6   |
|   环保行业   | 300262 | 巴安水务 | 23.8  | -11.1  | 19.9 |  14.5   |  11.9   |
|   环保行业   | 301175 | 中科环保 | 146.0 |  74.9  | 14.3 |  14.0   |  23.5   |
|   环保行业   | 300614 | 百川畅银 | 55.0  |  50.1  | 13.8 |  10.1   |  15.3   |
|   环保行业   | 603797 | 联泰环保 | 37.7  |  13.8  | 10.1 |   9.3   |  11.0   |
|   环保行业   | 003027 | 同兴环保 | 24.7  |  19.2  | 10.0 |   7.6   |   6.6   |
|   环保行业   | 002973 | 侨银股份 | 54.9  |  17.8  | 10.0 |   7.6   |   9.5   |
|   环保行业   | 000035 | 中国天楹 | 139.6 |  81.8  | 9.9  |   5.9   |   4.0   |
|   环保行业   | 000826 | 启迪环境 | 50.2  |  -5.3  | 10.0 |   4.8   |  10.0   |
|   环保行业   | 300422 |  博世科  | 32.7  |  -8.8  | 12.1 |   4.3   |   7.5   |
|   环保行业   | 000711 | 京蓝科技 | 27.9  |  -8.0  | 10.1 |  -1.1   |   1.5   |
|   煤炭行业   | 600348 | 华阳股份 | 436.5 |  8.4   | 10.0 |  25.2   |  36.1   |
|     游戏     | 002168 | 惠程科技 | 33.6  | -29.2  | 10.0 |   7.2   |  13.6   |
|     游戏     | 300002 | 神州泰岳 | 81.8  |  32.4  | 9.7  |   6.4   |   4.5   |
|   消费电子   | 002139 | 拓邦股份 | 162.3 |  43.1  | 10.0 |  19.3   |   5.7   |
|   消费电子   | 002547 | 春兴精工 | 60.8  |  91.0  | 10.0 |  15.7   |  19.2   |
|   消费电子   | 003028 | 振邦智能 | 57.7  |  33.9  | 10.0 |  15.6   |  -7.8   |
|   消费电子   | 002681 | 奋达科技 | 79.6  |  92.3  | 10.1 |  11.8   |   6.1   |
|   消费电子   | 605277 | 新亚电子 | 38.6  |  28.1  | 10.0 |  10.2   |   7.5   |
