[行业>三日涨幅]
+------------+--------+------------+-------+--------+------+---------+---------+
|    行业    |  代码  |    名称    | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+-------+--------+------+---------+---------+
|  食品饮料  | 603170 |  宝立食品  | 70.0  |  41.8  | 10.0 |  74.2   |  74.2   |
|  食品饮料  | 600872 |  中炬高新  | 275.7 |  43.5  | 10.0 |  11.0   |   9.7   |
|  风电设备  | 300690 |  双一科技  | 41.2  |  94.1  | 20.0 |  23.9   |  41.3   |
|  风电设备  | 600458 |  时代新材  | 98.1  |  31.8  | 10.0 |  19.8   |  28.8   |
|  铁路公路  | 000548 |  湖南投资  | 26.0  |  79.1  | 9.9  |   0.4   |  13.5   |
|  通用设备  | 600992 |  贵绳股份  | 47.4  | 236.9  | 10.0 |  26.5   |  49.4   |
|  通用设备  | 002896 |  中大力德  | 32.2  |  46.3  | 10.0 |  18.4   |  15.2   |
|  通用设备  | 000890 |   法尔胜   | 19.6  | -37.5  | 10.1 |   9.6   |  12.2   |
|  通信服务  | 603421 |  鼎信通讯  | 62.6  | -15.4  | 10.0 |  25.5   |  22.5   |
|  软件开发  | 300598 |  诚迈科技  | 79.6  | -43.3  | 16.7 |  21.4   |  21.8   |
|  软件开发  | 688207 | 格灵深瞳-U | 53.7  | -91.8  | 16.2 |  17.9   |  11.8   |
|  软件开发  | 300663 |  科蓝软件  | 74.9  | 314.4  | 14.8 |  16.9   |  14.2   |
|  软件开发  | 301236 |  软通动力  | 266.1 |  69.7  | 13.8 |  16.0   |  29.7   |
|  软件开发  | 300229 |   拓尔思   | 93.9  | 111.8  | 12.4 |  14.1   |  19.4   |
|  软件开发  | 002261 |  拓维信息  | 85.5  |  52.9  | 10.0 |  11.8   |  11.6   |
|  软件开发  | 603990 |  麦迪科技  | 45.5  | 121.6  | 10.0 |  11.1   |  10.3   |
|  装修装饰  | 002047 |  宝鹰股份  | 66.0  | -36.3  | 10.1 |  10.7   |   6.4   |
|  装修建材  | 000619 |  海螺新材  | 29.9  | -28.6  | 10.1 |  17.4   |  41.0   |
|  装修建材  | 002641 |  公元股份  | 63.0  |  48.9  | 9.9  |   5.8   |  12.3   |
|  综合行业  | 002591 |  恒大高新  | 30.0  | -274.7 | 10.0 |  33.2   |  77.1   |
|  综合行业  | 000158 |  常山北明  | 101.5 | -29.3  | 10.1 |   9.3   |   9.5   |
|  纺织服装  | 603055 |  台华新材  | 111.4 |  24.3  | 10.0 |   6.7   |   5.0   |
|  电网设备  | 002112 |  三变科技  | 21.9  | 302.3  | 10.0 |  21.1   |  18.6   |
|  电网设备  | 002953 |  日丰股份  | 52.9  |  45.7  | 10.0 |  14.5   |  18.5   |
|  电源设备  | 300870 |   欧陆通   | 52.8  | -44.9  | 11.8 |  10.8   |  15.4   |
|    电池    | 600847 |  万里股份  | 37.2  | -83.9  | 10.0 |  19.2   |  19.8   |
|    电机    | 002823 |  凯中精密  | 34.2  |  42.6  | 10.0 |  13.9   |  17.6   |
|    电机    | 300660 |  江苏雷利  | 95.2  |  34.3  | 11.4 |  13.3   |  17.3   |
|  电子元件  | 002869 |  金溢科技  | 34.4  | -52.5  | 10.0 |  14.1   |   9.3   |
