[行业>三日涨幅]
+------------+--------+------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+--------+------+---------+---------+
|  食品饮料  | 002726 |  龙大美食  | 113.2  | 120.8  | -4.7 |  -2.5   |  -4.8   |
|  风电设备  | 301155 |  海力风电  | 222.4  |  89.6  | -4.8 |   5.9   |  19.1   |
|  风电设备  | 300443 |  金雷股份  | 143.8  |  78.1  | -5.1 |   0.6   |  16.6   |
|  风电设备  | 688660 |  电气风电  | 130.3  |  24.8  | -3.5 |   0.4   |   8.1   |
|  风电设备  | 300129 |  泰胜风能  |  93.2  |  37.3  | -3.8 |  -0.8   |  15.0   |
|  风电设备  | 601615 |  明阳智能  | 749.7  |  13.3  | -5.9 |  -2.4   |   4.4   |
|  风电设备  | 603218 |  日月股份  | 268.0  | 112.5  | -5.6 |  -2.5   |   8.7   |
|  风电设备  | 300850 |   新强联   | 308.1  |  78.8  | -5.7 |  -4.1   |   2.0   |
|  风电设备  | 603063 |  禾望电气  | 175.2  |  65.4  | -4.9 |  -4.4   |   9.2   |
| 非金属材料 | 603612 |  索通发展  | 189.8  |  30.0  | -5.3 |  -8.0   |  -5.4   |
|  钢铁行业  | 688186 |  广大特材  |  73.4  |  88.0  | -3.4 |   2.0   |  21.4   |
|  钢铁行业  | 600399 |  抚顺特钢  | 373.3  | 109.3  | -4.0 |  -0.5   |  -1.3   |
|  通用设备  | 002514 |  宝馨科技  |  82.0  | 367.8  | -6.0 |   7.7   |  37.8   |
|  通用设备  | 003025 |  思进智能  |  35.4  |  21.8  | -4.3 |   7.5   |   8.8   |
|  通用设备  | 301125 |  腾亚精工  |  25.8  |  51.9  | -4.3 |   5.3   |  14.4   |
|  通用设备  | 301163 |  宏德股份  |  34.2  |  55.1  | -4.5 |   0.9   |  14.8   |
|  通用设备  | 300953 |  震裕科技  | 131.3  |  58.5  | -3.3 |  -2.4   |   2.2   |
|  通用设备  | 301268 |   铭利达   | 243.6  | 107.6  | -4.2 |  -3.5   |  15.3   |
|  通用设备  | 603187 |  海容冷链  |  82.1  |  26.2  | -3.8 |  -3.9   |  -5.0   |
|  通用设备  | 603667 |  五洲新春  |  52.8  |  32.9  | -5.5 |  -7.2   |   3.8   |
|  通信设备  | 600260 |  *ST凯乐   |  28.8  |  -8.0  | -3.0 |  -1.4   |  -0.7   |
|  通信服务  | 301139 |  元道通信  |  42.0  |  52.9  | -3.4 |   2.6   |   4.9   |
|  软件开发  | 301162 |  国能日新  |  56.3  | 265.5  | -4.8 |  -0.1   |   1.5   |
|  贸易行业  | 301099 |  雅创电子  |  70.8  |  54.2  | -4.1 |  -0.0   |   9.1   |
|  贸易行业  | 000626 |  远大控股  |  55.8  | 125.1  | -3.0 |  -9.4   |  -6.2   |
| 计算机设备 | 002835 |  同为股份  |  23.6  | 1359.0 | -4.3 |  15.8   |  10.6   |
| 计算机设备 | 002180 |   纳思达   | 744.0  |  42.2  | -3.1 |  -4.5   |   1.9   |
|  装修建材  | 301010 |  晶雪节能  |  28.4  | 178.0  | -3.4 |   0.4   |   3.5   |
|  装修建材  | 603208 |  江山欧派  |  54.9  |  23.6  | -3.4 |  -6.2   |  -15.2  |
|  装修建材  | 002791 |  坚朗五金  | 281.3  | -78.6  | -3.3 |  -10.5  |  -20.4  |
|  航天航空  | 688237 |  超卓航科  |  55.5  |  53.8  | -3.3 |   6.1   |  14.9   |
|  航天航空  | 600765 |  中航重机  | 452.1  |  54.4  | -4.2 |  -7.2   |  -3.7   |
