[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 专用设备 | 300751 | 迈为股份 | 663.4 |  92.2   |  1.8  |   1.7   |   3.9   |
| 专用设备 | 688082 | 盛美上海 | 425.7 | 2468.4  |  4.2  |  17.9   |  16.9   |
| 专用设备 | 002353 | 杰瑞股份 | 403.4 |  46.2   |  1.5  |   4.3   |  15.4   |
| 专用设备 | 000519 | 中兵红箭 | 348.1 |  30.9   |  0.7  |   0.5   |   7.9   |
| 专用设备 | 002625 | 光启技术 | 348.0 |  203.7  |  0.0  |   3.3   |   4.9   |
| 专用设备 | 002430 | 杭氧股份 | 312.0 |  24.2   |  2.4  |   2.5   |  11.4   |
| 专用设备 | 600499 | 科达制造 | 308.4 |   8.6   |  7.9  |   6.4   |  -0.3   |
| 专用设备 | 300724 | 捷佳伟创 | 294.2 |  26.9   | 12.6  |  19.1   |  26.3   |
| 专用设备 | 300776 | 帝尔激光 | 255.7 |  68.7   |  4.3  |   2.0   |   6.0   |
| 专用设备 | 601399 | 国机重装 | 233.0 |  74.6   | -0.9  |   0.6   |   3.5   |
| 专用设备 | 301200 | 大族数控 | 220.5 |  30.2   |  1.3  |   7.1   |  10.0   |
| 专用设备 | 601106 | 中国一重 | 209.2 |  135.2  | -0.7  |   0.7   |   3.4   |
| 专用设备 | 600582 | 天地科技 | 207.3 |  12.4   | -1.6  |  -0.6   |  -0.2   |
| 专用设备 | 603025 | 大豪科技 | 186.4 |  58.6   |  0.4  |   0.5   |   0.9   |
| 专用设备 | 600320 | 振华重工 | 181.2 |  296.3  | -2.3  |   0.0   |   2.7   |
| 专用设备 | 688499 |  利元亨  | 180.2 |  56.7   |  9.4  |  19.5   |  23.4   |
| 专用设备 | 002595 | 豪迈科技 | 173.2 |  18.6   |  3.9  |   6.4   |  10.2   |
| 专用设备 | 002690 | 美亚光电 | 172.4 |  37.9   |  1.6  |   4.4   |   6.7   |
| 专用设备 | 688789 | 宏华数科 | 158.8 |  54.4   | -0.9  |   7.2   |  16.0   |
| 专用设备 | 002960 | 青鸟消防 | 156.1 |  58.6   |  0.2  |   5.4   |  16.6   |
| 专用设备 | 601608 | 中信重工 | 155.8 |  49.8   | -0.3  |  -0.8   |   1.4   |
| 专用设备 | 688001 | 华兴源创 | 138.1 |  84.5   |  1.8  |   3.0   |  36.0   |
| 专用设备 | 601038 | 一拖股份 | 134.8 |   7.0   | -1.1  |  -2.9   |  -3.2   |
| 专用设备 | 688097 | 博众精工 | 132.5 |  321.4  |  1.4  |   7.8   |  19.1   |
| 专用设备 | 600835 | 上海机电 | 131.5 |  19.9   |  3.3  |   5.4   |   7.3   |
| 专用设备 | 688559 |  海目星  | 131.1 |  294.9  | 10.2  |  18.6   |  24.1   |
| 专用设备 | 603690 | 至纯科技 | 127.5 |  145.5  | -0.7  |   8.7   |  12.1   |
| 专用设备 | 603583 | 捷昌驱动 | 126.0 |  41.6   |  5.0  |   6.8   |  10.3   |
| 专用设备 | 603666 |  亿嘉和  | 119.6 |  81.4   |  2.8  |   7.5   |  16.7   |
| 专用设备 | 002006 | 精功科技 | 118.8 |  117.7  |  3.8  |   5.6   |   8.8   |
| 专用设备 | 002698 | 博实股份 | 115.9 |  18.9   | -0.5  |   3.4   |   5.3   |
| 专用设备 | 688700 | 东威科技 | 109.5 |  69.4   |  5.4  |   6.3   |  12.6   |
| 专用设备 | 688383 |  新益昌  | 105.3 |  37.1   | -1.2  |   7.0   |  13.7   |
| 专用设备 | 002837 |  英维克  | 104.7 |  206.2  |  0.8  |  11.5   |  18.0   |
| 专用设备 | 603300 | 华铁应急 | 101.9 |  23.8   |  0.4  |   1.0   |  -0.4   |
| 专用设备 | 688518 | 联赢激光 | 98.9  |  165.7  |  7.1  |  18.5   |  32.9   |
