[行业>市值]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 中药 | 600436 |  片仔癀  | 1841.0 |  66.8  | 1.4  |  -1.5   |   3.3   |
| 中药 | 000538 | 云南白药 | 1011.0 |  27.6  | 1.3  |  -0.2   |  -0.1   |
| 中药 | 600085 |  同仁堂  | 629.5  |  39.4  | 0.5  |  -1.4   |   3.4   |
| 中药 | 600332 |  白云山  | 490.5  |  6.8   | 0.1  |  -2.5   |  -0.7   |
| 中药 | 000999 | 华润三九 | 399.3  |  11.9  | 0.4  |  -7.8   |  -3.3   |
| 中药 | 002603 | 以岭药业 | 365.7  |  18.9  | 2.3  |   0.4   |  -0.7   |
| 中药 | 600518 |  ST康美  | 352.1  | -79.0  | -0.4 |  -0.8   |  -2.7   |
| 中药 | 603858 | 步长制药 | 222.6  |  12.9  | 1.4  |   0.1   |  -0.8   |
| 中药 | 600566 | 济川药业 | 220.0  |  9.5   | 4.5  |   7.8   |   7.7   |
| 中药 | 000423 | 东阿阿胶 | 207.2  |  45.2  | 1.1  |  -0.2   |   2.1   |
| 中药 | 600329 |  达仁堂  | 170.0  |  21.3  | 2.2  |   1.9   |   5.7   |
| 中药 | 300026 | 红日药业 | 169.7  |  17.8  | 4.2  |   0.5   |  -0.2   |
| 中药 | 600535 |  天士力  | 153.4  |  -6.9  | 1.3  |  -1.1   |  -1.6   |
| 中药 | 600771 |  广誉远  | 145.6  | 469.1  | 5.5  |   1.5   |   2.9   |
| 中药 | 002287 | 奇正藏药 | 130.9  |  37.6  | 1.8  |   0.9   |   2.1   |
| 中药 | 002349 | 精华制药 | 120.3  |  45.0  | 5.0  |   1.6   |  -1.3   |
| 中药 | 002317 | 众生药业 | 115.7  |  38.8  | -1.7 |  -7.8   |  -11.5  |
| 中药 | 600129 | 太极集团 | 114.3  | 143.5  | 2.6  |   2.5   |   9.3   |
| 中药 | 600572 |  康恩贝  | 113.6  |  28.0  | 0.9  |  -1.3   |  -2.6   |
| 中药 | 603567 |  珍宝岛  | 109.7  |  17.4  | 0.3  |  -0.8   |   1.9   |
| 中药 | 600252 | 中恒集团 | 101.1  |  29.5  | 0.7  |   0.0   |   1.0   |
