[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 光伏设备 | 601012 | DR隆基绿 | 3281.0 |  30.8  | 6.5  |   7.5   |  13.4   |
| 光伏设备 | 600438 | 通威股份 | 2213.0 |  10.7  | 3.8  |   8.8   |  11.5   |
| 光伏设备 | 002459 | 晶澳科技 | 1621.0 |  54.0  | 6.0  |   3.4   |   4.3   |
| 光伏设备 | 688223 | 晶科能源 | 1548.0 |  96.5  | 8.9  |  11.0   |  10.7   |
| 光伏设备 | 002129 | 中环股份 | 1470.0 |  28.0  | 4.0  |   4.3   |   6.1   |
| 光伏设备 | 688599 | 天合光能 | 1427.0 |  65.7  | 6.3  |   2.6   |   3.0   |
| 光伏设备 | 300274 | 阳光电源 | 1368.0 |  83.2  | 8.3  |  15.2   |  17.3   |
| 光伏设备 | 688303 | 大全能源 | 1281.0 |  7.4   | 6.8  |   8.8   |  12.3   |
| 光伏设备 | 603806 |  福斯特  | 1087.0 |  80.1  | 5.0  |   2.9   |   3.6   |
| 光伏设备 | 601865 |  福莱特  | 961.8  |  55.1  | 4.2  |   2.0   |   1.6   |
| 光伏设备 | 300316 | 晶盛机电 | 768.8  |  43.5  | 5.3  |   8.6   |  10.0   |
| 光伏设备 | 300763 | 锦浪科技 | 622.4  |  94.7  | 3.5  |  -0.8   |   6.1   |
| 光伏设备 | 600732 | 爱旭股份 | 548.6  |  60.4  | 3.4  |  11.0   |  23.9   |
| 光伏设备 | 603185 | 上机数控 | 474.3  |  18.1  | 5.5  |  16.7   |  28.6   |
| 光伏设备 | 688032 | 禾迈股份 | 365.6  | 104.8  | 9.1  |   4.5   |  18.1   |
| 光伏设备 | 688390 |  固德威  | 261.3  | 693.9  | 5.5  |  12.0   |  15.3   |
| 光伏设备 | 300118 | 东方日升 | 253.9  |  29.8  | 5.5  |   6.1   |   6.3   |
| 光伏设备 | 688516 |  奥特维  | 249.7  |  58.5  | 2.1  |   5.2   |   5.9   |
| 光伏设备 | 688598 | 金博股份 | 218.3  |  26.9  | 4.0  |  12.0   |  15.6   |
| 光伏设备 | 002506 | 协鑫集成 | 198.9  | 228.2  | 3.3  |   5.3   |   3.0   |
| 光伏设备 | 688680 | 海优新材 | 194.1  |  62.8  | 5.8  |  10.2   |   8.3   |
| 光伏设备 | 300393 | 中来股份 | 180.3  |  50.8  | 5.0  |   6.6   |   6.2   |
| 光伏设备 | 002610 | 爱康科技 | 159.5  | -173.7 | 4.4  |   5.0   |   3.8   |
| 光伏设备 | 002617 | 露笑科技 | 157.0  | -125.0 | 3.6  |   6.5   |   7.7   |
| 光伏设备 | 600151 | 航天机电 | 147.3  | -211.4 | -0.8 |   3.6   |   6.2   |
| 光伏设备 | 688348 | 昱能科技 | 130.4  | 106.1  | 0.0  |   0.0   |   0.0   |
| 光伏设备 | 688408 |  中信博  | 123.3  | -345.0 | 7.8  |  14.5   |  23.1   |
| 光伏设备 | 688556 | DR高测股 | 118.2  |  30.5  | 5.1  |  18.3   |  20.7   |
| 光伏设备 | 603212 | 赛伍技术 | 108.9  |  30.7  | 10.0 |  10.8   |  16.0   |
| 光伏设备 | 300827 | 上能电气 |  93.5  | 145.0  | 3.3  |   9.6   |   6.3   |
| 光伏设备 | 002218 | 拓日新能 |  74.9  | 178.4  | 10.0 |  11.1   |  12.1   |
| 光伏设备 | 603396 | 金辰股份 |  74.6  |  66.8  | 10.0 |  13.5   |  14.0   |
| 光伏设备 | 002623 |  亚玛顿  |  59.6  | 135.0  | 10.0 |   9.8   |  18.6   |
| 光伏设备 | 301046 | 能辉科技 |  58.4  | 125.9  | 0.2  |   3.3   |   5.5   |
| 光伏设备 | 603105 | 芯能科技 |  53.5  | 124.5  | 3.2  |   4.3   |   5.8   |
