[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 化学制品 | 600309 | 万华化学 | 2606.0 |  12.1   | 1.6  |  -1.3   |  -0.1   |
| 化学制品 | 002709 | 天赐材料 | 877.3  |  14.6   | 10.0 |  19.8   |  20.4   |
| 化学制品 | 300769 | 德方纳米 | 520.8  |  17.1   | 5.4  |   8.7   |  13.6   |
| 化学制品 | 688005 | 容百科技 | 477.4  |  40.8   | 5.8  |  14.6   |  19.5   |
| 化学制品 | 688065 | 凯赛生物 | 443.4  |  63.5   | 9.0  |  20.6   |  22.4   |
| 化学制品 | 300285 | 国瓷材料 | 386.5  |  46.4   | 6.9  |   8.0   |  19.1   |
| 化学制品 | 003022 | 联泓新科 | 381.0  |  88.7   | 6.1  |   3.8   |   2.6   |
| 化学制品 | 002497 | 雅化集团 | 358.2  |   8.8   | 10.0 |   9.1   |   8.3   |
| 化学制品 | 600378 | 昊华科技 | 357.3  |  40.1   | 1.9  |   2.5   |   7.4   |
| 化学制品 | 600352 | 浙江龙盛 | 345.5  |  18.4   | 0.8  |  -0.5   |   0.8   |
| 化学制品 | 600160 | 巨化股份 | 334.0  |  35.6   | 3.6  |   5.9   |   6.6   |
| 化学制品 | 688116 | 天奈科技 | 329.8  |  82.5   | 2.7  |  11.3   |  16.2   |
| 化学制品 | 002407 |  多氟多  | 319.3  |  10.9   | 5.8  |   7.7   |   8.3   |
| 化学制品 | 300699 | 光威复材 | 299.0  |  36.0   | 1.9  |   4.8   |   8.5   |
| 化学制品 | 600299 |  安迪苏  | 264.4  |  15.5   | 0.1  |   0.9   |   3.8   |
| 化学制品 | 002326 | 永太科技 | 261.7  |  16.8   | 8.6  |  12.8   |  11.9   |
| 化学制品 | 603026 | 石大胜华 | 242.4  |  13.5   | 5.6  |  11.5   |  12.2   |
| 化学制品 | 002408 | 齐翔腾达 | 225.4  |  10.1   | 1.0  |   0.2   |  -1.2   |
| 化学制品 | 605589 | 圣泉集团 | 189.7  |  37.8   | 2.9  |   6.8   |   8.2   |
| 化学制品 | 600500 | 中化国际 | 188.0  |  11.9   | 2.6  |   2.4   |   5.9   |
| 化学制品 | 300821 | 东岳硅材 | 187.6  |  19.4   | 4.3  |   2.4   |   5.5   |
| 化学制品 | 002810 | 山东赫达 | 184.6  |  47.9   | 6.9  |   4.6   |   7.2   |
| 化学制品 | 603906 | 龙蟠科技 | 163.7  |  19.2   | 5.4  |  10.1   |  12.7   |
| 化学制品 | 600273 | 嘉化能源 | 155.5  |   6.7   | 2.8  |   1.4   |   2.4   |
| 化学制品 | 300343 | 联创股份 | 153.1  |  12.4   | 9.5  |  14.3   |  12.5   |
| 化学制品 | 002226 | 江南化工 | 144.4  |  22.9   | 3.6  |   2.4   |   5.4   |
| 化学制品 | 600370 |  三房巷  | 137.5  |   8.9   | 6.0  |   1.4   |   4.1   |
| 化学制品 | 603379 | 三美股份 | 132.3  |  17.1   | 5.1  |   8.6   |   9.7   |
| 化学制品 | 688639 | 华恒生物 | 120.1  |  54.4   | 11.0 |  15.7   |  16.6   |
| 化学制品 | 300072 | 三聚环保 | 113.0  |  -16.0  | 1.9  |   2.3   |   4.3   |
| 化学制品 | 301216 | 万凯新材 | 108.5  |   9.4   | 0.6  |  -1.1   |   6.0   |
| 化学制品 | 603916 |  苏博特  | 104.1  |  32.4   | 0.3  |   5.0   |   3.5   |
| 化学制品 | 688269 | 凯立新材 | 103.6  |  46.6   | -0.3 |   5.6   |  12.5   |
| 化学制品 | 605399 | 晨光新材 |  95.9  |  12.6   | 1.7  |  -0.2   |  13.3   |
| 化学制品 | 002440 | 闰土股份 |  95.8  |  11.3   | 0.7  |   0.8   |   1.5   |
| 化学制品 | 002549 | 凯美特气 |  95.2  |  42.3   | 3.3  |   0.7   |   0.2   |
| 化学制品 | 605366 | 宏柏新材 |  92.9  |  19.3   | 4.5  |  11.9   |  28.4   |
| 化学制品 | 688196 | 卓越新能 |  83.8  |  20.9   | 6.8  |  14.4   |  20.4   |
| 化学制品 | 000881 | 中广核技 |  83.7  |  54.9   | 1.1  |   1.8   |   7.3   |
| 化学制品 | 603110 | 东方材料 |  78.4  | 1463.3  | -0.9 |   2.4   |   7.1   |
| 化学制品 | 002637 | 赞宇科技 |  76.9  |  11.7   | 1.1  |  -1.6   |   6.0   |
| 化学制品 | 603155 |  新亚强  |  76.8  |  20.1   | 2.2  |   5.1   |   4.7   |
| 化学制品 | 300910 | 瑞丰新材 |  74.4  |  36.1   | 1.0  |  14.8   |  19.7   |
| 化学制品 | 688157 | 松井股份 |  73.4  |  91.7   | 2.5  |   9.0   |  17.2   |
| 化学制品 | 300019 | 硅宝科技 |  72.2  |  42.3   | 2.6  |   4.1   |  11.6   |
| 化学制品 | 002455 | 百川股份 |  66.0  |  26.3   | 2.5  |  13.5   |  12.4   |
| 化学制品 | 600230 | 沧州大化 |  63.5  |  16.2   | 2.9  |   2.7   |   7.7   |
| 化学制品 | 002562 | 兄弟科技 |  63.0  |  15.3   | -0.2 |  -5.0   |  -0.3   |
| 化学制品 | 605020 | 永和股份 |  62.5  |  21.5   | 4.4  |   6.4   |   9.7   |
| 化学制品 | 600165 | 新日恒力 |  62.4  |  -68.0  | 7.7  |   7.4   |  10.4   |
| 化学制品 | 300041 | 回天新材 |  62.4  |  17.6   | 1.5  |   7.5   |  11.7   |
| 化学制品 | 603217 | 元利科技 |  62.1  |  11.6   | 4.3  |   2.1   |   4.2   |
| 化学制品 | 603227 | 雪峰科技 |  60.3  |  20.4   | 4.5  |   0.8   |  -2.0   |
| 化学制品 | 002915 | 中欣氟材 |  59.9  |  35.6   | 10.0 |  11.8   |  15.4   |
| 化学制品 | 688625 | 呈和科技 |  59.1  |  32.0   | -1.1 |   1.8   |  10.6   |
| 化学制品 | 002986 | 宇新股份 |  52.8  |  16.7   | 10.0 |  10.5   |  13.5   |
| 化学制品 | 300530 | 达志科技 |  52.4  |  -14.1  | 7.0  |   4.7   |   8.7   |
| 化学制品 | 300437 |  清水源  |  52.4  |  17.2   | 6.0  |   5.1   |   3.0   |
| 化学制品 | 603977 | 国泰集团 |  52.0  |  38.2   | 3.2  |   2.8   |   5.5   |
| 化学制品 | 002246 | 北化股份 |  51.3  |  81.0   | 1.2  |  -0.2   |   6.9   |
| 化学制品 | 301190 | 善水科技 |  50.9  |  52.5   | 2.1  |   4.7   |   4.2   |
| 化学制品 | 300801 | 泰和科技 |  49.6  |   9.9   | 4.5  |   4.1   |   5.0   |
| 化学制品 | 603867 | 新化股份 |  49.4  |  12.3   | 2.4  |   2.8   |   5.1   |
| 化学制品 | 300109 |  新开源  |  49.2  |  37.8   | 3.4  |   5.1   |   4.6   |
| 化学制品 | 600800 | 渤海化学 |  48.9  |  -18.9  | 0.2  |   1.7   |   4.0   |
| 化学制品 | 603681 | 永冠新材 |  47.6  |  17.6   | 1.8  |   5.3   |   5.9   |
| 化学制品 | 002096 | 南岭民爆 |  47.5  |  -90.9  | 2.7  |   2.0   |  10.0   |
| 化学制品 | 002037 | 保利联合 |  46.8  |  -20.3  | 1.5  |  -1.3   |   5.1   |
| 化学制品 | 300174 | 元力股份 |  46.6  |  22.9   | 1.4  |   1.5   |  -0.1   |
| 化学制品 | 688199 | 久日新材 |  45.3  |  20.7   | 0.2  |   9.3   |  14.7   |
| 化学制品 | 603948 | 建业股份 |  45.2  |   8.4   | 5.5  |   6.0   |  12.4   |
| 化学制品 | 301100 | 风光股份 |  44.4  |  64.5   | 1.7  |   4.4   |   7.5   |
| 化学制品 | 301212 | 联盛化学 |  42.4  |  58.0   | 1.3  |   1.4   |  -1.5   |
| 化学制品 | 300758 | 七彩化学 |  41.2  |  41.8   | 2.2  |   3.7   |   6.1   |
| 化学制品 | 605166 |  聚合顺  |  40.6  |  16.2   | 6.3  |   8.1   |   9.6   |
| 化学制品 | 603823 |  百合花  |  40.2  |  15.1   | 1.4  |   3.7   |   6.9   |
| 化学制品 | 603968 | 醋化股份 |  39.9  |  11.0   | 0.0  |  -0.2   |   1.6   |
| 化学制品 | 300200 | 高盟新材 |  37.7  |  23.3   | -1.6 |  -1.1   |   2.8   |
| 化学制品 | 002054 | 德美化工 |  37.5  |  21.5   | 1.4  |   2.4   |   2.6   |
| 化学制品 | 002971 | 和远气体 |  37.4  |  36.1   | 3.3  |   2.6   |  15.3   |
| 化学制品 | 300848 | 美瑞新材 |  37.4  |  41.3   | 3.7  |   3.2   |  -4.9   |
| 化学制品 | 300067 |  安诺其  |  36.7  |  29.5   | 0.9  |   1.2   |   2.6   |
| 化学制品 | 603980 | 吉华集团 |  36.7  | -438.9  | 1.6  |   3.6   |   4.4   |
| 化学制品 | 002476 | 宝莫股份 |  36.2  |  91.7   | -5.1 |   3.1   |  -1.8   |
| 化学制品 | 002666 | 德联集团 |  35.7  |  24.1   | 0.8  |   2.8   |   1.9   |
| 化学制品 | 688737 | 中自科技 |  35.3  |  -81.7  | 10.2 |  22.6   |  29.1   |
| 化学制品 | 603822 | 嘉澳环保 |  35.0  |  31.1   | 6.0  |   6.1   |  10.9   |
| 化学制品 | 301092 | 争光股份 |  34.8  |  44.0   | 2.1  |   6.6   |   8.8   |
| 化学制品 | 300225 |  金力泰  |  33.9  |  -32.4  | -0.9 |   4.0   |   6.0   |
| 化学制品 | 002783 | 凯龙股份 |  33.2  |  12.6   | 1.2  |   0.3   |   5.8   |
