[行业>市值]
+----------+--------+------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+--------+------+---------+---------+
| 化学制药 | 600276 |  恒瑞医药  | 1948.0 |  39.4  | 2.3  |   0.7   |   5.1   |
| 化学制药 | 600196 |  复星医药  | 1095.0 |  59.2  | 0.3  |  -2.5   |  -0.4   |
| 化学制药 | 000963 |  华东医药  | 674.4  |  23.9  | 1.0  |  -0.6   |   5.2   |
| 化学制药 | 002001 |  新 和 成  | 655.3  |  13.6  | 0.9  |   2.2   |   3.2   |
| 化学制药 | 603456 |  九洲药业  | 379.6  |  45.7  | 3.9  |  -4.4   |  -0.9   |
| 化学制药 | 300363 |  博腾股份  | 378.8  |  24.8  | 5.6  |   0.7   |   7.2   |
| 化学制药 | 603707 |  健友股份  | 353.9  |  26.8  | 4.5  |   3.0   |   4.4   |
| 化学制药 | 000513 |  丽珠集团  | 323.1  |  14.6  | 5.3  |   4.4   |   6.4   |
| 化学制药 | 688690 |  纳微科技  | 319.3  | 131.0  | 8.7  |  15.7   |  19.1   |
| 化学制药 | 002294 |   信立泰   | 288.2  |  30.4  | 1.3  |   0.3   |   1.3   |
| 化学制药 | 600521 |  华海药业  | 277.5  |  50.4  | -0.9 |  -4.6   |  -4.6   |
| 化学制药 | 600079 |  人福医药  | 268.3  |  7.2   | 1.7  |  -1.7   |   0.4   |
| 化学制药 | 002422 |  科伦药业  | 259.9  |  22.3  | 4.2  |   2.4   |   2.0   |
| 化学制药 | 002399 |   海普瑞   | 248.7  |  26.5  | -2.8 |   0.8   |   7.5   |
| 化学制药 | 000739 |  普洛药业  | 246.9  |  40.6  | 1.5  |   1.0   |  -4.3   |
| 化学制药 | 600062 |  华润双鹤  | 234.4  |  17.6  | -0.4 |  -18.1  |  -29.7  |
| 化学制药 | 600380 |   健康元   | 233.8  |  12.7  | 1.8  |   2.9   |   4.7   |
