[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 医疗器械 | 300760 | 迈瑞医疗 | 3674.0 |  43.6  | 1.7  |   0.2   |   7.0   |
| 医疗器械 | 603392 | 万泰生物 | 1121.0 |  21.1  | 1.4  |  -0.1   |  -13.0  |
| 医疗器械 | 300595 | 欧普康视 | 388.9  |  65.7  | -0.5 |  -0.8   |  15.2   |
| 医疗器械 | 300529 | 健帆生物 | 378.0  |  28.2  | 0.8  |   6.6   |   8.5   |
| 医疗器械 | 300832 |  新产业  | 345.7  |  28.0  | 6.2  |   8.2   |   8.5   |
| 医疗器械 | 688105 |  诺唯赞  | 318.0  |  18.4  | 8.1  |   9.8   |  13.4   |
| 医疗器械 | 300003 | 乐普医疗 | 314.9  |  14.4  | 1.1  |  -1.4   |  -2.2   |
| 医疗器械 | 688301 | 奕瑞科技 | 297.5  |  73.7  | 4.3  |   5.2   |  12.7   |
| 医疗器械 | 002432 | 九安医疗 | 286.8  |  0.5   | 4.9  |   1.8   |  -2.5   |
| 医疗器械 | 300676 | 华大基因 | 278.3  |  21.1  | 2.4  |   2.3   |   1.4   |
| 医疗器械 | 603658 | 安图生物 | 252.5  |  26.3  | 0.9  |   1.4   |   0.3   |
| 医疗器械 | 002030 | 达安基因 | 246.9  |  3.7   | 1.1  |   0.1   |  -1.2   |
| 医疗器械 | 002223 | 鱼跃医疗 | 246.3  |  13.3  | 2.6  |   2.8   |   8.0   |
| 医疗器械 | 688139 | 海尔生物 | 242.8  |  53.5  | 1.5  |   6.3   |   4.2   |
| 医疗器械 | 300171 |  东富龙  | 218.0  |  25.8  | 5.2  |   1.0   |  10.1   |
| 医疗器械 | 688298 | 东方生物 | 212.7  |  2.6   | 3.7  |   3.9   |   5.1   |
| 医疗器械 | 688050 | 爱博医疗 | 209.2  |  89.1  | -1.0 |  -1.0   |  -1.8   |
| 医疗器械 | 688289 | 圣湘生物 | 195.3  |  7.5   | 1.6  |   2.3   |   1.6   |
| 医疗器械 | 688161 | 威高骨科 | 189.7  |  48.5  | 2.2  |   6.9   |   8.2   |
| 医疗器械 | 300482 | 万孚生物 | 175.9  |  4.9   | 1.3  |   2.2   |   0.9   |
| 医疗器械 | 688198 | 佰仁医疗 | 174.9  | 321.4  | 2.5  |   5.3   |   6.5   |
| 医疗器械 | 688366 | 昊海生科 | 162.6  |  66.7  | 1.7  |   5.6   |  20.6   |
