[行业>市值]
+--------+--------+------------+--------+---------+------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+---------+------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3614.0 |  31.8   | 2.6  |   6.5   |   7.7   |
| 半导体 | 603501 |  韦尔股份  | 1581.0 |  44.1   | 4.7  |  10.0   |  18.5   |
| 半导体 | 002371 |  北方华创  | 1537.0 |  186.1  | 1.0  |   8.0   |  13.9   |
| 半导体 | 002049 |  紫光国微  | 1177.0 |  55.5   | 4.7  |   9.3   |   6.3   |
| 半导体 | 603986 |  兆易创新  | 960.8  |  35.0   | -0.7 |   1.0   |   3.8   |
| 半导体 | 688008 |  澜起科技  | 805.2  |  65.8   | 5.4  |  10.6   |  16.5   |
| 半导体 | 688012 |  中微公司  | 784.7  |  167.4  | 3.1  |  10.3   |  17.9   |
| 半导体 | 688396 |   华润微   | 770.3  |  31.1   | 4.5  |  10.3   |  16.5   |
| 半导体 | 300661 |  圣邦股份  | 694.5  |  66.7   | -1.4 |   2.0   |   5.8   |
| 半导体 | 600460 |   士兰微   | 686.4  |  63.9   | 4.0  |   7.5   |  10.2   |
| 半导体 | 300782 |   卓胜微   | 677.8  |  36.9   | 2.3  |   4.7   |   8.8   |
| 半导体 | 603290 |  斯达半导  | 671.8  |  111.0  | 0.1  |   3.4   |   6.6   |
| 半导体 | 688126 | 沪硅产业-U | 669.5  | -1104.6 | 2.2  |  10.0   |   9.7   |
| 半导体 | 688728 |   格科微   | 542.3  |  56.1   | 4.8  |   9.9   |  19.6   |
| 半导体 | 688385 |  复旦微电  | 466.1  |  50.0   | 9.1  |  11.6   |  11.8   |
| 半导体 | 300223 |  北京君正  | 462.1  |  49.9   | 4.0  |   3.2   |   8.5   |
| 半导体 | 688536 |   思瑞浦   | 460.2  |  125.8  | -3.1 |   4.6   |   8.6   |
| 半导体 | 688099 |  晶晨股份  | 459.2  |  42.5   | 3.3  |   3.7   |   8.2   |
| 半导体 | 600584 |  长电科技  | 449.7  |  13.1   | 3.5  |   4.4   |   6.0   |
| 半导体 | 605358 |   立昂微   | 428.3  |  45.0   | 1.9  |   2.6   |   8.0   |
| 半导体 | 300373 |  扬杰科技  | 382.4  |  34.6   | 2.5  |   5.0   |   0.2   |
| 半导体 | 603893 |   瑞芯微   | 360.0  |  107.0  | 3.9  |   5.8   |  17.1   |
| 半导体 | 688052 |   纳芯微   | 340.7  |  101.0  | 3.7  |  10.5   |  10.4   |
| 半导体 | 688220 | 翱捷科技-U | 309.5  | -239.6  | 3.9  |  13.8   |  17.9   |
| 半导体 | 002185 |  华天科技  | 289.0  |  34.9   | 2.4  |   4.5   |   4.6   |
| 半导体 | 603160 |  汇顶科技  | 278.0  | -137.6  | 1.7  |   5.1   |   8.6   |
| 半导体 | 300604 |  长川科技  | 275.7  |  96.9   | 3.8  |  12.9   |  17.0   |
| 半导体 | 688256 |  寒武纪-U  | 275.4  |  -23.9  | 11.1 |  21.4   |  28.0   |
| 半导体 | 688234 |  天岳先进  | 274.8  | -157.0  | 6.5  |  19.1   |  24.8   |
| 半导体 | 002409 |  雅克科技  | 269.9  |  45.4   | 0.9  |  15.9   |  24.4   |
