[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 商业百货 | 601933 | 永辉超市 | 391.1 |  19.5  | 1.4  |  -1.8   |  -4.4   |
| 商业百货 | 000785 | 居然之家 | 303.6 |  15.0  | 1.1  |   5.2   |  11.0   |
| 商业百货 | 600415 | 小商品城 | 300.9 |  11.2  | 3.0  |   1.3   |   5.4   |
| 商业百货 | 600859 |  王府井  | 269.8 |  17.9  | 1.1  |  -1.2   |   0.6   |
| 商业百货 | 601828 |  美凯龙  | 244.3 |  8.8   | -0.5 |   2.0   |   5.8   |
| 商业百货 | 600827 | 百联股份 | 228.6 |  36.8  | 5.4  |   4.5   |   6.8   |
| 商业百货 | 002024 |  ST易购  | 217.9 |  -5.3  | 0.4  |  -0.8   |  -1.7   |
| 商业百货 | 000564 | *ST大集  | 191.6 | 397.1  | -1.0 |  -2.0   |  -2.9   |
| 商业百货 | 301078 |  孩子王  | 155.1 | -119.6 | 0.6  |  -3.4   |  -0.1   |
| 商业百货 | 600682 | 南京新百 | 126.3 |  15.0  | 1.4  |  -0.1   |   1.3   |
| 商业百货 | 603123 | 翠微股份 | 106.7 |  40.7  | 4.3  |   0.5   |  -0.3   |
| 商业百货 | 002416 |  爱施德  | 102.4 |  12.8  | 0.4  |   0.4   |  -7.2   |
| 商业百货 | 002818 |  富森美  | 89.0  |  9.8   | -0.6 |  -1.2   |   0.8   |
| 商业百货 | 600729 | 重庆百货 | 85.8  |  5.2   | -1.5 |  -2.6   |  -2.0   |
| 商业百货 | 002419 | 天虹股份 | 82.8  |  7.4   | 1.6  |  -3.3   |  -0.6   |
| 商业百货 | 603708 |  家家悦  | 81.7  |  15.6  | -1.5 |  -0.6   |   0.7   |
| 商业百货 | 000501 | 武商集团 | 78.5  |  11.2  | 0.1  |  -1.5   |  -0.5   |
| 商业百货 | 000058 | 深 赛 格 | 70.4  |  52.2  | 1.2  |  -6.4   |   0.2   |
| 商业百货 | 600861 | 北京城乡 | 66.8  | -85.5  | 4.3  |   1.4   |  16.6   |
| 商业百货 | 002697 | 红旗连锁 | 66.2  |  13.6  | -0.2 |   1.9   |   2.5   |
| 商业百货 | 600828 | 茂业商业 | 63.9  |  38.9  | -0.3 |   0.0   |   1.9   |
| 商业百货 | 605136 | 丽人丽妆 | 63.4  | 124.8  | 0.6  |   1.7   |   5.4   |
| 商业百货 | 002187 | 广百股份 | 62.0  |  52.8  | 1.0  |   4.9   |   8.4   |
| 商业百货 | 002251 | 步 步 高 | 61.7  |  55.0  | -1.6 |  -12.4  |  -10.2  |
| 商业百货 | 000906 | 浙商中拓 | 61.5  |  9.2   | 0.8  |   2.9   |   4.3   |
| 商业百货 | 002277 | 友阿股份 | 59.0  |  24.6  | -0.5 |  10.7   |   5.8   |
| 商业百货 | 002344 | 海宁皮城 | 58.2  |  10.2  | -0.2 |   0.2   |   6.1   |
| 商业百货 | 601010 | 文峰股份 | 57.5  | -59.8  | 0.3  |  -0.3   |   0.3   |
| 商业百货 | 002561 |  徐家汇  | 56.7  |  67.2  | -1.5 |  -20.2  |  -1.4   |
| 商业百货 | 600790 |  轻纺城  | 55.9  |  18.6  | -0.5 |  -2.8   |   0.8   |
| 商业百货 | 601116 | 三江购物 | 54.9  |  29.0  | 0.0  |   0.4   |  -1.2   |
| 商业百货 | 600738 | 丽尚国潮 | 54.7  |  6.0   | 0.7  |  -4.2   |  -3.4   |
| 商业百货 | 601366 | 利群股份 | 53.6  | -52.8  | -1.1 |  -1.7   |  -3.1   |
| 商业百货 | 600694 | 大商股份 | 52.7  |  5.6   | 0.0  |  -1.6   |  -5.4   |
| 商业百货 | 600628 |  新世界  | 52.5  | 125.0  | 0.0  |  -3.6   |   0.8   |
| 商业百货 | 603031 |  安德利  | 51.1  |  37.0  | 5.5  |   9.5   |  18.1   |
| 商业百货 | 600814 | 杭州解百 | 51.0  |  13.6  | 0.4  |  -1.6   |   0.4   |
| 商业百货 | 000882 | 华联股份 | 50.6  | 555.3  | -0.5 |  -2.1   |   0.0   |
| 商业百货 | 600824 | 益民集团 | 41.6  |  28.6  | -2.0 |  -4.6   |  -1.7   |
| 商业百货 | 300622 | 博士眼镜 | 40.8  | 147.9  | 2.1  |   1.5   |   1.3   |
| 商业百货 | 600865 | 百大集团 | 39.8  |  18.6  | -0.3 |   0.4   |  -6.7   |
| 商业百货 | 600693 | 东百集团 | 39.5  |  32.7  | 0.2  |  -3.7   |  -6.6   |
| 商业百货 | 600361 | 华联综超 | 39.4  |  47.3  | -1.3 |  -2.3   |   2.1   |
| 商业百货 | 605188 | 国光连锁 | 37.6  |  59.5  | 0.3  |   4.1   |   7.4   |
| 商业百货 | 000417 | 合肥百货 | 36.8  |  10.1  | -1.1 |  -3.7   |  -4.1   |
| 商业百货 | 000759 | 中百集团 | 35.4  | 401.8  | 0.4  |  -3.2   |   1.6   |
| 商业百货 | 000701 | 厦门信达 | 35.3  | 117.4  | 3.3  |   5.1   |   2.3   |
| 商业百货 | 600774 | 汉商集团 | 34.3  |  36.9  | 1.7  |   2.0   |   1.6   |
| 商业百货 | 002264 | 新 华 都 | 33.3  |  19.9  | -2.0 |  -0.6   |   0.0   |
| 商业百货 | 600306 |  ST商城  | 33.0  | -56.7  | 1.3  |   4.4   |  10.7   |
| 商业百货 | 600838 | 上海九百 | 32.9  |  63.4  | 1.7  |  -8.8   |  -1.4   |
| 商业百货 | 603101 | 汇嘉时代 | 31.3  |  14.1  | 0.0  |  -3.2   |  -4.3   |
| 商业百货 | 600785 | 新华百货 | 29.1  |  17.0  | -1.5 |  -3.9   |  -3.0   |
