[行业>市值]
+--------+--------+----------+--------+--------+------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+------+---------+---------+
| 小金属 | 600111 | 北方稀土 | 1375.0 |  22.1  | 5.6  |   8.7   |  11.1   |
| 小金属 | 603993 | 洛阳钼业 | 1089.0 |  15.2  | 4.1  |   5.7   |   5.9   |
| 小金属 | 002056 | 横店东磁 | 384.7  |  26.3  | 5.5  |   3.5   |   3.0   |
| 小金属 | 002738 | 中矿资源 | 350.9  |  11.3  | 10.0 |   7.3   |   2.0   |
| 小金属 | 600392 | 盛和资源 | 332.7  |  11.7  | 3.3  |   7.4   |   8.2   |
| 小金属 | 600549 | 厦门钨业 | 300.9  |  19.8  | 3.1  |   8.3   |  11.3   |
| 小金属 | 000831 | 五矿稀土 | 296.9  |  44.2  | 2.4  |  11.8   |  13.5   |
| 小金属 | 000960 | 锡业股份 | 286.9  |  5.9   | 1.4  |   1.6   |   6.4   |
| 小金属 | 300748 | 金力永磁 | 276.4  |  42.2  | 4.3  |  10.1   |  11.1   |
| 小金属 | 600456 | 宝钛股份 | 257.6  |  33.3  | 1.8  |   2.5   |   1.0   |
| 小金属 | 601958 | 金钼股份 | 256.5  |  23.3  | 1.9  |   6.6   |   4.6   |
| 小金属 | 000657 | 中钨高新 | 162.4  |  37.7  | 2.7  |  11.8   |  20.2   |
| 小金属 | 000970 | 中科三环 | 153.9  |  23.2  | 2.3  |   7.7   |   8.1   |
| 小金属 | 600206 | 有研新材 | 151.5  |  36.4  | 4.2  |   3.5   |   7.5   |
| 小金属 | 600259 | 广晟有色 | 135.1  |  41.5  | 0.8  |  10.0   |  10.7   |
| 小金属 | 002182 | 云海金属 | 126.0  |  10.4  | 2.9  |   5.0   |   7.0   |
| 小金属 | 605376 | 博迁新材 | 124.5  |  72.5  | 0.2  |   3.5   |   3.2   |
| 小金属 | 603399 | 吉翔股份 | 113.7  | 1462.1 | 6.7  |   0.6   |  -0.9   |
| 小金属 | 600459 | 贵研铂业 | 110.3  |  14.5  | 3.7  |   6.5   |   7.7   |
| 小金属 | 300224 | 正海磁材 | 109.6  |  32.7  | 2.3  |   7.5   |   7.5   |
| 小金属 | 688190 | 云路股份 | 103.4  |  67.5  | 3.7  |  15.4   |  23.1   |
| 小金属 | 600366 | 宁波韵升 | 101.9  |  34.5  | 3.7  |   7.7   |  10.2   |
| 小金属 | 300811 | 铂科新材 |  96.9  |  75.0  | 5.9  |  11.4   |  16.6   |
| 小金属 | 000795 |  英洛华  |  81.6  |  35.8  | 3.3  |   7.1   |   6.3   |
| 小金属 | 002057 | 中钢天源 |  73.4  |  29.6  | 10.0 |  12.3   |  14.7   |
| 小金属 | 002378 | 章源钨业 |  73.1  |  27.8  | 1.4  |   3.8   |   3.5   |
