[行业>市值]
+--------------+--------+----------+------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+------+---------+---------+
| 工程咨询服务 | 300284 |  苏交科  | 88.2 |  50.0  | 0.7  |  -1.4   |  -1.0   |
| 工程咨询服务 | 000928 | 中钢国际 | 80.5 |  15.6  | 0.3  |   1.3   |   5.0   |
| 工程咨询服务 | 003013 | 地铁设计 | 68.3 |  18.1  | 0.7  |   0.2   |   0.1   |
| 工程咨询服务 | 603959 | 百利科技 | 66.6 |  54.2  | 3.8  |  12.8   |   8.2   |
| 工程咨询服务 | 603018 | 华设集团 | 62.4 |  16.7  | 1.9  |  -0.3   |  -2.5   |
| 工程咨询服务 | 600629 | 华建集团 | 61.3 |  17.6  | -2.2 |  -5.2   |   3.8   |
| 工程咨询服务 | 301136 | 招标股份 | 60.6 | 171.0  | 1.6  |  -0.6   |  -0.1   |
| 工程咨询服务 | 300492 | 华图山鼎 | 54.4 | 1000.1 | -0.2 |   3.3   |   5.3   |
| 工程咨询服务 | 603357 | 设计总院 | 53.2 |  11.9  | 1.0  |  -1.5   |  -2.4   |
| 工程咨询服务 | 300983 | 尤安设计 | 48.1 | -55.6  | 1.8  |   4.1   |   5.7   |
| 工程咨询服务 | 301091 |  深城交  | 47.7 | -31.4  | 7.5  |   8.0   |  12.3   |
| 工程咨询服务 | 002116 | 中国海诚 | 45.7 |  29.2  | -1.9 |  -6.9   |  -13.4  |
| 工程咨询服务 | 000779 |  甘咨询  | 45.6 |  28.2  | 1.5  |  -1.9   |  -5.1   |
| 工程咨询服务 | 301027 | 华蓝集团 | 39.5 |  59.4  | 2.4  |  -1.8   |  -7.8   |
| 工程咨询服务 | 603458 | 勘设股份 | 35.2 |  29.0  | 0.2  |   1.3   |   2.8   |
| 工程咨询服务 | 300500 | 启迪设计 | 33.0 | -93.0  | 4.7  |   1.6   |   0.3   |
| 工程咨询服务 | 300732 |  设研院  | 29.3 |  16.0  | 0.8  |  -0.6   |  -0.5   |
| 工程咨询服务 | 603909 | 建发合诚 | 29.0 | 119.8  | 3.6  |  -1.2   |  -5.4   |
| 工程咨询服务 | 603017 | 中衡设计 | 27.7 |  32.2  | 1.1  |  -1.2   |   6.3   |
| 工程咨询服务 | 300635 |  中达安  | 27.4 |  91.6  | -2.2 |   5.0   |   4.9   |
| 工程咨询服务 | 300746 | 汉嘉设计 | 27.1 |  47.6  | 3.3  |   3.4   |   1.5   |
| 工程咨询服务 | 301167 | 建研设计 | 26.9 |  44.9  | 1.7  |   0.0   |   0.2   |
| 工程咨询服务 | 002949 | 华阳国际 | 25.1 | -165.0 | 1.1  |   0.2   |  -2.4   |
| 工程咨询服务 | 300778 |  新城市  | 25.0 |  27.5  | 2.2  |   2.3   |  -7.2   |
| 工程咨询服务 | 300949 | 奥雅设计 | 24.5 | -15.5  | 0.2  |  -1.0   |  -3.8   |
| 工程咨询服务 | 300977 | 深圳瑞捷 | 24.5 | -25.0  | 4.2  |   5.9   |   3.6   |
| 工程咨询服务 | 300564 | 筑博设计 | 24.3 | 264.8  | 1.0  |   0.0   |   2.2   |
| 工程咨询服务 | 300675 |  建科院  | 24.0 | -26.7  | -0.1 |  -2.1   |   3.2   |
| 工程咨询服务 | 300989 | 蕾奥规划 | 23.3 |  42.4  | 1.4  |   0.7   |  -2.4   |
| 工程咨询服务 | 003001 | 中岩大地 | 23.0 |  89.6  | 0.8  |   0.7   |  -9.6   |
| 工程咨询服务 | 300668 | 杰恩设计 | 21.8 | -34.0  | -0.7 |   0.2   |   4.9   |
| 工程咨询服务 | 300826 | 测绘股份 | 18.8 |  43.6  | 1.3  |   0.7   |  -1.2   |
| 工程咨询服务 | 300844 | 山水比德 | 18.8 |  -7.5  | 3.6  |   3.1   |   3.4   |
| 工程咨询服务 | 002883 | 中设股份 | 18.6 |  41.4  | -0.8 |  -12.9  |  -22.4  |
| 工程咨询服务 | 603860 | 中公高科 | 15.6 | -93.6  | 1.8  |  -1.3   |   9.2   |
+--------------+--------+----------+------+--------+------+---------+---------+
 




 [行业>PE]
+--------------+--------+----------+------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+------+---------+---------+
| 工程咨询服务 | 300492 | 华图山鼎 | 54.4 | 1000.1 | -0.2 |   3.3   |   5.3   |
| 工程咨询服务 | 300564 | 筑博设计 | 24.3 | 264.8  | 1.0  |   0.0   |   2.2   |
| 工程咨询服务 | 301136 | 招标股份 | 60.6 | 171.0  | 1.6  |  -0.6   |  -0.1   |
| 工程咨询服务 | 603909 | 建发合诚 | 29.0 | 119.8  | 3.6  |  -1.2   |  -5.4   |
| 工程咨询服务 | 300635 |  中达安  | 27.4 |  91.6  | -2.2 |   5.0   |   4.9   |
| 工程咨询服务 | 003001 | 中岩大地 | 23.0 |  89.6  | 0.8  |   0.7   |  -9.6   |
| 工程咨询服务 | 301027 | 华蓝集团 | 39.5 |  59.4  | 2.4  |  -1.8   |  -7.8   |
| 工程咨询服务 | 603959 | 百利科技 | 66.6 |  54.2  | 3.8  |  12.8   |   8.2   |
| 工程咨询服务 | 300284 |  苏交科  | 88.2 |  50.0  | 0.7  |  -1.4   |  -1.0   |
| 工程咨询服务 | 300746 | 汉嘉设计 | 27.1 |  47.6  | 3.3  |   3.4   |   1.5   |
| 工程咨询服务 | 301167 | 建研设计 | 26.9 |  44.9  | 1.7  |   0.0   |   0.2   |
| 工程咨询服务 | 300826 | 测绘股份 | 18.8 |  43.6  | 1.3  |   0.7   |  -1.2   |
| 工程咨询服务 | 300989 | 蕾奥规划 | 23.3 |  42.4  | 1.4  |   0.7   |  -2.4   |
| 工程咨询服务 | 002883 | 中设股份 | 18.6 |  41.4  | -0.8 |  -12.9  |  -22.4  |
| 工程咨询服务 | 603017 | 中衡设计 | 27.7 |  32.2  | 1.1  |  -1.2   |   6.3   |
| 工程咨询服务 | 002116 | 中国海诚 | 45.7 |  29.2  | -1.9 |  -6.9   |  -13.4  |
| 工程咨询服务 | 603458 | 勘设股份 | 35.2 |  29.0  | 0.2  |   1.3   |   2.8   |
| 工程咨询服务 | 000779 |  甘咨询  | 45.6 |  28.2  | 1.5  |  -1.9   |  -5.1   |
| 工程咨询服务 | 300778 |  新城市  | 25.0 |  27.5  | 2.2  |   2.3   |  -7.2   |
| 工程咨询服务 | 003013 | 地铁设计 | 68.3 |  18.1  | 0.7  |   0.2   |   0.1   |
