[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 工程建设 | 601668 | 中国建筑 | 2227.0 |  4.3   | -2.6 |  -3.6   |  -6.7   |
| 工程建设 | 601390 | 中国中铁 | 1549.0 |  5.1   | -3.5 |  -4.7   |  -7.9   |
| 工程建设 | 601800 | 中国交建 | 1516.0 |  7.4   | -2.2 |  -2.4   |  -5.9   |
| 工程建设 | 601669 | 中国电建 | 1201.0 |  10.9  | 1.7  |   0.5   |   1.4   |
| 工程建设 | 601186 | 中国铁建 | 1062.0 |  4.7   | -0.8 |  -1.5   |  -3.6   |
| 工程建设 | 601868 | 中国能建 | 975.6  |  25.4  | 0.9  |   0.4   |   0.0   |
| 工程建设 | 601618 | 中国中冶 | 739.8  |  6.9   | 1.4  |   1.1   |   1.1   |
| 工程建设 | 601117 | 中国化学 | 605.4  |  15.5  | 0.8  |   5.1   |   5.4   |
| 工程建设 | 600039 | 四川路桥 | 507.9  |  8.1   | 1.5  |  -0.6   |  -0.4   |
| 工程建设 | 002761 | 浙江建投 | 356.0  |  27.1  | -7.5 |  -11.1  |  -3.2   |
| 工程建设 | 600170 | 上海建工 | 274.3  | -38.4  | -0.7 |  -1.9   |   0.0   |
| 工程建设 | 601611 | 中国核建 | 225.9  |  13.3  | 0.7  |   0.3   |   0.8   |
| 工程建设 | 600248 | 陕西建工 | 212.1  |  6.9   | 0.5  |   0.2   |   0.7   |
| 工程建设 | 600970 | 中材国际 | 192.1  |  10.0  | 3.5  |   1.9   |   4.0   |
| 工程建设 | 603098 | 森特股份 | 191.8  | 116.3  | 2.6  |   0.8   |  10.9   |
| 工程建设 | 600820 | 隧道股份 | 187.1  |  15.8  | -0.7 |  -1.3   |  -0.3   |
| 工程建设 | 000498 | 山东路桥 | 145.9  |  15.5  | -2.0 |  -4.5   |  -5.3   |
| 工程建设 | 601068 | 中铝国际 | 141.4  | 193.4  | 2.1  |   0.6   |   4.6   |
| 工程建设 | 600502 | 安徽建工 | 129.6  |  10.4  | 0.4  |   0.0   |   4.2   |
| 工程建设 | 000090 | 天健集团 | 127.6  |  3.5   | -1.7 |  -3.9   |  -4.6   |
| 工程建设 | 002060 | 粤 水 电 | 121.8  |  64.6  | 10.0 |  17.4   |  31.6   |
| 工程建设 | 002051 | 中工国际 | 111.9  |  37.6  | 0.2  |   0.8   |   1.1   |
| 工程建设 | 002061 | 浙江交科 | 109.4  |  7.5   | -0.8 |  -1.7   |  -4.9   |
| 工程建设 | 002941 | 新疆交建 | 103.2  | 665.9  | -3.8 |  -6.8   |  -5.7   |
| 工程建设 | 002135 | 东南网架 | 100.2  |  14.7  | 1.5  |  -0.6   |   2.5   |
| 工程建设 | 301058 | 中粮工科 |  98.0  |  85.8  | 0.7  |  -2.5   |  -4.8   |
| 工程建设 | 600491 | 龙元建设 |  97.5  |  14.3  | 1.8  |  16.2   |  21.3   |
| 工程建设 | 600939 | 重庆建工 |  87.9  |  24.2  | 0.4  |  -2.3   |  -1.3   |
| 工程建设 | 000065 | 北方国际 |  82.8  |  19.7  | -0.5 |  -1.0   |   4.5   |
| 工程建设 | 600284 | 浦东建设 |  80.8  |  12.9  | 0.7  |  -6.9   |  13.8   |
| 工程建设 | 300712 | 永福股份 |  78.0  | 115.7  | 1.6  |   5.0   |   5.6   |
| 工程建设 | 002062 | 宏润建设 |  71.2  |  17.3  | 1.2  |   0.8   |  -4.0   |
| 工程建设 | 002307 | 北新路桥 |  70.0  | 204.4  | 1.9  |   4.9   |   3.8   |
| 工程建设 | 300982 | 苏文电能 |  68.2  |  40.4  | 1.0  |   2.2   |   5.9   |
| 工程建设 | 601789 | 宁波建工 |  66.6  |  16.2  | 0.2  |  -0.8   |  -3.2   |
| 工程建设 | 000628 | 高新发展 |  60.3  | 131.0  | 10.0 |  33.1   |  37.5   |
| 工程建设 | 002140 | 东华科技 |  57.5  |  21.5  | 3.7  |   2.1   |  -1.5   |
| 工程建设 | 603815 | 交建股份 |  56.6  |  44.5  | -0.9 |  -1.3   |  -7.9   |
| 工程建设 | 002431 | 棕榈股份 |  54.6  |  -7.3  | 1.1  |  -6.1   |  -8.7   |
| 工程建设 | 300536 | 农尚环境 |  54.0  | 362.1  | 5.5  |  14.8   |  17.2   |
| 工程建设 | 002542 | 中化岩土 |  51.1  | -78.3  | -0.7 |   0.7   |  -4.7   |
