[行业>市值]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
| 房地产开发 | 000002 | 万  科Ａ  | 2010.0 |  35.2  | -2.4 |  -2.9   |  -6.0   |
| 房地产开发 | 600048 | 保利发展 | 1787.0 |  17.6  | -2.4 |  -3.7   |  -9.1   |
| 房地产开发 | 001979 | 招商蛇口 | 964.3  |  54.3  | -2.8 |  -2.6   |  -7.3   |
| 房地产开发 | 601155 | 新城控股 | 551.9  |  27.1  | -0.7 |   0.5   |  -3.4   |
| 房地产开发 | 600383 | 金地集团 | 515.1  |  20.6  | -2.7 |  -4.0   |  -10.5  |
| 房地产开发 | 600606 | 绿地控股 | 484.2  |  4.8   | 0.3  |  -1.3   |  -6.0   |
| 房地产开发 | 000069 | 华侨城Ａ  | 456.0  |  64.7  | -2.5 |  -3.0   |  -3.3   |
| 房地产开发 | 600663 |  陆家嘴  | 435.7  |  16.6  | -0.1 |  -1.5   |   2.0   |
| 房地产开发 | 600515 |  ST基础  | 386.2  | 128.6  | 0.0  |   0.0   |  -1.2   |
| 房地产开发 | 600848 | 上海临港 | 345.8  |  28.4  | -1.0 |  -3.2   |  -1.3   |
| 房地产开发 | 000537 | 广宇发展 | 257.0  |  47.5  | 6.7  |   3.1   |  11.9   |
| 房地产开发 | 600208 | 新湖中宝 | 239.9  |  12.2  | 0.4  |   0.0   |  -0.7   |
| 房地产开发 | 002244 | 滨江集团 | 233.7  |  25.6  | -1.7 |  -0.7   |  -5.4   |
| 房地产开发 | 600246 | 万通发展 | 211.4  | -143.0 | -0.9 |   3.2   |   2.4   |
| 房地产开发 | 600675 | 中华企业 | 189.6  | -43.1  | 0.3  |  -4.6   |  -4.3   |
| 房地产开发 | 600895 | 张江高科 | 189.2  | -20.8  | -0.1 |  -1.3   |   4.0   |
| 房地产开发 | 000402 | 金 融 街 | 174.0  |  4.7   | 1.4  |   1.2   |  -1.5   |
| 房地产开发 | 600641 | 万业企业 | 172.0  | 157.9  | 1.6  |   9.8   |  11.3   |
