[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 文化传媒 | 002027 | 分众传媒 | 950.3 |  25.6  | 3.3  |   2.5   |  12.7   |
| 文化传媒 | 300413 | 芒果超媒 | 656.4 |  32.3  | 1.5  |  -3.1   |  -8.4   |
| 文化传媒 | 002739 | 万达电影 | 280.6 | 155.9  | 1.6  |   2.1   |   5.7   |
| 文化传媒 | 600637 | 东方明珠 | 252.0 |  35.1  | 0.0  |   0.0   |   2.5   |
| 文化传媒 | 300251 | 光线传媒 | 237.6 |  79.6  | 1.0  |   6.9   |  10.1   |
| 文化传媒 | 600977 | 中国电影 | 202.8 |  43.8  | 0.7  |   0.2   |   2.0   |
| 文化传媒 | 601928 | 凤凰传媒 | 192.1 |  10.1  | -1.1 |  -2.5   |  -0.5   |
| 文化传媒 | 601098 | 中南传媒 | 177.6 |  16.4  | -2.2 |  -3.1   |  -2.0   |
| 文化传媒 | 601921 | 浙版传媒 | 171.3 |  34.4  | -0.1 |   0.3   |   4.6   |
| 文化传媒 | 600959 | 江苏有线 | 168.5 |  45.8  | -1.5 |  -1.2   |  -0.6   |
| 文化传媒 | 300058 | 蓝色光标 | 154.9 | 118.5  | 2.0  |  -0.8   |  -2.8   |
| 文化传媒 | 000156 | 华数传媒 | 144.5 |  23.8  | -0.9 |  -0.3   |   2.1   |
| 文化传媒 | 600373 | 中文传媒 | 144.4 |  9.3   | -0.3 |  -0.6   |   0.9   |
| 文化传媒 | 600556 |  天下秀  | 139.9 |  37.5  | 1.6  |   0.9   |  -1.0   |
| 文化传媒 | 601019 | 山东出版 | 135.4 |  15.9  | -0.3 |  -1.2   |  -0.6   |
| 文化传媒 | 600037 | 歌华有线 | 134.9 |  34.5  | -1.9 |  -2.8   |  -1.1   |
| 文化传媒 | 300182 | 捷成股份 | 133.9 |  11.6  | 5.0  |   2.8   |   0.2   |
| 文化传媒 | 603000 |  人民网  | 118.6 | -219.7 | -0.6 |   6.2   |   6.5   |
| 文化传媒 | 601811 | 新华文轩 | 115.4 |  17.1  | -0.2 |   0.8   |   4.2   |
| 文化传媒 | 000665 | 湖北广电 | 104.7 | -25.7  | 1.9  |   0.9   |  -0.2   |
| 文化传媒 | 601801 | 皖新传媒 | 100.5 |  8.3   | 0.4  |  -0.4   |   2.4   |
| 文化传媒 | 300662 | 科锐国际 | 99.0  |  47.1  | -1.5 |  -1.6   |   6.8   |
| 文化传媒 | 605168 |  三人行  | 98.9  |  41.1  | 6.2  |  19.5   |  18.4   |
| 文化传媒 | 000681 | 视觉中国 | 95.3  |  78.1  | 2.2  |   1.3   |  -5.1   |
| 文化传媒 | 601949 | 中国出版 | 88.8  | 578.9  | 0.6  |   0.4   |   3.8   |
| 文化传媒 | 300770 | 新媒股份 | 87.8  |  12.8  | 1.4  |   2.0   |   4.9   |
| 文化传媒 | 603888 |  新华网  | 86.7  | 106.8  | 0.1  |   1.9   |   4.0   |
| 文化传媒 | 002400 | 省广集团 | 86.0  |  47.0  | 0.2  |  -0.2   |   7.8   |
| 文化传媒 | 300133 | 华策影视 | 85.9  |  18.9  | 1.4  |   1.2   |   1.9   |
| 文化传媒 | 300792 | 壹网壹创 | 83.7  |  40.3  | 2.0  |   8.1   |   5.8   |
| 文化传媒 | 603466 |  风语筑  | 80.7  | -127.8 | 0.0  |   1.1   |  -2.2   |
| 文化传媒 | 600640 |  新国脉  | 80.4  | -195.8 | -1.1 |   3.0   |   8.5   |
| 文化传媒 | 600158 | 中体产业 | 77.8  | -37.0  | -1.7 |   0.5   |   8.4   |
| 文化传媒 | 600996 | 贵广网络 | 75.7  | 655.8  | -0.8 |   0.7   |  -2.3   |
| 文化传媒 | 000719 | 中原传媒 | 75.4  |  19.5  | -0.1 |  -1.1   |   0.4   |
| 文化传媒 | 300364 | 中文在线 | 74.0  | -114.5 | 1.0  |  -3.5   |  -3.5   |
| 文化传媒 | 300027 | 华谊兄弟 | 73.8  | -14.0  | -0.4 |   0.8   |   1.9   |
| 文化传媒 | 000917 | 电广传媒 | 73.7  |  60.4  | 0.4  |  -0.6   |   4.0   |
| 文化传媒 | 601900 | 南方传媒 | 72.2  |  13.9  | -0.7 |  -0.4   |   3.1   |
| 文化传媒 | 603103 | 横店影视 | 71.0  |  23.5  | 0.4  |  -0.4   |   1.6   |
| 文化传媒 | 603533 | 掌阅科技 | 70.9  | -118.3 | -3.5 |   6.2   |   4.9   |
| 文化传媒 | 000676 | 智度股份 | 69.8  |  56.0  | 1.3  |   1.1   |   0.9   |
| 文化传媒 | 600986 | 浙文互联 | 69.0  |  48.8  | 1.2  |   2.1   |   0.4   |
| 文化传媒 | 601929 | 吉视传媒 | 68.3  | 143.1  | -0.5 |   1.0   |   1.5   |
| 文化传媒 | 600757 | 长江传媒 | 68.3  |  5.8   | -0.7 |  -1.2   |   1.8   |
| 文化传媒 | 002292 | 奥飞娱乐 | 66.8  | -54.6  | -3.0 |  -2.2   |  -6.4   |
| 文化传媒 | 301102 | 兆讯传媒 | 66.7  |  27.9  | 7.7  |  13.6   |  24.1   |
| 文化传媒 | 002181 | 粤 传 媒 | 65.4  | 307.2  | -9.9 |   1.3   |  35.0   |
| 文化传媒 | 605577 | 龙版传媒 | 64.4  |  11.6  | 10.0 |   6.9   |   8.5   |
| 文化传媒 | 601858 | 中国科传 | 64.3  |  84.7  | -0.5 |  -0.5   |   3.7   |
| 文化传媒 | 600936 | 广西广电 | 62.7  | -11.6  | 1.9  |  15.4   |  17.2   |
| 文化传媒 | 300860 | 锋尚文化 | 61.8  |  17.3  | 1.4  |   3.6   |   3.7   |
| 文化传媒 | 301025 | 读客文化 | 55.6  | 182.4  | 3.0  |   0.3   |  -3.7   |
| 文化传媒 | 300061 | 旗天科技 | 52.1  | 131.9  | 3.3  |   0.8   |   0.9   |
| 文化传媒 | 000793 | 华闻集团 | 49.7  | -25.5  | -0.4 |  -0.4   |   1.2   |
| 文化传媒 | 600551 | 时代出版 | 49.5  |  15.2  | 0.6  |   2.6   |   7.0   |
| 文化传媒 | 002699 |  ST美盛  | 49.1  | -241.4 | -4.9 |  -3.4   |  -7.1   |
| 文化传媒 | 002803 | 吉宏股份 | 47.5  |  27.7  | 1.9  |   1.3   |  -1.1   |
| 文化传媒 | 600229 | 城市传媒 | 46.8  |  13.3  | -0.5 |   0.3   |   3.7   |
| 文化传媒 | 000607 | 华媒控股 | 46.3  | 939.4  | 1.8  |   0.4   |  -2.4   |
| 文化传媒 | 002238 | 天威视讯 | 45.8  |  76.8  | -1.0 |   2.0   |   5.5   |
| 文化传媒 | 300280 | 紫天科技 | 45.7  |  17.5  | 11.5 |  24.8   |  21.6   |
| 文化传媒 | 601595 | 上海电影 | 45.0  | -873.0 | -0.6 |  -2.0   |   0.5   |
| 文化传媒 | 600831 | 广电网络 | 44.1  |  93.4  | 0.2  |   3.5   |   6.0   |
| 文化传媒 | 601599 | 浙文影业 | 44.1  |  33.4  | -0.8 |  -2.6   |  -5.0   |
| 文化传媒 | 603230 | 内蒙新华 | 44.1  |  9.8   | 0.7  |  -1.2   |   4.9   |
| 文化传媒 | 600825 | 新华传媒 | 43.5  | -640.3 | -1.4 |  -0.9   |   6.1   |
| 文化传媒 | 603825 | 华扬联众 | 41.4  |  53.5  | 2.1  |   1.6   |   2.8   |
| 文化传媒 | 300291 | 百纳千成 | 40.7  | -61.1  | 0.2  |   0.7   |   2.8   |
| 文化传媒 | 300788 | 中信出版 | 39.0  |  23.8  | 1.0  |  -3.7   |   8.5   |
| 文化传媒 | 600052 | 东望时代 | 38.0  | -37.1  | 2.7  |   7.1   |  13.6   |
| 文化传媒 | 600088 | 中视传媒 | 36.4  | -29.6  | 0.0  |  -1.3   |   9.4   |
| 文化传媒 | 300805 | 电声股份 | 33.9  | -153.3 | 2.0  |   3.5   |   2.4   |
| 文化传媒 | 600358 | 国旅联合 | 33.3  | 100.0  | 0.1  |  -1.9   |   4.1   |
| 文化传媒 | 600576 | 祥源文化 | 33.2  | 269.4  | 1.3  |   1.5   |  -0.2   |
| 文化传媒 | 002654 | 万润科技 | 32.9  | -133.3 | 2.7  |   4.0   |   4.6   |
| 文化传媒 | 601999 | 出版传媒 | 32.2  | -97.3  | -0.3 |  -0.5   |   3.2   |
| 文化传媒 | 300987 | 川网传媒 | 32.1  | 211.6  | 5.1  |  14.0   |  18.3   |
| 文化传媒 | 603999 | 读者传媒 | 30.6  | 115.7  | -1.1 |  -0.8   |   4.9   |
| 文化传媒 | 300426 | 唐德影视 | 30.4  | -12.8  | 3.0  |   5.0   |   8.7   |
| 文化传媒 | 603096 |  新经典  | 30.3  |  17.8  | 0.9  |   1.6   |   5.0   |
| 文化传媒 | 000892 | 欢瑞世纪 | 29.8  |  60.4  | 1.0  |  -0.3   |   1.3   |
| 文化传媒 | 300063 | 天龙集团 | 29.6  |  39.7  | 1.0  |  -1.5   |  -0.2   |
| 文化传媒 | 000802 |  ST北文  | 29.0  | -34.8  | -1.2 |   0.2   |  10.3   |
| 文化传媒 | 002235 | 安妮股份 | 28.4  | 189.8  | 1.4  |   5.6   |   5.4   |
| 文化传媒 | 300612 | 宣亚国际 | 27.6  |  78.4  | 2.7  |  -1.4   |  -6.0   |
| 文化传媒 | 002905 | 金逸影视 | 27.5  | -16.5  | -0.9 |  -2.9   |  -0.3   |
| 文化传媒 | 300071 | 华谊嘉信 | 27.2  |  29.8  | -1.3 |  -2.3   |  -4.2   |
| 文化传媒 | 002502 | 鼎龙文化 | 27.1  | -60.5  | -0.3 |  -0.3   |  -0.7   |
| 文化传媒 | 300947 | 德必集团 | 26.2  |  25.6  | 1.9  |   1.8   |   2.2   |
| 文化传媒 | 301052 | 果麦文化 | 25.4  | 151.5  | 1.1  |   1.0   |   4.8   |
| 文化传媒 | 300528 | 幸福蓝海 | 25.4  | -16.7  | -0.9 |   0.6   |   3.6   |
| 文化传媒 | 002343 | 慈文传媒 | 25.2  |  14.1  | -0.8 |  -4.0   |   5.4   |
| 文化传媒 | 002712 | 思美传媒 | 24.9  | -46.0  | 1.2  |   0.9   |   3.9   |
| 文化传媒 | 603598 | 引力传媒 | 24.9  | 3173.1 | 5.5  |   2.0   |   1.3   |
| 文化传媒 | 300795 | 米奥会展 | 20.9  | -30.0  | 1.1  |   5.3   |   7.6   |
| 文化传媒 | 002995 | 天地在线 | 20.6  | -33.2  | 1.2  |  -2.8   |   2.1   |
| 文化传媒 | 300242 | 佳云科技 | 20.4  | -29.5  | 1.3  |   1.6   |   0.6   |
| 文化传媒 | 000038 | *ST大通  | 20.3  |  17.4  | 0.8  |  -4.0   |  -9.3   |
| 文化传媒 | 300781 | 因赛集团 | 20.2  |  40.8  | 3.1  |   1.2   |  -6.2   |
| 文化传媒 | 300654 | 世纪天鸿 | 18.3  |  69.6  | 1.1  |  -0.1   |   5.2   |
| 文化传媒 | 300295 | 三六五网 | 18.1  |  85.5  | 1.9  |   1.3   |   2.3   |
| 文化传媒 | 002858 | 力盛赛车 | 18.0  | -29.3  | 4.2  |   5.7   |   8.2   |
| 文化传媒 | 603721 | XD中广天 | 16.0  | -377.7 | 0.0  |  -1.8   |   4.0   |
| 文化传媒 | 300336 | *ST新文  | 13.6  | -16.7  | 1.8  |  -8.7   |  -14.2  |
| 文化传媒 | 603729 | 龙韵股份 | 13.3  | 100.8  | -0.4 |  -1.4   |  -2.3   |
| 文化传媒 | 600136 |  ST明诚  | 12.9  |  -2.1  | -1.8 |  -7.2   |  -14.1  |
| 文化传媒 | 000673 | *ST当代  | 12.2  | -12.2  | 0.0  |   0.0   |   0.0   |
| 文化传媒 | 300392 | *ST腾信  | 11.4  | -13.9  | 1.4  |  -1.0   |  -5.1   |
| 文化传媒 | 002751 | *ST易尚  | 10.6  |  -5.4  | 1.5  |  -2.7   |  -12.8  |
| 文化传媒 | 300038 | *ST数知  |  9.4  | -11.7  | 0.0  |   0.0   |   0.0   |
+----------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>PE]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 文化传媒 | 603598 | 引力传媒 | 24.9  | 3173.1 | 5.5  |   2.0   |   1.3   |
| 文化传媒 | 000607 | 华媒控股 | 46.3  | 939.4  | 1.8  |   0.4   |  -2.4   |
| 文化传媒 | 600996 | 贵广网络 | 75.7  | 655.8  | -0.8 |   0.7   |  -2.3   |
| 文化传媒 | 601949 | 中国出版 | 88.8  | 578.9  | 0.6  |   0.4   |   3.8   |
| 文化传媒 | 002181 | 粤 传 媒 | 65.4  | 307.2  | -9.9 |   1.3   |  35.0   |
| 文化传媒 | 600576 | 祥源文化 | 33.2  | 269.4  | 1.3  |   1.5   |  -0.2   |
| 文化传媒 | 300987 | 川网传媒 | 32.1  | 211.6  | 5.1  |  14.0   |  18.3   |
| 文化传媒 | 002235 | 安妮股份 | 28.4  | 189.8  | 1.4  |   5.6   |   5.4   |
| 文化传媒 | 301025 | 读客文化 | 55.6  | 182.4  | 3.0  |   0.3   |  -3.7   |
| 文化传媒 | 002739 | 万达电影 | 280.6 | 155.9  | 1.6  |   2.1   |   5.7   |
| 文化传媒 | 301052 | 果麦文化 | 25.4  | 151.5  | 1.1  |   1.0   |   4.8   |
| 文化传媒 | 601929 | 吉视传媒 | 68.3  | 143.1  | -0.5 |   1.0   |   1.5   |
| 文化传媒 | 300061 | 旗天科技 | 52.1  | 131.9  | 3.3  |   0.8   |   0.9   |
| 文化传媒 | 300058 | 蓝色光标 | 154.9 | 118.5  | 2.0  |  -0.8   |  -2.8   |
| 文化传媒 | 603999 | 读者传媒 | 30.6  | 115.7  | -1.1 |  -0.8   |   4.9   |
