[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 水泥建材 | 600585 | 海螺水泥 | 1866.0 |  9.5   | -2.8 |  -4.4   |  -6.6   |
| 水泥建材 | 000877 | 天山股份 | 1063.0 |  26.0  | 1.1  |   0.6   |   1.0   |
| 水泥建材 | 600801 | 华新水泥 | 391.2  |  14.6  | -2.0 |  -5.9   |  -7.4   |
| 水泥建材 | 601992 | 金隅集团 | 300.0  |  27.2  | 0.0  |   0.0   |  -1.8   |
| 水泥建材 | 000401 | 冀东水泥 | 272.2  | -29.2  | 0.5  |   0.5   |  -1.6   |
| 水泥建材 | 002541 | 鸿路钢构 | 226.4  |  33.9  | 3.5  |   9.8   |   5.9   |
| 水泥建材 | 000935 | 四川双马 | 162.8  |  15.3  | 0.1  |   0.1   |   4.0   |
| 水泥建材 | 000672 | 上峰水泥 | 148.5  |  10.9  | 2.1  |  -2.1   |  -5.4   |
| 水泥建材 | 000546 | 金圆股份 | 114.7  | -199.5 | 5.2  |   6.6   |   2.1   |
| 水泥建材 | 600720 |  祁连山  | 105.8  | 943.4  | -1.4 |  -1.4   |   0.6   |
| 水泥建材 | 002233 | 塔牌集团 | 105.3  |  50.0  | 0.8  |  -0.1   |   0.2   |
| 水泥建材 | 002302 | 西部建设 |  98.5  |  74.7  | 0.1  |   0.3   |   1.6   |
| 水泥建材 | 600496 | 精工钢构 |  89.0  |  12.4  | -0.5 |  -3.7   |  -0.5   |
| 水泥建材 | 600477 | 杭萧钢构 |  87.9  |  41.3  | 0.3  |  -0.3   |   3.6   |
| 水泥建材 | 600881 | 亚泰集团 |  87.1  |  -4.8  | 0.0  |   0.8   |  -1.1   |
| 水泥建材 | 000789 |  万年青  |  84.9  |  10.2  | 1.3  |  -0.7   |  -1.3   |
| 水泥建材 | 600724 | 宁波富达 |  63.0  |  21.6  | 1.9  |  -1.4   |  -1.4   |
| 水泥建材 | 003037 | 三和管桩 |  62.6  | 289.9  | 1.9  |   0.3   |  -1.8   |
| 水泥建材 | 600449 | 宁夏建材 |  62.3  | 105.9  | -1.5 |   1.7   |   4.2   |
| 水泥建材 | 600425 | 青松建化 |  58.2  | 578.2  | 0.2  |   2.4   |   1.9   |
| 水泥建材 | 600326 | 西藏天路 |  52.9  | -23.4  | 0.2  |  -0.5   |   1.2   |
| 水泥建材 | 600668 | 尖峰集团 |  46.8  |  58.9  | 1.3  |   1.3   |  -0.1   |
| 水泥建材 | 002596 | 海南瑞泽 |  38.9  | 237.5  | -1.4 |  -3.7   |  -6.1   |
| 水泥建材 | 605122 | 四方新材 |  30.2  |  24.4  | 1.9  |   4.0   |   4.0   |
| 水泥建材 | 600802 | 福建水泥 |  29.6  | -15.2  | 0.0  |  -0.3   |   2.0   |
| 水泥建材 | 002742 | 三圣股份 |  28.2  | 134.3  | 2.7  |   0.0   |  -0.8   |
| 水泥建材 | 002671 | 龙泉股份 |  27.9  | -15.5  | 2.7  |   1.0   |   1.2   |
| 水泥建材 | 603616 | 韩建河山 |  27.7  | -44.9  | 3.4  |   1.7   |   1.0   |
| 水泥建材 | 002743 | 富煌钢构 |  25.6  |  45.4  | 1.0  |   1.9   |   1.9   |
| 水泥建材 | 002205 | 国统股份 |  24.3  | -15.8  | 5.9  |   2.6   |  10.1   |
| 水泥建材 | 600678 | 四川金顶 |  20.8  |  61.4  | -0.7 |   1.4   |   4.4   |
| 水泥建材 | 600883 | 博闻科技 |  17.9  |  37.9  | 0.9  |   2.3   |   3.1   |
| 水泥建材 | 000023 | 深天地Ａ  |  15.4  | -11.3  | -0.3 |  -1.2   |   3.5   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>PE]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 水泥建材 | 600720 |  祁连山  | 105.8  | 943.4  | -1.4 |  -1.4   |   0.6   |
| 水泥建材 | 600425 | 青松建化 |  58.2  | 578.2  | 0.2  |   2.4   |   1.9   |
| 水泥建材 | 003037 | 三和管桩 |  62.6  | 289.9  | 1.9  |   0.3   |  -1.8   |
| 水泥建材 | 002596 | 海南瑞泽 |  38.9  | 237.5  | -1.4 |  -3.7   |  -6.1   |
| 水泥建材 | 002742 | 三圣股份 |  28.2  | 134.3  | 2.7  |   0.0   |  -0.8   |
| 水泥建材 | 600449 | 宁夏建材 |  62.3  | 105.9  | -1.5 |   1.7   |   4.2   |
| 水泥建材 | 002302 | 西部建设 |  98.5  |  74.7  | 0.1  |   0.3   |   1.6   |
| 水泥建材 | 600678 | 四川金顶 |  20.8  |  61.4  | -0.7 |   1.4   |   4.4   |
| 水泥建材 | 600668 | 尖峰集团 |  46.8  |  58.9  | 1.3  |   1.3   |  -0.1   |
| 水泥建材 | 002233 | 塔牌集团 | 105.3  |  50.0  | 0.8  |  -0.1   |   0.2   |
| 水泥建材 | 002743 | 富煌钢构 |  25.6  |  45.4  | 1.0  |   1.9   |   1.9   |
| 水泥建材 | 600477 | 杭萧钢构 |  87.9  |  41.3  | 0.3  |  -0.3   |   3.6   |
| 水泥建材 | 600883 | 博闻科技 |  17.9  |  37.9  | 0.9  |   2.3   |   3.1   |
| 水泥建材 | 002541 | 鸿路钢构 | 226.4  |  33.9  | 3.5  |   9.8   |   5.9   |
| 水泥建材 | 601992 | 金隅集团 | 300.0  |  27.2  | 0.0  |   0.0   |  -1.8   |
| 水泥建材 | 000877 | 天山股份 | 1063.0 |  26.0  | 1.1  |   0.6   |   1.0   |
