[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 消费电子 | 002475 | 立讯精密 | 2536.0 | 35.2  | 6.9  |   5.9   |  17.0   |
| 消费电子 | 601138 | 工业富联 | 1873.0 | 14.4  | 0.3  |   0.2   |   2.3   |
| 消费电子 | 002241 | 歌尔股份 | 1415.0 | 39.2  | 2.0  |   1.7   |  11.8   |
| 消费电子 | 600745 | 闻泰科技 | 852.4  | 42.4  | 3.9  |   7.5   |   8.1   |
| 消费电子 | 688036 | 传音控股 | 820.1  | 25.8  | 2.1  |  16.3   |  21.0   |
| 消费电子 | 300433 | 蓝思科技 | 524.2  | -31.9 | 1.5  |   0.9   |   6.2   |
| 消费电子 | 002841 | 视源股份 | 496.4  | 40.3  | 3.5  |   6.2   |  10.2   |
| 消费电子 | 002600 | 领益智造 | 337.3  | 28.0  | 1.3  |   0.0   |   1.3   |
| 消费电子 | 601231 | 环旭电子 | 288.2  | 16.4  | 0.9  |   4.0   |   5.8   |
| 消费电子 | 300866 | 安克创新 | 268.2  | 33.7  | 2.6  |   5.3   |  11.7   |
| 消费电子 | 000021 |  深科技  | 176.7  | 18.2  | 1.7  |   3.2   |   6.4   |
| 消费电子 | 300679 | 电连技术 | 176.6  | 50.1  | 4.4  |   9.1   |  11.4   |
| 消费电子 | 300083 |  创世纪  | 167.0  | 24.8  | 4.5  |   4.3   |  12.6   |
| 消费电子 | 002402 |  和而泰  | 164.6  | 57.6  | 10.0 |  15.5   |  21.0   |
| 消费电子 | 002925 | 盈趣科技 | 162.3  | 26.1  | -0.1 |   6.9   |   9.7   |
| 消费电子 | 300136 | 信维通信 | 155.4  | 32.1  | 1.7  |   3.6   |   5.2   |
| 消费电子 | 001308 | 康冠科技 | 153.1  | 16.8  | 0.8  |   1.1   |   6.4   |
| 消费电子 | 002139 | 拓邦股份 | 148.2  | 39.4  | 0.9  |   6.9   |  17.7   |
| 消费电子 | 300115 | 长盈精密 | 123.6  | -15.8 | 3.2  |   4.0   |  20.5   |
| 消费电子 | 002635 | 安洁科技 |  98.9  | 29.1  | 2.8  |  -0.7   |   2.8   |
| 消费电子 | 688007 | 光峰科技 |  90.9  | 127.3 | 3.1  |  10.0   |  20.8   |
| 消费电子 | 002881 | 美格智能 |  83.1  | 84.4  | 10.0 |  19.2   |  15.4   |
| 消费电子 | 603595 | 东尼电子 |  81.9  | 110.7 | 1.8  |  12.5   |  16.6   |
| 消费电子 | 002993 | 奥海科技 |  80.7  | 19.3  | 1.2  |   2.9   |  16.0   |
| 消费电子 | 300735 | 光弘科技 |  78.9  | 42.4  | 1.5  |   4.1   |   7.6   |
| 消费电子 | 301180 | 万祥科技 |  78.7  | 37.2  | 2.8  |   6.5   |  13.5   |
| 消费电子 | 002782 |  可立克  |  78.7  | 95.7  | -2.5 |   6.5   |  20.0   |
| 消费电子 | 002351 |  漫步者  |  78.3  | 35.5  | 0.7  |  -4.1   |  10.3   |
| 消费电子 | 002055 | 得润电子 |  68.7  | 190.7 | 1.7  |   7.7   |   9.3   |
| 消费电子 | 300709 | 精研科技 |  63.2  | 67.2  | 2.2  |   0.5   |   4.5   |
| 消费电子 | 002681 | 奋达科技 |  62.0  | 72.0  | 0.3  |  -0.6   |   1.5   |
| 消费电子 | 301123 | 奕东电子 |  60.5  | 37.6  | 1.6  |   5.0   |  10.8   |
| 消费电子 | 300602 |  飞荣达  |  60.4  | -84.4 | 1.4  |   8.7   |  13.1   |
| 消费电子 | 603380 |  易德龙  |  59.8  | 26.9  | 1.7  |   4.1   |  10.8   |
| 消费电子 | 300793 | 佳禾智能 |  55.2  | 70.9  | 3.8  |   4.8   |  13.3   |
| 消费电子 | 300951 | 博硕科技 |  54.7  | 22.0  | 1.8  |   4.4   |   6.2   |
| 消费电子 | 300131 | 英唐智控 |  53.8  | 46.7  | 2.2  |   4.6   |   5.5   |
| 消费电子 | 603327 | DR福蓉科 |  53.0  | 13.8  | 3.0  |   5.8   |   3.9   |
| 消费电子 | 002937 | 兴瑞科技 |  50.8  | 37.3  | 0.6  |  -0.1   |  12.6   |
| 消费电子 | 002655 | 共达电声 |  46.3  | 59.9  | 3.1  |   2.2   |   4.5   |
| 消费电子 | 002885 |  京泉华  |  46.3  | 112.5 | 0.4  |   4.6   |  16.9   |
| 消费电子 | 300032 | 金龙机电 |  45.8  | 93.3  | 1.6  |   1.4   |   0.3   |
| 消费电子 | 300976 | 达瑞电子 |  45.7  | 51.9  | 2.2  |   1.3   |  10.4   |
| 消费电子 | 600203 | 福日电子 |  45.2  | 44.9  | 1.3  |   3.0   |   4.8   |
| 消费电子 | 300322 |  硕贝德  |  44.4  | 406.7 | 2.5  |   3.9   |   9.7   |
| 消费电子 | 300857 | 协创数据 |  44.4  | 37.5  | 2.4  |   9.8   |  11.1   |
| 消费电子 | 300647 |  超频三  |  43.3  | 41.0  | 3.4  |   4.8   |   2.9   |
| 消费电子 | 002045 | 国光电器 |  42.0  | 174.7 | -1.2 |  -3.7   |  12.6   |
| 消费电子 | 603890 | 春秋电子 |  42.0  | 21.4  | 2.9  |   6.1   |   9.1   |
| 消费电子 | 603626 | 科森科技 |  41.7  | 177.3 | 1.5  |   1.2   |   2.6   |
| 消费电子 | 300787 | 海能实业 |  41.6  | 17.9  | 1.9  |   6.8   |  12.6   |
| 消费电子 | 002547 | 春兴精工 |  41.1  | 61.4  | 0.6  |   2.8   |   2.0   |
| 消费电子 | 002947 |  恒铭达  |  40.1  | 28.8  | 1.1  |   4.0   |   7.6   |
| 消费电子 | 300847 | 中船汉光 |  38.9  | 35.4  | 0.5  |   1.9   |   8.8   |
| 消费电子 | 300684 | 中石科技 |  38.4  | 39.7  | 6.7  |   8.6   |  10.9   |
| 消费电子 | 688678 |  福立旺  |  37.9  | 24.8  | 2.3  |  11.7   |  17.7   |
| 消费电子 | 300968 | 格林精密 |  37.3  | 93.5  | 1.6  |   1.7   |   8.3   |
| 消费电子 | 301086 |  鸿富瀚  |  35.4  | 28.0  | 2.1  |   7.0   |   8.7   |
| 消费电子 | 300843 | 胜蓝股份 |  35.2  | 37.6  | -0.2 |  12.6   |  19.9   |
| 消费电子 | 003028 | 振邦智能 |  35.0  | 20.6  | 0.6  |   4.5   |   0.1   |
| 消费电子 | 688683 | 莱尔科技 |  33.0  | 80.2  | 4.0  |  10.1   |  11.1   |
| 消费电子 | 603633 | 徕木股份 |  32.5  | 54.1  | 6.6  |  13.5   |  13.6   |
| 消费电子 | 605277 | 新亚电子 |  32.3  | 23.5  | 2.7  |   8.9   |   9.4   |
| 消费电子 | 300686 |  智动力  |  31.1  | 73.1  | 2.5  |   5.4   |   6.4   |
| 消费电子 | 002866 | 传艺科技 |  30.9  | 17.2  | 2.3  |   5.5   |   7.9   |
| 消费电子 | 603629 | 利通电子 |  29.4  | 43.6  | 4.3  |   6.7   |  14.6   |
| 消费电子 | 300916 | 朗特智能 |  29.3  | 36.7  | 1.6  |   5.9   |   7.3   |
| 消费电子 | 600130 | 波导股份 |  27.6  | 125.0 | 1.1  |   1.7   |   5.0   |
| 消费电子 | 301135 | 瑞德智能 |  26.7  | 70.6  | 1.9  |   7.3   |  12.1   |
| 消费电子 | 300256 | *ST星星  |  26.1  | -18.6 | 0.4  |   1.1   |  -6.8   |
| 消费电子 | 300822 | 贝仕达克 |  26.1  | 36.8  | 1.9  |   7.0   |   9.1   |
| 消费电子 | 300543 | 朗科智能 |  26.0  | 29.6  | 2.0  |   5.0   |   7.4   |
| 消费电子 | 300279 | 和晶科技 |  25.8  | -17.1 | 2.1  |   7.9   |   7.3   |
| 消费电子 | 002369 | 卓翼科技 |  24.5  | -12.2 | 1.4  |   3.4   |   4.7   |
| 消费电子 | 300956 | 英力股份 |  23.5  | 45.5  | 2.7  |   5.2   |   8.8   |
| 消费电子 | 002976 | 瑞玛精密 |  23.5  | 33.7  | 0.4  |   2.8   |  13.3   |
| 消费电子 | 301182 | 凯旺科技 |  23.1  | 62.8  | 1.5  |   4.6   |  10.3   |
| 消费电子 | 002660 | 茂硕电源 |  22.2  | 57.7  | 5.3  |  -8.7   |  -0.5   |
| 消费电子 | 603133 | 碳元科技 |  21.4  | -40.5 | 10.0 |   6.3   |  19.0   |
| 消费电子 | 002981 | 朝阳科技 |  20.9  | 126.0 | 2.1  |   3.1   |   4.7   |
| 消费电子 | 002855 | 捷荣技术 |  19.4  | -12.7 | 0.4  |   2.1   |   6.9   |
