[行业>市值]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
| 游戏 | 002555 | 三七互娱 | 474.4 |  15.6  |  1.2  |  -1.2   |   3.6   |
| 游戏 | 002602 | 世纪华通 | 360.7 |  43.2  |  4.1  |   4.3   |   3.6   |
| 游戏 | 002624 | 完美世界 | 268.1 |  8.0   |  1.2  |   1.7   |   3.8   |
| 游戏 | 603444 |  吉比特  | 244.3 |  17.5  |  4.0  |   5.2   |   7.7   |
| 游戏 | 300418 | 昆仑万维 | 182.2 |  12.2  |  1.9  |   3.0   |   4.5   |
| 游戏 | 002558 | 巨人网络 | 177.3 |  16.4  |  0.8  |   1.5   |   0.5   |
| 游戏 | 300459 |  汤姆猫  | 122.4 |  16.8  |  1.5  |  -0.8   |  -0.6   |
| 游戏 | 002517 | 恺英网络 | 117.7 |  11.9  |  0.7  |   1.5   |   1.5   |
| 游戏 | 300315 | 掌趣科技 | 91.5  |  72.2  |  5.4  |   7.4   |   7.4   |
| 游戏 | 600633 | 浙数文化 | 87.7  |  43.7  |  0.9  |   0.7   |  -1.6   |
| 游戏 | 002174 | 游族网络 | 86.5  |  27.1  |  1.7  |   2.6   |   4.1   |
| 游戏 | 300002 | 神州泰岳 | 79.4  |  31.5  |  1.5  |   1.8   |   2.5   |
| 游戏 | 300113 | 顺网科技 | 74.6  |  59.5  |  2.0  |   3.3   |   3.3   |
| 游戏 | 002354 | 天娱数科 | 67.3  | 184.2  |  2.8  |   0.2   |  -1.7   |
| 游戏 | 300031 | 宝通科技 | 63.1  |  23.0  |  2.3  |   0.3   |   1.2   |
| 游戏 | 300518 |  盛讯达  | 56.6  | 188.2  |  0.2  |  -0.8   |  -3.4   |
| 游戏 | 002445 | 中南文化 | 53.8  |  13.7  | -0.4  |   2.7   |   4.7   |
| 游戏 | 002425 | 凯撒文化 | 53.3  |  80.7  |  1.3  |   0.9   |   0.4   |
| 游戏 | 603258 | 电魂网络 | 51.2  |  17.9  |  1.2  |   1.7   |   2.3   |
| 游戏 | 300052 |  中青宝  | 49.1  | 282.9  |  3.6  |   4.4   |   1.4   |
| 游戏 | 300299 | 富春股份 | 43.4  |  88.9  |  0.8  |  -0.9   |  10.2   |
| 游戏 | 600715 | 文投控股 | 42.7  | -13.4  |  0.9  |  -1.7   |  -2.5   |
| 游戏 | 300533 | 冰川网络 | 41.0  |  4.7   |  6.7  |   3.8   |   9.4   |
| 游戏 | 300494 | 盛天网络 | 39.6  |  18.9  |  2.5  |   2.8   |   2.0   |
