[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 煤炭行业 | 601088 | 中国神华 | 6761.0 |  8.9   | 2.5  |   0.2   |   2.1   |
| 煤炭行业 | 600188 | 兖矿能源 | 1940.0 |  7.3   | 1.6  |   1.4   |  -1.4   |
| 煤炭行业 | 601225 | 陕西煤业 | 1877.0 |  8.2   | 3.2  |   2.1   |   0.8   |
| 煤炭行业 | 601898 | 中煤能源 | 1355.0 |  5.0   | 3.3  |   2.6   |   0.1   |
| 煤炭行业 | 000983 | 山西焦煤 | 605.5  |  6.2   | 5.5  |   3.6   |   4.5   |
| 煤炭行业 | 000723 | 美锦能源 | 501.8  |  18.5  | 2.0  |   1.5   |   2.8   |
| 煤炭行业 | 601699 | 潞安环能 | 487.0  |  4.9   | 5.5  |   2.2   |   2.7   |
| 煤炭行业 | 600985 | 淮北矿业 | 385.3  |  5.9   | 2.2  |   1.6   |   0.1   |
| 煤炭行业 | 601666 | 平煤股份 | 358.9  |  5.5   | 3.0  |   1.2   |   0.0   |
| 煤炭行业 | 600546 | 山煤国际 | 354.9  |  5.4   | 10.0 |   9.3   |  13.1   |
| 煤炭行业 | 600348 | 华阳股份 | 315.8  |  6.1   | 5.2  |   4.0   |   5.0   |
| 煤炭行业 | 002128 | 电投能源 | 297.5  |  4.9   | 5.1  |   3.2   |   1.2   |
| 煤炭行业 | 000937 | 冀中能源 | 290.1  |  7.4   | 2.0  |   4.3   |   5.7   |
| 煤炭行业 | 601001 | 晋控煤业 | 256.2  |  7.1   | 6.2  |   3.5   |  -2.2   |
| 煤炭行业 | 600395 | 盘江股份 | 194.3  |  10.1  | 1.7  |   1.0   |  -2.3   |
| 煤炭行业 | 600123 | 兰花科创 | 190.8  |  5.5   | 9.7  |   7.7   |   8.0   |
| 煤炭行业 | 600740 | 山西焦化 | 155.3  |  7.2   | 3.1  |   3.1   |   3.2   |
| 煤炭行业 | 601918 | 新集能源 | 140.7  |  6.7   | 3.2  |   1.7   |  -0.6   |
| 煤炭行业 | 600403 | 大有能源 | 137.2  |  14.2  | 4.0  |  -5.4   |  -3.4   |
| 煤炭行业 | 600508 | 上海能源 | 133.8  |  4.3   | 2.2  |   0.7   |   2.7   |
| 煤炭行业 | 600997 | 开滦股份 | 123.1  |  5.2   | 4.5  |   4.0   |   5.4   |
| 煤炭行业 | 601015 | 陕西黑猫 | 119.1  |  12.6  | 3.7  |   2.3   |  -0.8   |
| 煤炭行业 | 601101 | 昊华能源 | 117.0  |  9.3   | 4.4  |   3.9   |   0.6   |
| 煤炭行业 | 000552 | 靖远煤电 | 101.2  |  5.7   | 1.9  |   0.9   |  -1.8   |
| 煤炭行业 | 600971 | 恒源煤电 |  94.3  |  6.1   | 2.9  |   1.6   |   3.1   |
| 煤炭行业 | 601011 |  宝泰隆  |  81.2  |  47.4  | 1.7  |   1.9   |   2.4   |
| 煤炭行业 | 600532 | 未来股份 |  75.9  | -332.9 | 0.0  |   0.0   |   0.0   |
| 煤炭行业 | 600758 | 辽宁能源 |  61.3  |  6.7   | 1.3  |   1.3   |   0.0   |
| 煤炭行业 | 600121 | 郑州煤电 |  55.3  |  27.5  | 2.2  |   0.0   |   2.2   |
| 煤炭行业 | 600725 | 云维股份 |  53.7  | 186.4  | -0.5 |  -0.2   |   3.8   |
| 煤炭行业 | 600792 | 云煤能源 |  41.2  | -20.6  | 1.2  |   2.0   |  -0.9   |
| 煤炭行业 | 600408 | 安泰集团 |  35.9  |  17.6  | 1.1  |  -0.3   |  -4.3   |
| 煤炭行业 | 600397 | 安源煤业 |  33.5  |  -5.3  | 1.8  |   3.7   |   3.4   |
| 煤炭行业 | 000571 |  ST大洲  |  16.2  |  11.5  | 1.0  |   0.0   |  -2.5   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>PE]
+----------+--------+----------+--------+--------+------+---------+---------+
