[行业>市值]
+------+--------+----------+-------+--------+------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+------+---------+---------+
| 燃气 | 600803 | 新奥股份 | 536.4 |  17.8  | 0.6  |   3.0   |  10.2   |
| 燃气 | 600956 | 新天绿能 | 521.7 |  13.9  | 2.2  |   2.0   |   5.0   |
| 燃气 | 601139 | 深圳燃气 | 204.3 |  22.5  | 0.6  |   2.0   |   2.9   |
| 燃气 | 605090 | 九丰能源 | 131.3 |  8.4   | 4.0  |   2.8   |  -0.2   |
| 燃气 | 600917 | 重庆燃气 | 113.6 |  28.1  | -0.1 |  -0.6   |   1.5   |
| 燃气 | 000968 | 蓝焰控股 | 101.6 |  9.3   | 1.9  |  -6.5   |  -6.8   |
| 燃气 | 600635 | 大众公用 | 96.0  |  -7.4  | -0.3 |  -1.2   |   3.5   |
| 燃气 | 603393 | 新天然气 | 90.6  |  11.0  | 1.2  |   0.4   |   1.5   |
| 燃气 | 002911 | 佛燃能源 | 85.7  |  28.6  | 0.6  |   0.3   |   0.8   |
| 燃气 | 002267 | 陕天然气 | 84.6  |  4.2   | 0.7  |  -1.4   |   1.2   |
| 燃气 | 300332 | 天壕环境 | 82.5  |  15.6  | 1.9  |   3.6   |   2.8   |
| 燃气 | 603053 | 成都燃气 | 82.2  |  10.4  | 0.3  |  -0.4   |   1.5   |
| 燃气 | 600903 | 贵州燃气 | 80.6  | -32.5  | 0.4  |   0.3   |   1.1   |
| 燃气 | 600617 | 国新能源 | 69.0  |  9.9   | 0.4  |   0.8   |  -0.8   |
| 燃气 | 600681 | 百川能源 | 62.6  |  10.7  | 0.0  |   0.9   |   3.1   |
| 燃气 | 605368 | 蓝天燃气 | 60.9  |  8.0   | 0.7  |  -0.2   |  -1.2   |
| 燃气 | 300435 | 中泰股份 | 58.6  |  23.5  | 3.2  |   6.3   |   8.3   |
| 燃气 | 300483 | 首华燃气 | 37.7  |  22.1  | 2.6  |   1.5   |   2.1   |
| 燃气 | 603689 | 皖天然气 | 34.8  |  12.9  | 0.6  |   0.4   |   2.2   |
| 燃气 | 000407 | 胜利股份 | 32.9  |  26.7  | 0.8  |   1.9   |   4.2   |
| 燃气 | 605169 | 洪通燃气 | 32.6  |  15.3  | 1.5  |   0.7   |   1.9   |
| 燃气 | 600333 | 长春燃气 | 30.4  | -65.1  | 0.2  |   0.0   |   2.7   |
| 燃气 | 603706 | 东方环宇 | 30.0  |  11.9  | 2.1  |   2.1   |   2.3   |
