[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 电子元件 | 300124 | 汇川技术 | 1731.0 |  60.3  |  2.4  |   7.2   |  11.1   |
| 电子元件 | 002179 | 中航光电 | 1001.0 |  33.9  |  2.5  |   6.2   |   5.4   |
| 电子元件 | 002938 | 鹏鼎控股 | 713.3  |  30.1  | -0.1  |   1.3   |  14.2   |
| 电子元件 | 000733 | 振华科技 | 635.7  |  26.2  | -0.8  |   2.9   |   4.5   |
| 电子元件 | 300408 | 三环集团 | 603.7  |  30.3  |  3.6  |   6.3   |   7.3   |
| 电子元件 | 600884 | 杉杉股份 | 531.7  |  16.5  |  5.0  |   8.7   |  12.5   |
| 电子元件 | 002916 | 深南电路 | 505.2  |  36.3  |  5.4  |   7.0   |  10.3   |
| 电子元件 | 600563 | 法拉电子 | 418.5  |  51.2  |  5.9  |   6.1   |  12.5   |
| 电子元件 | 300390 | 天华超净 | 407.0  |  6.7   | 14.9  |  14.8   |  15.3   |
| 电子元件 | 002414 | 高德红外 | 405.4  |  32.5  |  2.4  |   6.1   |   4.9   |
| 电子元件 | 600183 | 生益科技 | 395.0  |  20.5  |  3.6  |   5.0   |   8.5   |
| 电子元件 | 002008 | 大族激光 | 329.7  |  24.8  |  2.8  |   5.2   |   8.4   |
| 电子元件 | 002384 | 东山精密 | 328.6  |  22.6  |  1.7  |   2.2   |  12.1   |
| 电子元件 | 002025 | 航天电器 | 324.7  |  51.2  |  2.0  |   8.1   |   9.9   |
| 电子元件 | 002463 | 沪电股份 | 306.9  |  30.7  |  1.8  |   2.9   |   8.2   |
| 电子元件 | 603267 | 鸿远电子 | 306.4  |  29.6  |  1.5  |   4.4   |   8.0   |
| 电子元件 | 300726 | 宏达电子 | 247.8  |  35.3  |  3.5  |   6.8   |   6.5   |
| 电子元件 | 688778 | 厦钨新能 | 241.7  |  29.2  |  6.0  |  10.2   |  18.7   |
| 电子元件 | 002138 | 顺络电子 | 228.0  |  35.0  |  4.2  |   7.2   |   9.4   |
| 电子元件 | 603228 | 景旺电子 | 221.5  |  31.5  |  4.8  |  13.0   |  18.4   |
| 电子元件 | 000988 | 华工科技 | 210.7  |  23.3  |  2.7  |   2.4   |   8.3   |
| 电子元件 | 000636 | 风华高科 | 203.8  |  28.2  |  2.4  |   3.0   |   7.2   |
| 电子元件 | 603678 | 火炬电子 | 196.9  |  25.4  |  4.5  |   9.9   |   4.2   |
| 电子元件 | 002484 | 江海股份 | 192.0  |  40.8  |  2.2  |   1.7   |   7.2   |
| 电子元件 | 002389 | 航天彩虹 | 177.5  | 127.8  |  2.4  |   3.9   |   5.9   |
| 电子元件 | 300476 | 胜宏科技 | 153.4  |  19.0  |  1.9  |   3.9   |   9.1   |
| 电子元件 | 300747 | 锐科激光 | 150.2  | 179.6  |  1.9  |   7.4   |  11.9   |
| 电子元件 | 002436 | 兴森科技 | 144.0  |  17.9  |  1.4  |   4.9   |   6.8   |
| 电子元件 | 688776 | 国光电气 | 134.3  |  80.7  |  1.6  |  10.9   |  11.9   |
| 电子元件 | 000062 | 深圳华强 | 129.2  |  14.7  |  1.3  |   0.7   |  -4.3   |
| 电子元件 | 688800 |  瑞可达  | 128.0  |  57.4  |  2.9  |  15.1   |  13.3   |
| 电子元件 | 301217 | 铜冠铜箔 | 122.4  |  31.1  |  2.3  |   4.2   |   6.2   |
| 电子元件 | 603989 | 艾华集团 | 115.4  |  25.1  |  1.8  |   5.0   |   9.6   |
| 电子元件 | 002815 | 崇达技术 | 108.6  |  17.2  |  7.5  |   9.0   |  13.0   |
| 电子元件 | 600478 |  科力远  | 103.3  |  81.8  |  2.6  |   7.8   |   7.8   |
| 电子元件 | 002859 | 洁美科技 | 102.4  |  79.8  |  0.2  |   6.2   |   9.7   |
| 电子元件 | 002913 |  奥士康  |  98.6  |  16.5  |  5.2  |   8.2   |  12.1   |
| 电子元件 | 002724 |  海洋王  |  95.6  | 141.9  |  0.1  |   1.1   |   0.5   |
| 电子元件 | 688183 | 生益电子 |  94.6  |  31.6  |  3.8  |  13.6   |  17.0   |
| 电子元件 | 603920 | 世运电路 |  92.2  |  48.8  |  2.9  |   3.4   |   3.4   |
