[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 电网设备 | 600406 | 国电南瑞 | 1929.0 |  127.2  | -2.0 |   0.9   |   3.3   |
| 电网设备 | 600089 | 特变电工 | 880.8  |   7.0   | 3.1  |   3.3   |   7.8   |
| 电网设备 | 601877 | 正泰电器 | 815.7  |  34.8   | 2.9  |   3.5   |   8.7   |
| 电网设备 | 603606 | 东方电缆 | 419.2  |  37.7   | 3.1  |   5.1   |   4.8   |
| 电网设备 | 600885 | 宏发股份 | 404.3  |  36.2   | 2.5  |   2.4   |  10.7   |
| 电网设备 | 600517 | 国网英大 | 301.9  |  47.7   | -0.2 |   0.8   |   3.1   |
| 电网设备 | 002028 | 思源电气 | 293.9  |  48.3   | -2.2 |   5.0   |  16.1   |
| 电网设备 | 601179 | 中国西电 | 254.8  |  48.8   | 2.0  |   1.2   |   9.0   |
| 电网设备 | 000400 | 许继电气 | 205.1  |  51.0   | -0.3 |   5.0   |  10.0   |
| 电网设备 | 300001 |  特锐德  | 180.3  |  263.9  | 4.2  |   6.2   |   9.4   |
| 电网设备 | 601567 | 三星医疗 | 146.6  |  22.3   | 4.2  |   2.5   |  10.9   |
| 电网设备 | 002706 | 良信股份 | 142.2  |  49.2   | -0.5 |  11.4   |  23.2   |
| 电网设备 | 002498 | 汉缆股份 | 131.1  |  24.2   | 1.0  |   2.1   |   4.5   |
| 电网设备 | 688248 | 南网科技 | 126.5  |  699.0  | 5.3  |  16.1   |  22.5   |
| 电网设备 | 601126 | 四方股份 | 121.9  |  23.6   | -1.0 |   1.8   |   5.3   |
| 电网设备 | 688330 |  宏力达  | 109.9  |  24.4   | 2.9  |   8.6   |  19.8   |
| 电网设备 | 600312 | 平高电气 | 104.8  |  65.4   | 0.3  |   1.2   |   6.9   |
| 电网设备 | 600550 | 保变电气 | 102.4  |  202.7  | -1.1 |  -1.2   |  19.1   |
| 电网设备 | 600869 | 远东股份 | 102.3  |  29.5   | 5.2  |   9.0   |  10.8   |
| 电网设备 | 600577 | 精达股份 | 102.2  |  25.0   | 2.6  |  10.1   |  10.3   |
| 电网设备 | 002121 | 科陆电子 | 101.7  |  -54.1  | 0.3  |   6.7   |  31.5   |
| 电网设备 | 000682 | 东方电子 |  92.1  |  37.9   | 1.3  |   3.1   |   6.3   |
| 电网设备 | 301031 | 中熔电气 |  89.5  |  67.3   | 6.9  |  14.8   |  22.5   |
| 电网设备 | 688676 | 金盘科技 |  87.9  |  52.4   | 5.4  |  19.7   |  25.3   |
| 电网设备 | 605222 | 起帆电缆 |  85.7  |  14.3   | 2.5  |   7.3   |   9.2   |
| 电网设备 | 300208 | 青岛中程 |  77.7  |  -33.3  | 3.1  |   3.4   |   3.9   |
| 电网设备 | 300477 | 合纵科技 |  76.9  |  21.1   | 5.2  |   9.5   |   7.2   |
| 电网设备 | 002276 | 万马股份 |  75.9  |  46.7   | 0.6  |   2.2   |   5.9   |
| 电网设备 | 603070 | 万控智造 |  73.4  |  101.1  | 0.8  |   5.1   |   5.5   |
| 电网设备 | 603556 | 海兴电力 |  73.2  |  13.0   | 2.2  |   3.4   |   2.2   |
| 电网设备 | 000720 | 新能泰山 |  71.5  |  -54.8  | -2.1 |  -4.2   |   0.9   |
| 电网设备 | 002270 | 华明装备 |  70.6  |  26.7   | -1.2 |   3.1   |  17.8   |
| 电网设备 | 300617 | 安靠智电 |  70.1  |  25.8   | 1.3  |   5.9   |   6.2   |
| 电网设备 | 600268 | 国电南自 |  68.8  |  -25.5  | 4.5  |   8.0   |  29.4   |
| 电网设备 | 600973 | 宝胜股份 |  64.7  |  42.8   | 1.1  |   3.5   |  10.0   |
| 电网设备 | 603191 | 望变电气 |  63.1  |  43.0   | -0.4 |  -1.9   |   2.3   |
| 电网设备 | 002346 | 柘中股份 |  62.9  |  42.8   | 6.2  |   5.9   |   4.4   |
| 电网设备 | 600525 | 长园集团 |  61.8  |  32.9   | 0.4  |   3.0   |   6.5   |
| 电网设备 | 002256 | 兆新股份 |  60.4  |  -41.8  | 9.9  |  20.2   |  18.9   |
| 电网设备 | 300447 | 全信股份 |  59.7  |  27.2   | 3.4  |   8.8   |   6.8   |
| 电网设备 | 002169 | 智光电气 |  59.4  |  -7.1   | 0.8  |   3.6   |   5.2   |
| 电网设备 | 001208 | 华菱线缆 |  58.5  |  50.2   | 4.9  |   4.7   |   0.1   |
| 电网设备 | 603897 | 长城科技 |  57.2  |  29.3   | 0.8  |   3.9   |   6.0   |
| 电网设备 | 601700 | 风范股份 |  55.9  |  76.6   | 0.2  |   2.5   |   5.4   |
| 电网设备 | 300222 | 科大智能 |  55.5  |  -41.4  | 0.6  |   4.1   |   5.5   |
| 电网设备 | 600590 | 泰豪科技 |  55.1  |   9.1   | 1.1  |   3.7   |   4.9   |
| 电网设备 | 300427 | 红相股份 |  54.0  |  53.1   | 3.0  |   1.2   |   3.5   |
| 电网设备 | 603333 | 尚纬股份 |  53.8  |  66.2   | 1.2  |   1.3   |  -1.6   |
| 电网设备 | 688663 |  新风光  |  52.5  |  76.2   | 20.0 |  35.0   |  38.7   |
| 电网设备 | 300360 | 炬华科技 |  52.2  |  18.3   | 1.3  |   9.1   |   8.6   |
| 电网设备 | 603530 | 神马电力 |  51.7  | 1591.0  | 0.2  |   4.6   |   5.9   |
| 电网设备 | 002533 | 金杯电工 |  51.5  |  17.3   | 2.0  |   4.0   |   7.2   |
| 电网设备 | 300286 |  安科瑞  |  51.4  |  40.8   | 6.3  |   4.9   |  11.9   |
| 电网设备 | 002441 |  众业达  |  50.8  |   8.5   | 0.2  |   3.7   |   3.4   |
| 电网设备 | 300423 | 昇辉科技 |  50.1  |  21.0   | 0.1  |   3.6   |   4.2   |
