[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 纺织服装 | 300979 | 华利集团 | 890.0 |  34.3   | 1.7  |  -0.1   |   0.1   |
| 纺织服装 | 600177 |  雅戈尔  | 331.9 |   3.9   | 0.4  |   2.0   |   2.1   |
| 纺织服装 | 600398 | 海澜之家 | 226.3 |   7.8   | -0.2 |   2.1   |   3.1   |
| 纺织服装 | 002563 | 森马服饰 | 156.8 |  18.8   | 0.5  |   0.7   |   3.0   |
| 纺织服装 | 002832 | 比音勒芬 | 142.0 |  16.7   | 0.0  |  -3.7   |   3.7   |
| 纺织服装 | 002291 |  星期六  | 138.6 |  40.0   | 0.6  |   0.8   |  -1.5   |
| 纺织服装 | 601718 | 际华集团 | 134.8 |  31.7   | -0.3 |   0.7   |   3.4   |
| 纺织服装 | 002612 | 朗姿股份 | 121.5 | -1354.4 | 2.0  |  -0.0   |   8.4   |
| 纺织服装 | 002003 | 伟星股份 | 113.1 |  43.3   | 2.7  |   0.3   |   5.3   |
| 纺织服装 | 603055 | 台华新材 | 112.1 |  24.4   | 6.1  |  20.1   |  20.4   |
| 纺织服装 | 002293 | 罗莱生活 | 106.4 |  16.7   | 2.6  |   2.3   |   4.1   |
| 纺织服装 | 603877 |  太平鸟  | 93.8  |  12.3   | 1.7  |   5.5   |   5.2   |
| 纺织服装 | 600400 | 红豆股份 | 88.9  |  74.4   | -2.8 |  -1.3   |   9.8   |
| 纺织服装 | 601339 | 百隆东方 | 87.9  |   6.4   | 0.5  |   0.7   |   1.0   |
| 纺织服装 | 000982 | 中银绒业 | 84.0  | -416.1  | 3.7  |   4.8   |   3.1   |
| 纺织服装 | 603665 |  康隆达  | 80.5  |  108.5  | 7.0  |   6.5   |   0.0   |
| 纺织服装 | 300005 |  探路者  | 79.5  |  241.8  | 2.9  |   0.3   |  -3.7   |
| 纺织服装 | 603587 | 地素时尚 | 74.1  |  12.3   | 0.5  |  -0.4   |   3.1   |
| 纺织服装 | 603511 | 爱慕股份 | 68.6  |  13.2   | 0.6  |   2.2   |   4.4   |
| 纺织服装 | 002327 |  富安娜  | 67.7  |  16.1   | 1.1  |   0.6   |   0.7   |
| 纺织服装 | 605080 | 浙江自然 | 67.7  |  19.9   | 0.6  |  -3.2   |  -1.1   |
| 纺织服装 | 605138 | 盛泰集团 | 64.9  |  26.4   | 2.3  |   4.1   |  -0.1   |
| 纺织服装 | 002042 | 华孚时尚 | 64.3  |  10.7   | 0.0  |   2.2   |   1.9   |
| 纺织服装 | 000726 | 鲁  泰Ａ  | 62.3  |   9.8   | 0.3  |  -0.4   |  -2.5   |
| 纺织服装 | 603555 |  贵人鸟  | 59.1  |  580.2  | 9.9  |   3.0   |   5.9   |
| 纺织服装 | 603908 |  牧高笛  | 59.0  |  40.1   | 6.7  |   1.4   |  -0.1   |
| 纺织服装 | 002154 | 报 喜 鸟 | 58.5  |   7.1   | -0.2 |   5.2   |   6.1   |
| 纺织服装 | 600987 | 航民股份 | 56.4  |  12.1   | 0.4  |  -0.4   |  -1.1   |
| 纺织服装 | 600220 | 江苏阳光 | 53.0  |  78.3   | 10.0 |   8.8   |   2.4   |
| 纺织服装 | 601566 |  九牧王  | 48.4  |  -21.1  | -0.1 |   0.5   |   5.0   |
| 纺织服装 | 002269 | 美邦服饰 | 46.5  |  -7.5   | 1.1  |   0.5   |  -2.6   |
| 纺织服装 | 603558 | 健盛集团 | 46.0  |  13.9   | -2.7 |  -0.8   |   5.9   |
| 纺织服装 | 301088 | 戎美股份 | 42.0  |  21.9   | 1.1  |   3.1   |   2.6   |
| 纺织服装 | 003016 | 欣贺股份 | 41.0  |  16.5   | 5.2  |   8.0   |  11.1   |
| 纺织服装 | 002029 | 七 匹 狼 | 40.8  |  22.6   | 0.4  |  -0.6   |   1.9   |
| 纺织服装 | 603365 | 水星家纺 | 40.0  |  11.8   | 1.1  |  -0.7   |  -1.8   |
| 纺织服装 | 002503 |  搜于特  | 39.6  |  -7.8   | 0.8  |   0.0   |  -0.8   |
| 纺织服装 | 300577 | 开润股份 | 37.6  |  20.2   | 1.6  |  -1.9   |  -3.1   |
| 纺织服装 | 603808 |  歌力思  | 36.8  |  19.5   | 0.8  |   0.7   |   1.5   |
| 纺织服装 | 000850 | 华茂股份 | 36.1  |  -5.8   | 0.5  |   2.7   |   4.4   |
| 纺织服装 | 002083 | 孚日股份 | 34.6  |  16.2   | 1.2  |   2.4   |   1.4   |
| 纺织服装 | 002404 | 嘉欣丝绸 | 32.5  |  29.6   | 1.6  |   1.8   |   0.2   |
| 纺织服装 | 301108 | 洁雅股份 | 32.0  |  16.9   | 2.4  |   5.0   |   5.6   |
| 纺织服装 | 603889 | XD新澳股 | 31.3  |  10.5   | 0.5  |   2.7   |   3.0   |
| 纺织服装 | 603116 |  红蜻蜓  | 30.9  |  56.2   | 0.6  |   0.8   |   0.8   |
| 纺织服装 | 002763 | 汇洁股份 | 30.9  |   8.9   | 1.1  |   1.4   |   1.5   |
| 纺织服装 | 300918 | 南山智尚 | 30.5  |  26.9   | 2.2  |   3.4   |   3.3   |
| 纺织服装 | 603839 | 安正时尚 | 30.1  |  35.3   | 1.1  |   2.0   |   2.3   |
| 纺织服装 | 605055 | 迎丰股份 | 29.5  |  92.5   | 2.3  |   2.6   |   2.8   |
| 纺织服装 | 603001 | XD奥康国 | 29.4  |  62.9   | -2.4 |   1.8   |   5.0   |
| 纺织服装 | 001234 |  泰慕士  | 28.8  |  27.6   | 2.2  |   0.0   |  -3.3   |
| 纺织服装 | 002674 | 兴业科技 | 28.6  |  183.8  | 1.1  |   6.9   |   2.7   |
| 纺织服装 | 600735 | XD新华锦 | 28.3  |  63.5   | 0.1  |  -0.9   |   3.2   |
