[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 航天航空 | 600760 | 中航沈飞 | 1136.0 |  55.5  | 1.2  |   3.7   |   6.9   |
| 航天航空 | 600893 | 航发动力 | 1112.0 | 419.5  | 1.7  |   5.5   |   4.1   |
| 航天航空 | 000768 | 中航西飞 | 776.6  | 125.6  | 2.6  |   7.9   |   9.5   |
| 航天航空 | 002013 | 中航机电 | 439.8  |  41.4  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 600765 | 中航重机 | 403.7  |  48.5  | 1.0  |   0.0   |  -1.0   |
| 航天航空 | 600372 | 中航电子 | 397.2  |  49.3  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 000738 | 航发控制 | 361.9  |  42.3  | 0.1  |  -0.5   |   4.2   |
| 航天航空 | 600862 | 中航高科 | 353.7  |  30.4  | 0.6  |  -0.4   |  -2.3   |
| 航天航空 | 300474 |  景嘉微  | 289.7  |  93.7  | 5.2  |  10.3   |   9.6   |
| 航天航空 | 600118 | 中国卫星 | 246.5  | 126.1  | 2.2  |   2.8   |   6.1   |
| 航天航空 | 600038 | 中直股份 | 241.2  | 535.2  | -1.4 |   6.0   |  14.3   |
| 航天航空 | 002985 | 北摩高科 | 214.7  |  34.8  | 2.4  |   4.5   |   6.9   |
| 航天航空 | 300775 | 三角防务 | 209.4  |  37.0  | 1.8  |   6.5   |   4.3   |
| 航天航空 | 600316 | 洪都航空 | 201.4  | 1099.5 | -1.0 |  10.5   |  17.2   |
| 航天航空 | 600879 | 航天电子 | 180.3  |  27.1  | 0.6  |   0.9   |   4.1   |
| 航天航空 | 300696 |  爱乐达  | 124.7  |  47.3  | 3.3  |   4.7   |   7.9   |
| 航天航空 | 688586 | 江航装备 |  98.3  |  43.4  | 1.4  |  10.1   |   9.2   |
| 航天航空 | 688239 | 航宇科技 |  83.1  |  40.0  | -0.4 |   3.4   |   5.8   |
| 航天航空 | 003009 | 中天火箭 |  74.6  |  48.5  | -1.8 |  -2.6   |  16.0   |
| 航天航空 | 002023 | 海特高新 |  73.7  |  88.2  | 0.9  |   2.1   |   3.8   |
| 航天航空 | 300581 | 晨曦航空 |  64.8  | 253.1  | 0.8  |   4.2   |   3.5   |
| 航天航空 | 600391 | 航发科技 |  64.7  | -65.7  | -0.2 |   3.3   |   7.0   |
| 航天航空 | 300722 | 新余国科 |  57.2  | 128.9  | 1.1  |   2.1   |  -1.5   |
| 航天航空 | 300900 | 广联航空 |  54.0  |  80.3  | 0.5  |   5.8   |   7.3   |
| 航天航空 | 000697 | 炼石航空 |  47.5  | -14.0  | -0.8 |   1.9   |   4.3   |
| 航天航空 | 688287 | 观典防务 |  47.3  | 192.9  | -3.5 |   9.9   |   9.9   |
| 航天航空 | 002297 | 博云新材 |  44.3  | 111.9  | 0.9  |   2.9   |   3.6   |
| 航天航空 | 688510 | XD航亚科 |  44.0  | 570.4  | 1.4  |  12.5   |  14.2   |
| 航天航空 | 603261 | 立航科技 |  36.2  | 369.0  | 1.5  |   3.1   |  -1.1   |
| 航天航空 | 300159 |  ST新研  |  32.5  | -25.3  | 2.8  |  -1.8   |  -6.4   |
| 航天航空 | 002933 | 新兴装备 |  30.3  |  79.2  | -0.5 |   2.0   |  -8.0   |
| 航天航空 | 300965 | 恒宇信通 |  29.0  | 1055.5 | 0.6  |   3.3   |   7.8   |
| 航天航空 | 688070 | 纵横股份 |  28.4  | -310.9 | 4.1  |  19.1   |  18.8   |
| 航天航空 | 300424 | 航新科技 |  27.3  | -41.5  | 0.5  |   3.6   |   4.4   |
| 航天航空 | 300719 | 安达维尔 |  26.1  | -52.1  | 0.6  |   3.2   |   2.7   |
| 航天航空 | 688685 |  迈信林  |  24.3  |  53.3  | 2.0  |   7.8   |  12.2   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>PE]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 航天航空 | 600316 | 洪都航空 | 201.4  | 1099.5 | -1.0 |  10.5   |  17.2   |
| 航天航空 | 300965 | 恒宇信通 |  29.0  | 1055.5 | 0.6  |   3.3   |   7.8   |
| 航天航空 | 688510 | XD航亚科 |  44.0  | 570.4  | 1.4  |  12.5   |  14.2   |
| 航天航空 | 600038 | 中直股份 | 241.2  | 535.2  | -1.4 |   6.0   |  14.3   |
| 航天航空 | 600893 | 航发动力 | 1112.0 | 419.5  | 1.7  |   5.5   |   4.1   |
| 航天航空 | 603261 | 立航科技 |  36.2  | 369.0  | 1.5  |   3.1   |  -1.1   |
