[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 贸易行业 | 600153 | 建发股份 | 381.8 |  9.5   | -1.5 |  -3.8   |  -5.9   |
| 贸易行业 | 600739 | 辽宁成大 | 217.7 |  19.7  | 1.9  |   1.6   |   2.7   |
| 贸易行业 | 002505 | 鹏都农牧 | 191.2 | 141.3  | 1.7  |   0.0   |   0.0   |
| 贸易行业 | 002091 | 江苏国泰 | 181.7 |  10.4  | 2.9  |   5.6   |   9.8   |
| 贸易行业 | 600755 | 厦门国贸 | 165.3 |  5.9   | 0.4  |  -1.6   |  -0.9   |
| 贸易行业 | 300755 | 华致酒行 | 155.4 |  15.6  | 1.4  |   2.3   |  11.1   |
| 贸易行业 | 601028 | 玉龙股份 | 153.0 |  50.5  | -1.7 |  -0.8   |   3.8   |
| 贸易行业 | 002127 | 南极电商 | 138.9 |  25.0  | 4.6  |   6.8   |   6.4   |
| 贸易行业 | 600058 | 五矿发展 | 129.5 |  24.8  | 6.8  |  26.4   |  52.5   |
| 贸易行业 | 000061 | 农 产 品 | 114.5 |  40.9  | -2.2 |   1.5   |   4.0   |
| 贸易行业 | 603071 | 物产环能 | 108.3 |  11.2  | 0.6  |   0.3   |  -2.9   |
| 贸易行业 | 000019 | 深粮控股 | 105.2 |  19.1  | -2.6 |   0.9   |   0.8   |
| 贸易行业 | 000829 | 天音控股 | 103.6 | 313.4  | -0.5 |   3.1   |   1.3   |
| 贸易行业 | 600710 |  苏美达  | 77.2  |  9.0   | 0.3  |   1.3   |   4.0   |
| 贸易行业 | 600278 | 东方创业 | 71.0  |  20.0  | 0.2  |  -1.5   |   3.3   |
| 贸易行业 | 600981 | 汇鸿集团 | 68.0  | 2226.6 | -0.3 |  -1.6   |   2.4   |
| 贸易行业 | 000626 | 远大控股 | 67.1  | 150.5  | -2.9 |  -4.6   |   7.8   |
| 贸易行业 | 000151 | 中成股份 | 64.4  | 1140.9 | 6.3  |   7.8   |  43.5   |
| 贸易行业 | 300184 | 力源信息 | 60.3  |  14.8  | 1.8  |   2.6   |   5.7   |
| 贸易行业 | 300975 | 商络电子 | 55.2  |  19.8  | 4.4  |   8.2   |   7.8   |
| 贸易行业 | 301099 | 雅创电子 | 50.7  |  38.9  | 5.0  |   7.3   |  13.4   |
