[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 通信服务 | 601728 | 中国电信 | 3578.0 |  12.4  | 0.0  |   1.0   |   1.0   |
| 通信服务 | 600050 | 中国联通 | 1075.0 |  13.2  | 0.0  |  -0.3   |  -0.3   |
| 通信服务 | 601698 | 中国卫通 | 453.6  |  90.5  | 2.1  |   3.7   |   5.1   |
| 通信服务 | 002544 | 普天科技 | 175.3  | 228.6  | 6.1  |   5.5   |  15.7   |
| 通信服务 | 002123 | 梦网科技 |  82.7  | -52.9  | 3.3  |   7.2   |   8.6   |
| 通信服务 | 002929 | 润建股份 |  73.6  |  17.9  | 0.8  |   4.5   |   6.7   |
| 通信服务 | 600804 | ST鹏博士 |  62.6  |  7.8   | 1.6  |  -2.1   |  -6.4   |
| 通信服务 | 300183 | 东软载波 |  62.0  |  71.1  | 2.5  |   6.0   |   7.5   |
| 通信服务 | 002093 | 国脉科技 |  57.5  | 100.2  | 0.7  |   1.6   |   3.2   |
| 通信服务 | 300571 | 平治信息 |  57.0  |  12.6  | 3.5  |   3.4   |   2.4   |
| 通信服务 | 002467 |  二六三  |  54.1  |  37.7  | 0.2  |   1.3   |   0.8   |
| 通信服务 | 300081 | 恒信东方 |  51.7  | -41.3  | 3.0  |  -3.4   |  -3.2   |
| 通信服务 | 603421 | 鼎信通讯 |  47.6  | -11.7  | 4.3  |   6.1   |   7.3   |
| 通信服务 | 300292 | 吴通控股 |  46.8  | -102.3 | 1.4  |   0.3   |   0.6   |
| 通信服务 | 688682 |  霍莱沃  |  45.4  | 403.7  | 2.8  |  10.0   |  13.0   |
| 通信服务 | 603220 | 中贝通信 |  41.7  | 102.5  | 1.1  |   3.4   |   3.4   |
| 通信服务 | 300603 | 立昂技术 |  38.3  | 138.6  | 2.1  |   1.0   |   2.4   |
| 通信服务 | 300310 | 宜通世纪 |  37.5  | 674.8  | 1.7  |   3.4   |   3.9   |
| 通信服务 | 002908 | 德生科技 |  37.2  |  93.2  | 3.9  |   1.3   |   8.2   |
| 通信服务 | 300560 |  中富通  |  33.0  |  56.1  | 3.6  |   7.6   |   7.6   |
| 通信服务 | 300578 | 会畅通讯 |  32.9  |  62.6  | 1.8  |   3.3   |   3.8   |
| 通信服务 | 002115 | 三维通信 |  32.6  |  49.9  | 1.0  |   1.8   |   1.5   |
| 通信服务 | 300513 | 恒实科技 |  31.7  | -263.6 | 3.4  |   5.6   |   3.4   |
| 通信服务 | 603322 | 超讯通信 |  27.5  | 168.0  | 4.7  |  15.3   |  39.4   |
| 通信服务 | 002148 | 北纬科技 |  26.4  | 101.1  | 1.1  |   2.2   |   3.8   |
| 通信服务 | 300959 | 线上线下 |  26.2  |  38.1  | 0.7  |   5.4   |   5.4   |
| 通信服务 | 300921 | 南凌科技 |  26.1  |  48.5  | 2.6  |   6.7   |   7.3   |
| 通信服务 | 300211 | 亿通科技 |  25.9  |  86.7  | 2.6  |   4.3   |   5.2   |
| 通信服务 | 000971 |  ST高升  |  22.1  |  -4.5  | -0.9 |  -3.2   |  -7.0   |
