[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 造纸印刷 | 002078 | 太阳纸业 | 326.7 |  12.1   | 0.0  |   0.3   |   0.4   |
| 造纸印刷 | 002831 | 裕同科技 | 257.8 |  29.2   | 3.2  |   0.7   |   2.0   |
| 造纸印刷 | 000488 | 晨鸣纸业 | 165.0 |  36.2   | 0.6  |  -0.7   |   2.2   |
| 造纸印刷 | 603733 | 仙鹤股份 | 162.9 |  27.9   | 0.3  |   8.9   |  14.4   |
| 造纸印刷 | 600567 | 山鹰国际 | 128.3 |  16.0   | 0.7  |   1.5   |   3.0   |
| 造纸印刷 | 600963 | 岳阳林纸 | 104.3 |  21.0   | -1.4 |  -4.4   |   4.8   |
| 造纸印刷 | 600966 | 博汇纸业 | 97.3  |  13.5   | 1.0  |   0.0   |  -0.1   |
| 造纸印刷 | 000815 |  美利云  | 75.3  | -1371.3 | 2.3  |  -0.8   |   0.5   |
| 造纸印刷 | 600308 | 华泰股份 | 68.9  |   9.0   | 0.3  |   1.2   |   2.1   |
| 造纸印刷 | 603429 | 集友股份 | 66.7  |  46.2   | 0.6  |  -2.3   |  -18.7  |
| 造纸印刷 | 605007 | 五洲特纸 | 66.0  |  16.0   | 1.0  |   3.8   |   6.7   |
| 造纸印刷 | 600433 | 冠豪高新 | 65.5  |  42.8   | -0.3 |  -6.8   |   8.2   |
| 造纸印刷 | 600103 | 青山纸业 | 56.5  |  21.9   | 0.4  |   0.0   |   1.2   |
| 造纸印刷 | 605377 | 华旺科技 | 53.8  |  12.0   | 3.3  |   3.0   |   2.0   |
| 造纸印刷 | 002067 | 景兴纸业 | 43.9  |  14.2   | 1.4  |   2.2   |   3.7   |
| 造纸印刷 | 002117 | 东港股份 | 39.2  |  21.6   | 0.8  |   1.7   |   4.2   |
| 造纸印刷 | 603165 | 荣晟环保 | 36.2  |  11.3   | 2.3  |   3.2   |   7.8   |
| 造纸印刷 | 605500 | 森林包装 | 31.5  |  22.5   | 0.7  |   2.0   |   2.7   |
| 造纸印刷 | 603058 | 永吉股份 | 30.1  |  -31.0  | 1.0  |   0.3   |   4.1   |
| 造纸印刷 | 002229 | 鸿博股份 | 28.1  |  -54.9  | -7.2 |  -8.1   |   7.8   |
| 造纸印刷 | 002521 | 齐峰新材 | 25.9  |  31.5   | 0.6  |   1.6   |   4.2   |
| 造纸印刷 | 002012 | 凯恩股份 | 24.4  |  43.0   | 0.0  |   1.4   |   6.5   |
