[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 钢铁行业 | 600019 | 宝钢股份 | 1459.0 |  9.8  | 0.8  |   2.3   |   2.5   |
| 钢铁行业 | 000708 | 中信特钢 | 1007.0 | 12.9  | -1.7 |   2.7   |  11.3   |
| 钢铁行业 | 600010 | 包钢股份 | 971.0  | 73.3  | 2.9  |   6.0   |   6.0   |
| 钢铁行业 | 002756 | 永兴材料 | 528.3  | 16.3  | 10.0 |   8.4   |   9.8   |
| 钢铁行业 | 600295 | 鄂尔多斯 | 402.1  |  7.5  | 1.9  |   2.8   |   3.1   |
| 钢铁行业 | 000932 | 华菱钢铁 | 359.2  |  4.2  | 0.2  |   2.6   |   3.0   |
| 钢铁行业 | 000959 | 首钢股份 | 358.8  |  8.5  | 0.9  |   3.8   |   4.0   |
| 钢铁行业 | 000898 | 鞍钢股份 | 338.5  |  5.7  | -0.3 |   3.8   |   3.8   |
| 钢铁行业 | 000825 | 太钢不锈 | 332.7  |  6.5  | 0.7  |   1.0   |   1.7   |
| 钢铁行业 | 600399 | 抚顺特钢 | 328.9  | 96.3  | 3.3  |   0.8   |   5.4   |
| 钢铁行业 | 600808 | 马钢股份 | 313.4  |  6.2  | -0.5 |   3.6   |   2.5   |
| 钢铁行业 | 000629 | 攀钢钒钛 | 296.8  | 15.8  | 3.0  |   3.0   |   3.3   |
| 钢铁行业 | 000709 | 河钢股份 | 253.8  | 20.4  | 0.4  |   1.7   |  -0.8   |
| 钢铁行业 | 600282 | 南钢股份 | 201.5  |  7.0  | 0.6  |   1.9   |   1.6   |
| 钢铁行业 | 000778 | 新兴铸管 | 197.9  |  8.7  | 1.6  |   0.4   |   2.1   |
| 钢铁行业 | 600507 | 方大特钢 | 195.6  |  9.0  | 0.7  |   1.8   |   1.7   |
| 钢铁行业 | 001203 | 大中矿业 | 193.8  | 10.8  | 0.0  |   5.5   |   4.5   |
| 钢铁行业 | 000761 | 本钢板材 | 191.0  | 11.0  | 5.2  |   8.9   |  11.0   |
| 钢铁行业 | 601969 | 海南矿业 | 189.0  | 24.4  | 6.7  |  14.2   |  15.4   |
| 钢铁行业 | 600022 | 山东钢铁 | 186.1  |  7.9  | 0.6  |   3.0   |   3.0   |
| 钢铁行业 | 600782 | 新钢股份 | 185.3  |  4.5  | 1.0  |   3.0   |   2.3   |
