序      代码      名称        最新       涨幅%     总量      现量      买入价     卖出价     涨速%    换手%    金额       市盈率       所属行业        最高       最低       开盘       昨收       振幅%    量比       委比%      委差       均价       内盘       外盘      内外比    买一量    卖一量    市净率     总股本     总市值      流通股本    流通市值    3日涨幅%    6日涨幅%    3日换手%    6日换手%    连涨天数    本月涨幅%    今年涨幅%    近一月涨幅%    近一年涨幅%
1       831152    N昆工       8.77       51.21     21.9万    1766      8.77       8.78       0.11     43.62    1.76亿     19.94        专用设备        9.60       7.11       7.38       5.80       42.93    157.15     48.51      531        8.03       13.0万     8.91万    1.46      78        77        2.45       1.047亿    9.179亿     5022万      4.404亿     51.21       51.21       43.62       43.62       4           -45.19       -45.19       —              -10.60
2       301270    C汉仪       50.80      28.58     12.3万    1115      50.80      50.85      0.20     64.70    5.42亿     97.27        互联网服务      58.00      37.15      38.01      39.51      52.77    1.01       87.04      282        43.93      5.76万     6.57万    0.88      92        2         4.78       1.000亿    50.80亿     1906万      9.681亿     97.82       97.82       128.79      128.79      2           97.82        97.82        97.82          97.82
3       300845    捷安高科    16.58      19.97     9.37万    3689      16.58      —          0.00     13.40    1.49亿     112.92       软件开发        16.58      13.93      14.04      13.82      19.18    4.65       100.00     3.93万     15.92      5.20万     4.17万    1.25      3.89万    0         2.51       1.108亿    18.38亿     6992万      11.59亿     22.09       19.88       23.29       27.83       1           19.97        -19.48       18.85          3.88
4       300167    迪威迅      6.46       12.54     36.5万    2579      6.45       6.46       0.00     12.15    2.34亿     -11.95       互联网服务      6.81       5.76       5.76       5.74       18.29    2.95       -64.73     -3567      6.42       15.6万     20.9万    0.74      497       1056      11.09      3.328亿    21.50亿     3.002亿     19.40亿     8.39        4.36        18.88       32.78       1           12.54        30.77        16.19          5.38
5       301068    大地海洋    28.80      11.46     2.21万    278       28.80      28.90      0.17     11.67    6121万     67.87        环保行业        30.68      25.70      26.24      25.84      19.27    3.59       50.12      279        27.75      1.07万     1.13万    0.95      47        20        3.23       8400万     24.19亿     1890万      5.443亿     6.47        4.16        17.20       27.94       1           11.46        -5.60        10.98          107.79
6       300625    三雄极光    13.15      10.97     12.3万    2125      13.14      13.15      0.08     8.91     1.61亿     28.17        家电行业        13.50      12.62      12.74      11.85      7.43     10.91      -30.85     -323       13.12      6.06万     6.21万    0.97      56        29        1.75       2.799亿    36.81亿     1.377亿     18.11亿     8.59        9.04        10.68       12.99       1           10.97        -9.25        8.77           -12.39
7       600130    波导股份    4.47       10.10     72.3万    2232      4.47       —          0.00     9.41     3.15亿     193.14       消费电子        4.47       3.99       3.99       4.06       11.82    3.14       100.00     12.8万     4.35       31.9万     40.4万    0.79      12.7万    0         3.47       7.680亿    34.33亿     7.680亿     34.33亿     13.16       11.19       19.11       24.40       2           10.10        9.02         9.02           7.45
8       002697    红旗连锁    5.45       10.10     82.3万    5485      5.45       —          0.00     7.64     4.43亿     16.63        商业百货        5.45       4.93       4.95       4.95       10.51    7.41       100.00     11.7万     5.38       60.7万     21.7万    2.80      11.5万    0         1.91       13.60亿    74.12亿     10.78亿     58.74亿     11.22       13.54       10.34       12.79       1           10.10        2.64         16.70          18.48
9       600121    郑州煤电    6.11       10.09     123万     4789      6.11       —          0.00     10.08    7.32亿     25.57        煤炭行业        6.11       5.51       5.54       5.55       10.81    1.29       100.00     1.07万     5.96       61.7万     61.1万    1.01      8158      0         4.19       12.18亿    74.44亿     12.18亿     74.44亿     -3.17       -3.93       21.48       49.23       1           10.09        27.82        18.87          28.36
10      002343    慈文传媒    6.99       10.08     47.5万    4061      6.99       —          0.00     10.03    3.23亿     38.16        文化传媒        6.99       6.57       6.65       6.35       6.61     2.31       100.00     6.51万     6.79       22.7万     24.8万    0.91      6.42万    0         3.55       4.749亿    33.20亿     4.733亿     33.08亿     22.85       26.17       23.87       31.79       4           10.08        20.73        37.06          54.30
11      002261    拓维信息    7.10       10.08     33.5万    1437      7.10       —          0.00     3.00     2.35亿     57.73        软件开发        7.10       6.59       6.59       6.45       7.91     1.62       100.00     20.3万     7.02       24.8万     8.74万    2.84      20.2万    0         2.46       12.56亿    89.16亿     11.16亿     79.23亿     10.25       6.93        6.76        12.30       1           10.08        -13.94       5.50           -6.33
12      000892    欢瑞世纪    5.35       10.08     149万     5528      5.35       —          0.00     27.84    7.96亿     88.47        文化传媒        5.35       5.14       5.35       4.86       4.32     4.63       100.00     6.61万     5.34       134万      14.6万    9.18      6.50万    0         3.43       9.810亿    52.48亿     5.354亿     28.64亿     33.08       50.70       40.91       57.91       5           10.08        18.63        60.18          101.89
13      603789    星光农机    8.98       10.05     3.80万    217       8.98       —          0.00     1.46     3375万     -50.53       专用设备        8.98       8.32       8.34       8.16       8.09     1.63       100.00     5.14万     8.89       2.65万     1.15万    2.32      5.13万    0         3.87       2.600亿    23.35亿     2.600亿     23.35亿     4.30        2.86        3.69        5.94        1           10.05        -28.96       8.19           -28.84
14      002820    桂发祥      10.29      10.05     50.3万    246       10.29      —          0.00     25.09    5.11亿     -23.03       食品饮料        10.29      9.42       10.00      9.35       9.30     4.51       100.00     3.36万     10.18      30.9万     19.4万    1.60      3.33万    0         2.11       2.009亿    20.67亿     2.003亿     20.61亿     23.83       22.79       44.12       52.93       4           10.05        2.39         25.18          5.76
15      002917    金奥博      10.52      10.04     15.8万    423       10.52      —          0.00     6.14     1.62亿     72.38        化学制品        10.52      9.61       9.65       9.56       9.52     0.89       100.00     7.94万     10.30      8.79万     6.96万    1.26      7.91万    0         2.50       3.476亿    36.57亿     2.565亿     26.99亿     0.48        -8.20       16.64       40.55       1           10.04        -4.10        -4.80          26.59
16      000557    西部创业    5.48       10.04     56.0万    1511      5.48       —          0.00     3.84     2.97亿     26.42        物流行业        5.48       5.01       5.02       4.98       9.44     0.70       100.00     10.1万     5.30       27.6万     28.3万    0.98      10.1万    0         1.44       14.58亿    79.92亿     14.58亿     79.89亿     -2.66       6.00        16.10       31.26       1           10.04        30.17        26.56          55.24
17      603798    康普顿      11.30      10.03     2.66万    210       11.30      —          0.00     1.33     2922万     36.70        石油行业        11.30      10.33      10.35      10.27      9.44     0.80       100.00     4.60万     11.00      1.44万     1.21万    1.19      4.57万    0         2.08       2.000亿    22.60亿     2.000亿     22.60亿     1.25        3.57        4.78        9.67        1           10.03        -12.67       10.57          12.33
18      002800    天顺股份    17.46      10.02     5.62万    291       17.46      —          0.00     5.56     9695万     80.06        物流行业        17.46      15.91      15.91      15.87      9.77     1.08       100.00     4.28万     17.24      3.82万     1.80万    2.13      4.25万    0         3.36       1.088亿    18.99亿     1.012亿     17.67亿     7.91        5.43        18.81       31.38       1           10.02        18.21        11.64          37.81
19      002628    成都路桥    4.50       10.02     103万     1508      4.50       —          0.00     13.71    4.41亿     -49.76       工程建设        4.50       3.95       3.96       4.09       13.45    1.43       100.00     18.3万     4.29       55.0万     47.6万    1.15      18.1万    0         1.15       7.572亿    34.07亿     7.486亿     33.69亿     21.95       28.21       32.49       61.80       3           10.02        25.00        27.84          38.46
20      002478    常宝股份    6.04       10.02     38.7万    2367      6.04       —          0.00     6.64     2.30亿     15.17        钢铁行业        6.04       5.41       5.41       5.49       11.48    1.19       100.00     36.0万     5.95       28.7万     9.92万    2.90      36.0万    0         1.25       9.026亿    54.51亿     5.819亿     35.15亿     6.15        4.86        16.20       34.48       1           10.02        42.12        18.66          37.90
21      002404    嘉欣丝绸    7.14       10.02     33.0万    3975      7.14       —          0.00     7.12     2.30亿     17.12        纺织服装        7.14       6.63       6.66       6.49       7.86     1.60       100.00     4.61万     6.97       17.4万     15.7万    1.11      4.40万    0         2.27       5.777亿    41.25亿     4.637亿     33.11亿     1.42        5.62        17.76       29.42       1           10.02        28.42        18.80          25.04
