+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |  9   |   8   |   7   |   6   |  5   |   4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|    半导体    | 000670 |   盈方微   |  376.9%  |      |       |       |       |      |       |       | 488.4 | -10.0 | -10.0 |
|   多元金融   | 001236 |   N弘业    |  159.7%  | 10.2 | 10.1  |  9.9  |  9.9  | 10.1 |  9.9  | 10.1  | 10.0  | 10.0  |  9.9  |
|  光学光电子  | 688401 |   N路维    |  102.5%  |      |       |       |       |      |       |       |       | 129.2 | -11.6 |
|  汽车零部件  | 301192 |   N泰祥    |  94.8%   |      | 80.3  | -0.4  | -11.6 | -1.7 | -6.9  | 20.0  |  6.2  | -3.4  |  9.0  |
|   文化传媒   | 001330 |   N博纳    |  91.7%   |      |       |       |       |      |       | 43.9  | 10.1  | 10.1  | 10.0  |
|   家用轻工   | 001222 |   N源飞    |  91.7%   |      |       |       |       |      |       | 44.0  | 10.0  | 10.0  | 10.0  |
|   家用轻工   | 301336 |   N趣睡    |  91.0%   |      |       | 171.0 | -18.8 | -4.4 | -1.3  | -4.5  | -2.5  | -1.6  |  0.5  |
|    半导体    | 688403 |   N汇成    |  90.8%   |      |       |       |       |      |       |       |       |       | 90.8  |
|   航运港口   | 600428 |  中远海特  |  75.0%   |      |       | 10.1  |  0.6  | 7.8  |  1.5  | 10.0  |  9.0  | 10.0  |  9.6  |
|   化学制品   | 603255 |  N鼎际得   |  66.8%   |      |       |       |       |      |       | 44.0  | 10.0  | -4.3  | 10.0  |
|   电网设备   | 688226 |  威腾电气  |  60.8%   |      |       |       | 20.0  | 20.0 | -6.2  | 10.2  |  3.4  |  4.5  |  0.0  |
|    半导体    | 688041 |   N海光    |  60.1%   |      |       |       |       |      | 66.9  | -5.5  |  6.8  | -5.0  |  0.0  |
|   专用设备   | 688160 |  步科股份  |  60.0%   | -8.0 |  1.9  | 20.0  | 10.3  | 12.5 |  3.2  |  0.4  |  0.4  |  8.4  |  1.7  |
|   通用设备   | 300421 |  力星股份  |  59.6%   |      |       |       | 11.7  | 6.1  | 20.0  |  8.2  | 13.8  |  0.1  | -8.9  |
|   农药兽药   | 002868 |  绿康生化  |  58.2%   | -5.5 | -2.5  | 10.0  | 10.0  | 10.0 | 10.0  |  2.3  | 10.0  |  8.1  | -3.6  |
|   消费电子   | 002045 |  国光电器  |  56.5%   | 10.1 | 10.0  | 10.0  | -2.2  | 10.0 | -1.9  | 10.0  | 10.0  |  2.3  | -10.0 |
|   电力行业   | 001258 |  立新能源  |  55.1%   | 10.0 | 10.0  | 10.0  |  3.8  | 10.0 |  4.9  | -3.6  | -9.2  |  1.0  | 10.0  |
|  计算机设备  | 001339 |   N智微    |  53.1%   |      |       |       | 44.0  | 10.0 | 10.0  |  2.2  | -8.6  |  0.7  | -6.7  |
|   电力行业   | 000040 |  东旭蓝天  |  52.8%   | 10.1 | 10.1  | 10.0  | -2.6  | 1.2  |  5.8  | -4.7  | -4.6  | 10.1  | 10.0  |
|   食品饮料   | 002329 |  皇氏集团  |  52.6%   |      |       |       | 10.1  | 10.1 |  2.2  | 10.0  |  4.0  | 10.0  | -2.1  |
|   通信设备   | 300565 |  科信技术  |  49.2%   | -2.7 | -4.6  |  3.7  | 14.3  | 3.0  | -2.5  |  9.3  |  1.2  | 15.9  |  5.2  |
|  汽车零部件  | 688071 |  华依科技  |  48.5%   | 9.7  |  0.6  | -1.2  | -0.0  | 6.4  |  3.8  |  1.4  |  3.4  | 13.7  |  3.5  |
|   通用设备   | 603757 |  大元泵业  |  46.9%   | 10.0 | -0.9  | -6.6  | 10.0  | 0.1  | -1.5  | 10.0  | -0.2  | 10.0  | 10.0  |
|   环保行业   | 000820 |  神雾节能  |  46.5%   |      |       |       |       |      |       | 10.1  |  9.9  | 10.0  | 10.1  |
|   电子元件   | 301021 |  英诺激光  |  45.6%   | 11.8 |  7.2  | -3.9  | 17.0  | 8.3  | 20.0  |  1.9  | -12.8 | -2.6  | -4.0  |
