[行业>市值]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
|  —   | 836077 | 吉林碳谷 | 176.8 |  26.6  | -4.9  |  -7.5   |  -11.4  |
|  —   | 835368 | 连城数控 | 133.0 |  36.4  | -5.0  |  -7.5   |  -7.2   |
|  —   | 833819 | 颖泰生物 | 65.7  |  6.3   | -2.5  |  -3.6   |  -3.4   |
|  —   | 836239 | 长虹能源 | 45.2  |  20.1  | -3.5  |  -3.6   |  -1.1   |
|  —   | 830946 | 森萱医药 | 37.5  |  18.8  | -7.0  |  -8.9   |  -11.4  |
|  —   | 834599 | 同力股份 | 31.6  |  6.0   | -0.1  |  -1.3   |  -1.3   |
|  —   | 835640 |  富士达  | 29.1  |  21.3  | -1.6  |  -2.5   |  -3.5   |
|  —   | 430047 | 诺思兰德 | 26.7  | -60.8  | -3.4  |  -5.6   |   4.5   |
|  —   | 839729 | 永顺生物 | 20.8  |  29.5  | -3.4  |  -6.3   |  -4.6   |
|  —   | 837344 | 三元基因 | 20.1  | 150.2  | -2.6  |  -2.2   |  -2.1   |
|  —   | 839725 | 惠丰钻石 | 19.3  |  35.4  | -8.5  |  -18.4  |  -2.5   |
|  —   | 832491 |  奥迪威  | 17.6  |  29.4  | -7.1  |   6.0   |  12.2   |
|  —   | 430510 | 丰光精密 | 16.7  |  98.8  | -10.5 |  17.5   |  28.5   |
|  —   | 831961 | 创远信科 | 16.3  | 176.3  |  0.6  |  -1.0   |  -3.8   |
|  —   | 839167 | 同享科技 | 15.1  |  37.6  | -2.5  |   1.5   |   0.1   |
|  —   | 835179 | 凯德石英 | 15.0  |  42.7  | -2.7  |  -2.7   |  -1.9   |
|  —   | 835305 | 云创数据 | 14.6  | -174.0 | -2.8  |  -4.8   |  -4.2   |
|  —   | 833509 | 同惠电子 | 14.6  |  47.6  | -2.0  |  -5.0   |  -4.8   |
|  —   | 838670 | 恒进感应 | 13.5  |  28.2  | -4.0  |  -7.7   |  -0.3   |
|  —   | 830799 | 艾融软件 | 13.4  |  70.7  | -5.9  |  -11.4  |  -10.5  |
|  —   | 871981 | 晶赛科技 | 13.2  |  22.4  | -5.7  |  -6.6   |  -3.7   |
|  —   | 836720 | 吉冈精密 | 12.7  |  22.7  | -3.4  |  -2.9   |  -0.4   |
|  —   | 832885 | 星辰科技 | 12.4  |  39.5  | -2.3  |  -3.1   |  -2.5   |
|  —   | 831445 | 龙竹科技 | 11.4  |  17.1  | -1.6  |  -2.0   |  -4.9   |
|  —   | 831305 | 海希通讯 | 11.2  |  31.9  | -3.4  |  -3.7   |  -1.1   |
|  —   | 833523 | 德瑞锂电 | 11.0  |  40.0  | -3.2  |  -1.5   |   0.4   |
|  —   | 831726 |  朱老六  | 10.8  |  20.7  | -1.3  |  -0.4   |   3.2   |
|  —   | 832735 | 德源药业 | 10.8  |  12.8  | -4.2  |  -8.8   |  -8.8   |
|  —   | 834021 | 流金岁月 | 10.7  |  19.5  | -4.2  |  -5.3   |  -4.0   |
|  —   | 834682 | 球冠电缆 | 10.5  |  18.1  | -4.7  |  -4.9   |  -2.7   |
|  —   | 835670 |  数字人  | 10.0  | -46.5  | -6.0  |  -4.5   |  -2.1   |
|  —   | 835174 | 五新隧装 | 10.0  |  9.1   | -3.2  |  -3.2   |   0.4   |
|  —   | 832566 |  梓橦宫  | 10.0  |  8.8   | -3.8  |  -5.4   |  -4.6   |
|  —   | 832089 | 禾昌聚合 |  9.9  |  10.6  | -2.4  |  -0.8   |   1.9   |
|  —   | 833266 |  生物谷  |  9.6  | -693.2 | -3.7  |  -5.7   |  -3.2   |
|  —   | 836826 | 盖世食品 |  9.5  |  55.3  | -4.5  |  -2.0   |  -1.3   |
|  —   | 836892 | 广咨国际 |  9.4  |  57.8  | -3.0  |  -3.3   |  -3.1   |
|  —   | 834062 | 科润智控 |  9.3  |  70.1  |  4.6  |  -2.6   |  22.9   |
|  —   | 831370 |  新安洁  |  9.3  |  25.1  | -4.4  |  -5.0   |  -4.1   |
|  —   | 831832 | 科达自控 |  9.1  |  33.3  | -3.0  |  -3.9   |  -3.2   |
|  —   | 870436 | 大地电气 |  9.1  |  77.2  | -4.4  |  -4.0   |  -4.8   |
|  —   | 871642 | 通易航天 |  9.0  |  62.5  |  7.7  |   6.5   |   8.2   |
|  —   | 836433 | 大唐药业 |  9.0  |  40.3  | -4.2  |  -3.6   |  -4.2   |
|  —   | 836675 | 秉扬科技 |  8.8  |  13.2  | -4.5  |  -5.7   |  -4.0   |
|  —   | 830964 | 润农节水 |  8.8  |  21.4  | -3.5  |  -3.5   |  -3.2   |
|  —   | 831010 | 凯添燃气 |  8.7  |  17.4  | -3.1  |  -4.4   |  -1.6   |
|  —   | 832278 | 鹿得医疗 |  8.6  |  26.1  | -3.4  |  -4.7   |  -4.1   |
|  —   | 837212 | 智新电子 |  8.6  |  21.5  | -2.8  |  -2.0   |  -1.1   |
|  —   | 835184 | 国源科技 |  8.2  | 711.8  | -1.0  |  -2.1   |  -1.4   |
|  —   | 836263 | 中航泰达 |  8.1  |  38.9  | -3.2  |  -3.0   |  -4.1   |
|  —   | 831039 | 国义招标 |  8.1  |  12.1  | -3.3  |  -4.4   |  -0.6   |
|  —   | 430418 | 苏轴股份 |  8.1  |  14.3  | -2.0  |  -1.9   |   0.4   |
|  —   | 838171 | 邦德股份 |  7.9  |  18.1  | -6.5  |  -9.8   |   3.4   |
|  —   | 430489 | 佳先股份 |  7.9  |  12.2  | -4.2  |  -6.7   |  -4.5   |
|  —   | 834639 | 晨光电缆 |  7.9  |  45.1  | -3.2  |  -6.2   |  -1.9   |
|  —   | 872925 | 锦好医疗 |  7.7  |  34.5  | -2.6  |  -2.7   |  -2.3   |
|  —   | 833454 | 同心传动 |  7.7  |  48.0  |  0.6  |  -0.4   |  -0.3   |
