[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 专用设备 | 300751 | 迈为股份 | 813.2 |  113.0  | -1.9 |  -1.4   |  -0.6   |
| 专用设备 | 688082 | 盛美上海 | 505.4 | 2930.5  | 1.3  |   4.6   |   4.9   |
| 专用设备 | 300724 | 捷佳伟创 | 481.7 |  44.1   | 2.5  |   4.4   |  17.6   |
| 专用设备 | 000519 | 中兵红箭 | 443.9 |  39.4   | -1.2 |  -4.0   |   2.7   |
| 专用设备 | 300776 | 帝尔激光 | 390.3 |  104.9  | -1.0 |   6.4   |  18.6   |
| 专用设备 | 600499 | 科达制造 | 381.1 |  10.6   | -4.3 |  -3.1   |  -3.0   |
| 专用设备 | 002430 | 杭氧股份 | 380.4 |  29.5   | -4.0 |   1.3   |   6.5   |
| 专用设备 | 002625 | 光启技术 | 369.5 |  216.3  | -3.2 |  -3.3   |   0.2   |
| 专用设备 | 002353 | 杰瑞股份 | 360.5 |  41.3   | -1.7 |  -4.1   |   2.0   |
| 专用设备 | 601399 | 国机重装 | 240.2 |  72.8   | -2.9 |  -3.8   |  -1.8   |
| 专用设备 | 301200 | 大族数控 | 221.5 |  30.3   | -3.1 |  -3.0   |   2.7   |
| 专用设备 | 601106 | 中国一重 | 212.6 |  137.4  | -2.5 |  -4.0   |  -3.7   |
| 专用设备 | 688700 | 东威科技 | 208.6 |  112.0  | 8.5  |   7.7   |  19.6   |
| 专用设备 | 600582 | 天地科技 | 206.1 |  12.3   | -2.4 |   0.6   |   4.2   |
| 专用设备 | 688499 |  利元亨  | 189.8 |  59.7   | -2.7 |   0.9   |   5.2   |
| 专用设备 | 603025 | 大豪科技 | 184.4 |  58.0   | -6.1 |  -8.0   |  -3.6   |
| 专用设备 | 600320 | 振华重工 | 183.9 |  300.6  | -3.1 |  -3.9   |  -4.9   |
| 专用设备 | 002690 | 美亚光电 | 183.5 |  40.4   | -3.9 |  -6.6   |  -0.2   |
| 专用设备 | 002595 | 豪迈科技 | 177.0 |  19.0   | -1.1 |  -4.7   |  -4.6   |
| 专用设备 | 688559 |  海目星  | 175.8 |  93.2   | -0.7 |   3.6   |  18.4   |
| 专用设备 | 601608 | 中信重工 | 171.0 |  54.7   | -5.3 |  -6.4   |  -9.2   |
| 专用设备 | 688400 |  凌云光  | 159.4 | -272.1  | -4.6 |   1.8   |   8.7   |
| 专用设备 | 600835 | 上海机电 | 157.5 |  23.8   | -1.5 |   9.6   |  23.0   |
| 专用设备 | 603666 |  亿嘉和  | 155.8 |  106.1  | -2.8 |   3.1   |  13.8   |
| 专用设备 | 002960 | 青鸟消防 | 153.2 |  57.5   | 4.2  |   2.5   |   8.9   |
| 专用设备 | 002006 | 精功科技 | 151.2 |  149.7  | -4.3 |  -5.6   |  -3.6   |
| 专用设备 | 688001 | 华兴源创 | 145.2 |  88.8   | -1.5 |   4.3   |   8.7   |
| 专用设备 | 000821 | 京山轻机 | 144.7 |  109.5  | 0.7  |  -5.6   |   2.3   |
| 专用设备 | 002698 | 博实股份 | 144.4 |  23.6   | 2.8  |  11.2   |  19.6   |
| 专用设备 | 688097 | 博众精工 | 142.8 |  346.2  | -2.9 |  -3.5   |   6.8   |
| 专用设备 | 002837 |  英维克  | 138.3 |  272.5  | 0.0  |   2.4   |  14.5   |
| 专用设备 | 688789 | 宏华数科 | 133.1 |  45.6   | -4.6 |  -9.3   |  -7.6   |
| 专用设备 | 300382 |  斯莱克  | 128.1 |  73.5   | -4.2 |  -4.0   |   0.0   |
| 专用设备 | 603690 | 至纯科技 | 125.1 |  142.8  | 1.4  |  -1.4   |   2.1   |
| 专用设备 | 603583 | 捷昌驱动 | 123.0 |  40.6   | -6.3 |  -3.6   |   1.7   |
| 专用设备 | 688383 |  新益昌  | 121.9 |  43.0   | 15.6 |  13.1   |  20.1   |
| 专用设备 | 301018 | 申菱环境 | 116.0 |  79.1   | -2.5 |  16.7   |  33.3   |
| 专用设备 | 601038 | 一拖股份 | 115.4 |   6.0   | -4.4 |  -4.9   |  -4.9   |
| 专用设备 | 688518 | 联赢激光 | 106.8 |  178.9  | -4.3 |   2.2   |   7.3   |
| 专用设备 | 300415 |  伊之密  | 104.4 |  23.6   | -6.1 |  -4.4   |  16.4   |
| 专用设备 | 002031 | 巨轮智能 | 102.5 |  618.9  | 2.4  |   1.3   |   1.8   |
| 专用设备 | 688162 | 巨一科技 | 101.8 |  70.3   | -4.8 |   4.2   |  23.4   |
| 专用设备 | 603300 | 华铁应急 | 99.9  |  20.2   | -3.6 |  -6.0   |  -16.5  |
| 专用设备 | 688630 | 芯碁微装 | 99.0  |  125.8  | -3.0 |  -3.6   |   6.2   |
| 专用设备 | 300151 | 昌红科技 | 98.9  |  55.0   | -6.1 |  -12.1  |  -8.7   |
| 专用设备 | 601606 | 长城军工 | 96.8  |  -80.9  | 10.0 |   7.5   |  11.2   |
