[行业>市值]
+------------+--------+------------+--------+---------+-------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+-------+---------+---------+
| 互联网服务 | 300059 |  东方财富  | 2807.0 |  32.3   | -2.6  |  -6.5   |  -5.6   |
| 互联网服务 | 600845 |  宝信软件  | 781.6  |  43.0   | -2.1  |  -4.1   |  -5.0   |
| 互联网服务 | 300496 |  中科创达  | 622.0  |  99.8   | -1.6  |   8.2   |   7.2   |
| 互联网服务 | 000938 |  紫光股份  | 514.8  |  34.6   | -3.7  |  -6.3   |  -6.9   |
| 互联网服务 | 603613 |  国联股份  | 480.0  |  77.3   |  0.1  |   7.3   |   7.6   |
| 互联网服务 | 300682 |  朗新科技  | 316.8  |  154.1  | -3.5  |   0.7   |  -0.9   |
| 互联网服务 | 600536 |  中国软件  | 231.8  |  -56.5  | -7.0  |  -7.3   |  -6.5   |
| 互联网服务 | 600271 |  航天信息  | 193.1  |  80.2   | -3.8  |  -3.9   |  -2.1   |
| 互联网服务 | 600131 |  国网信通  | 179.2  |  38.8   | -7.0  |  -7.6   |  -4.5   |
| 互联网服务 | 688568 |  中科星图  | 170.3  | -4403.3 | -0.1  |   1.2   |   5.3   |
| 互联网服务 | 300383 |  光环新网  | 165.6  |  21.4   | -5.3  |  -5.8   |  -1.7   |
| 互联网服务 | 300339 |  润和软件  | 161.7  |  128.4  | -6.0  |  -5.0   |  -8.0   |
| 互联网服务 | 002373 |  千方科技  | 157.4  |  -15.4  | -4.6  |  -1.1   |   0.3   |
| 互联网服务 | 000997 |   新大陆   | 145.4  |  43.4   | -4.7  |  -8.2   |  -2.5   |
| 互联网服务 | 688066 |  航天宏图  | 145.1  |  -73.2  |  1.7  |   2.8   |   9.0   |
| 互联网服务 | 688088 |  虹软科技  | 136.4  |  139.0  | -2.1  |   8.2   |  12.8   |
| 互联网服务 | 600718 |  东软集团  | 135.5  | -112.5  | -4.7  |  -2.1   |  -0.9   |
| 互联网服务 | 002131 |  利欧股份  | 125.0  |  -3.8   | -4.2  |  -4.6   |  -4.2   |
| 互联网服务 | 300017 |  网宿科技  | 122.8  |  59.6   | -5.3  |  -5.8   |  -3.5   |
| 互联网服务 | 002195 |  二三四五  | 121.9  |  28.5   | -4.9  |  -4.0   |  -3.2   |
| 互联网服务 | 603171 |  税友股份  | 111.3  |  91.4   | -6.2  |  -2.6   |  -1.8   |
| 互联网服务 | 002368 |  太极股份  | 110.8  |  147.9  | -3.9  |  -2.5   |   1.2   |
| 互联网服务 | 002453 |  华软科技  | 110.4  | -683.2  | -7.2  |  -17.9  |  -13.2  |
| 互联网服务 | 300212 |   易华录   | 109.8  |  80.0   | -6.5  |  -5.8   |  -2.4   |
| 互联网服务 | 300168 |  万达信息  | 107.0  |  199.9  | -4.2  |  -4.2   |  -2.7   |
| 互联网服务 | 000555 |  神州信息  | 106.0  |  85.1   | -4.4  |  -3.6   |  -1.3   |
| 互联网服务 | 600850 |  电科数字  | 103.2  |  36.0   | -4.1  |  -3.6   |  -0.6   |
| 互联网服务 | 300674 |  宇信科技  | 102.8  | 1609.3  | -5.0  |  -5.2   |  -4.1   |
| 互联网服务 | 300166 |  东方国信  |  98.1  |  59.2   | -6.6  |  -6.0   |  -3.6   |
| 互联网服务 | 300687 |  赛意信息  |  94.4  |  169.3  | -1.4  |  -0.9   |   6.0   |
| 互联网服务 | 603636 |  南威软件  |  86.3  |  -99.4  |  0.0  |   0.0   |  10.0   |
| 互联网服务 | 600446 |  金证股份  |  86.0  |  -55.9  | -6.1  |  -6.3   |  -3.8   |
| 互联网服务 | 603881 |   数据港   |  80.6  |  180.2  | -6.2  |  -7.4   |  -5.9   |
| 互联网服务 | 300079 |  数码视讯  |  75.9  |  580.3  | -5.7  |  -8.0   |   2.9   |
| 互联网服务 | 002990 |  盛视科技  |  75.3  |  37.2   | -1.4  |   4.4   |   0.7   |
| 互联网服务 | 300170 |  汉得信息  |  74.7  |   5.4   | -5.8  |  -4.0   |   0.0   |
| 互联网服务 | 600751 |  海航科技  |  72.5  |  22.3   | -3.5  |  -4.9   |  -4.6   |
| 互联网服务 | 300738 |  奥飞数据  |  68.8  |  40.7   | -6.1  |  -8.5   |  -6.7   |
| 互联网服务 | 002421 |  达实智能  |  66.1  |  127.2  | -5.7  |  -4.4   |  -2.5   |
| 互联网服务 | 600797 |  浙大网新  |  66.0  |  248.6  | -5.2  |  -7.1   |  -4.2   |
| 互联网服务 | 002649 |  博彦科技  |  65.1  |  31.1   |  0.3  |   4.6   |   6.8   |
| 互联网服务 | 688158 |  优刻得-W  |  64.9  |  -11.5  | -5.2  |  -5.6   |   0.1   |
| 互联网服务 | 300324 |  旋极信息  |  63.9  |  -37.0  | -2.9  |   5.7   |   6.9   |
| 互联网服务 | 002530 |  金财互联  |  59.1  |  -37.2  | -7.6  |  -1.7   |  -1.2   |
| 互联网服务 | 600410 |  华胜天成  |  58.2  |  -13.0  | -5.4  |  -5.5   |  -4.3   |
| 互联网服务 | 300287 |   飞利信   |  58.0  |  256.7  | -4.5  |  -3.4   |  -1.2   |
| 互联网服务 | 300271 |  华宇软件  |  56.8  |  -20.2  | -4.3  |  -4.4   |  -2.4   |
| 互联网服务 | 300846 |  首都在线  |  56.1  |  -87.5  | -7.2  |  -9.3   |  -6.5   |
| 互联网服务 | 688636 |   智明达   |  55.0  |  155.9  | -3.5  |  -6.8   |  -2.0   |
| 互联网服务 | 002232 |  启明信息  |  54.6  |  162.6  | -6.4  |  -3.1   |  -0.1   |
| 互联网服务 | 002766 |  索菱股份  |  54.5  | -348.1  | -9.9  |  -8.7   |  -14.2  |
| 互联网服务 | 002777 |  久远银海  |  53.4  |  84.6   | -4.0  |  -4.3   |  -0.8   |
| 互联网服务 | 300226 |  上海钢联  |  53.3  |  28.9   | -5.5  |  -7.2   |  -6.9   |
| 互联网服务 | 300634 |  彩讯股份  |  52.2  |  31.3   | -9.5  |  -9.7   |  -7.2   |
| 互联网服务 | 300523 |  辰安科技  |  51.0  |  184.5  | -4.3  |  -5.0   |  -4.3   |
| 互联网服务 | 002657 |  中科金财  |  50.7  |  -66.0  | -6.5  |  -6.9   |  -3.6   |
| 互联网服务 | 600228 |  返利科技  |  50.5  | -208.3  | -4.4  |  -7.3   |  -5.7   |
| 互联网服务 | 300872 |  天阳科技  |  49.6  |  185.1  | -6.3  |  -6.8   |  -5.2   |
| 互联网服务 | 002609 |  捷顺科技  |  47.8  |  -24.8  | -3.0  |  -2.0   |   1.2   |
| 互联网服务 | 300020 |  银江技术  |  47.6  |  23.8   | -6.1  |  -3.3   |  -0.9   |
| 互联网服务 | 300766 |  每日互动  |  46.1  |  69.8   | -5.7  |  -3.7   |  -1.5   |
| 互联网服务 | 002912 |  中新赛克  |  44.3  |  -20.2  |  1.3  |   3.0   |   6.8   |
| 互联网服务 | 300078 |  思创医惠  |  42.8  |  34.6   | -3.7  |  -5.0   |  -3.0   |
| 互联网服务 | 300532 |  今天国际  |  42.5  |  23.8   | -5.3  |  -5.0   |  -2.9   |
| 互联网服务 | 603869 |  新智认知  |  41.4  |  570.1  | -6.8  |  -8.0   |  -8.3   |
| 互联网服务 | 300248 |   新开普   |  40.9  |  -56.7  | -6.5  |  -8.4   |  -7.0   |
| 互联网服务 | 300941 |  创识科技  |  40.9  |  60.9   | -7.3  |  -9.2   |  -6.4   |
| 互联网服务 | 600756 |  浪潮软件  |  39.8  | 1559.8  | -5.8  |  -7.0   |  -4.7   |
| 互联网服务 | 002315 |  焦点科技  |  39.8  |  24.5   | -6.4  |  -8.2   |  -5.2   |
| 互联网服务 | 002474 |  榕基软件  |  37.7  |  82.6   | -3.8  |  -1.3   |  -0.2   |
| 互联网服务 | 688509 |  正元地信  |  37.4  |  -82.1  | -6.5  |  -6.2   |  -5.8   |
| 互联网服务 | 600571 |   信雅达   |  37.2  |  -12.6  | -6.9  |  -7.3   |  -4.8   |
| 互联网服务 | 300895 |  铜牛信息  |  37.0  |  103.5  | -5.5  |  -7.2   |  -5.2   |
| 互联网服务 | 002642 |  荣联科技  |  37.0  |  292.0  | -6.9  |  -6.7   |  -4.0   |
| 互联网服务 | 300541 |  先进数通  |  36.2  |  -81.0  | -5.6  |  -4.4   |  -2.6   |
| 互联网服务 | 688365 |  光云科技  |  35.9  |  -29.2  | -6.0  |  -6.9   |  -4.2   |
| 互联网服务 | 300044 |  赛为智能  |  34.8  |  200.6  | -10.5 |  28.8   |  33.7   |
| 互联网服务 | 688039 |  当虹科技  |  34.7  |  -57.9  | -4.3  |   6.4   |  26.6   |
| 互联网服务 | 300678 |  中科信息  |  34.6  |  108.1  | -5.1  |  -3.8   |   0.3   |
| 互联网服务 | 300448 |  浩云科技  |  34.2  |  217.8  | -5.7  |  -5.3   |  -2.9   |
| 互联网服务 | 002401 |  中远海科  |  33.4  |  16.8   | -4.7  |  -3.1   |  -1.0   |
| 互联网服务 | 300288 |  朗玛信息  |  32.8  |  54.0   | -6.1  |  -5.9   |  -4.2   |
| 互联网服务 | 300508 |  维宏股份  |  32.4  |  51.3   |  2.5  |   8.6   |  22.0   |
| 互联网服务 | 300785 |   值得买   |  32.3  |  -37.1  | -6.2  |  -6.9   |  -5.1   |
| 互联网服务 | 002380 |  科远智慧  |  32.2  |  176.0  | -8.0  |  -4.6   |   4.9   |
