[行业>市值]
+----------+--------+-------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+--------+------+---------+---------+
| 交运设备 | 601766 |  中国中车   | 1418.0 | 161.3  | -3.5 |  -4.5   |  -3.5   |
| 交运设备 | 688187 |  时代电气   | 793.8  |  58.2  | 0.5  |  -4.1   |  -3.1   |
| 交运设备 | 688009 |  中国通号   | 460.7  |  17.8  | -1.6 |  -1.6   |  -0.7   |
| 交运设备 | 689009 | 九号公司-WD | 377.8  | 245.7  | -2.3 |   5.7   |  11.4   |
| 交运设备 | 603529 |  爱玛科技   | 350.7  |  27.6  | -3.3 |  -3.0   |  -5.5   |
| 交运设备 | 603129 |  春风动力   | 231.1  |  54.8  | 1.6  |   1.0   |  17.9   |
| 交运设备 | 600528 |  中铁工业   | 184.8  |  9.2   | -2.9 |  -3.6   |  -3.3   |
| 交运设备 | 600967 |  内蒙一机   | 154.1  |  18.7  | -0.6 |  -1.7   |  -0.9   |
| 交运设备 | 688033 |  天宜上佳   | 134.2  |  97.9  | 5.9  |   4.4   |  24.6   |
| 交运设备 | 603766 |  隆鑫通用   | 100.2  |  8.8   | -3.6 |  -2.0   |   0.8   |
| 交运设备 | 000913 |  钱江摩托   |  97.7  |  70.1  | -3.2 |  -1.9   |   6.5   |
| 交运设备 | 301215 |  中汽股份   |  83.8  | 108.9  | -7.0 |  -5.8   |  -1.6   |
| 交运设备 | 001696 |  宗申动力   |  77.2  |  18.3  | -4.1 |  -4.4   |  -4.0   |
| 交运设备 | 000976 |  华铁股份   |  76.8  |  38.7  | -3.2 |  -2.4   |  -2.8   |
| 交运设备 | 000008 |  神州高铁   |  66.7  | -32.5  | -4.4 |  -5.9   |  -3.6   |
| 交运设备 | 300351 |  永贵电器   |  65.1  |  42.2  | -6.9 |  -2.9   |   6.0   |
| 交运设备 | 600818 |  中路股份   |  64.2  | 2236.2 | -7.0 |  -10.4  |  -5.0   |
| 交运设备 | 603680 |  今创集团   |  60.0  |  73.2  | -3.5 |  -4.8   |  -3.4   |
| 交运设备 | 301048 |  金鹰重工   |  53.4  |  18.5  | -6.4 |  -8.3   |  -7.3   |
| 交运设备 | 600495 |  晋西车轴   |  47.6  | -35.5  | -4.8 |  -5.5   |  -3.9   |
| 交运设备 | 600679 |  上海凤凰   |  47.4  |  48.6  | -6.1 |  -7.3   |  -7.5   |
| 交运设备 | 300994 |  久祺股份   |  46.5  |  27.3  | -8.8 |  -12.1  |  -10.3  |
| 交运设备 | 603111 |  康尼机电   |  45.7  |  44.6  | -3.2 |  -5.2   |  -1.5   |
| 交运设备 | 000925 |  众合科技   |  42.9  |  54.0  | -4.6 |  -4.8   |  -3.3   |
| 交运设备 | 688015 |  交控科技   |  42.0  |  47.9  | -3.8 |  -5.0   |  -1.8   |
| 交运设备 | 688569 |  铁科轨道   |  40.0  |  21.5  | -2.8 |  -2.8   |  -0.4   |
| 交运设备 | 603787 |  新日股份   |  37.6  |  43.7  | -5.0 |  -7.9   |  -8.4   |
| 交运设备 | 603500 |  祥和实业   |  35.8  |  77.9  | -4.0 |  -6.1   |  -5.3   |
| 交运设备 | 300011 |  鼎汉技术   |  33.4  | -24.5  | -5.2 |  -6.1   |  -3.2   |
| 交运设备 | 688285 |  高铁电气   |  31.9  |  36.9  | -6.8 |  -6.1   |  -3.8   |
| 交运设备 | 002972 |   科安达    |  30.0  |  29.2  | -2.8 |  -1.2   |   1.1   |
| 交运设备 | 002105 |  信隆健康   |  27.0  |  14.9  | -6.6 |  -7.8   |  -6.3   |
| 交运设备 | 605001 |  威奥股份   |  25.3  | -11.7  | -3.7 |  -3.9   |  -0.8   |
| 交运设备 | 301016 |   雷尔伟    |  23.4  |  28.6  | -5.9 |  -6.7   |  -10.2  |
| 交运设备 | 000017 |   深中华A   |  22.8  | -631.2 | -4.4 |  -3.9   |  -4.6   |
| 交运设备 | 300906 |   日月明    |  19.7  |  46.3  | -4.0 |  -4.2   |  -1.4   |
| 交运设备 | 300851 |  交大思诺   |  19.5  | -123.1 | -4.8 |  -4.2   |  -1.8   |
| 交运设备 | 605298 |  必得科技   |  19.3  |  63.5  | -4.4 |  -5.0   |  -3.4   |
| 交运设备 | 300960 |  通业科技   |  19.2  | -44.2  | -4.9 |  -5.6   |  -2.5   |
| 交运设备 | 600099 |  林海股份   |  19.0  | 216.5  | -4.7 |  -1.9   |   0.9   |
| 交运设备 | 300462 |  华铭智能   |  18.3  | -36.0  | -4.9 |  -3.6   |  -2.1   |
| 交运设备 | 300923 |  研奥股份   |  17.5  |  39.8  | -5.7 |  -5.6   |  -2.4   |
