[行业>市值]
+----------+--------+------------+-------+--------+------+---------+---------+
|   行业   |  代码  |    名称    | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+-------+--------+------+---------+---------+
| 仪器仪表 | 688686 |   奥普特   | 237.8 |  94.0  | -3.6 |   6.2   |  12.3   |
| 仪器仪表 | 601222 |  林洋能源  | 182.7 |  25.6  | -5.7 |  -6.8   |  -2.7   |
| 仪器仪表 | 688665 |  四方光电  | 122.4 |  71.1  | 3.7  |   5.8   |  11.6   |
| 仪器仪表 | 300567 |  精测电子  | 112.5 |  99.0  | -4.4 |  -7.7   |  -3.5   |
| 仪器仪表 | 688320 |  禾川科技  | 108.1 | 136.3  | 3.7  |   3.9   |  45.0   |
| 仪器仪表 | 688337 | 普源精电-U | 89.5  | 523.0  | -1.4 |   0.4   |   5.9   |
| 仪器仪表 | 603100 |  川仪股份  | 77.1  |  15.7  | -3.7 |   8.0   |  14.2   |
| 仪器仪表 | 688112 |  鼎阳科技  | 75.4  |  94.0  | -2.7 |  -8.3   |  -0.1   |
| 仪器仪表 | 300007 |  汉威科技  | 72.5  |  35.2  | -5.7 |   0.5   |  14.7   |
| 仪器仪表 | 300114 |  中航电测  | 70.2  |  69.4  | -2.5 |  -1.6   |   3.4   |
| 仪器仪表 | 002819 |  东方中科  | 67.3  | -189.5 | -6.0 |  -7.6   |  -7.2   |
| 仪器仪表 | 300066 |  三川智慧  | 64.0  |  47.0  | -3.9 |  -10.6  |  -3.9   |
| 仪器仪表 | 605056 |  咸亨国际  | 60.2  |  85.6  | -4.0 |   0.8   |   6.5   |
| 仪器仪表 | 300354 |  东华测试  | 53.9  |  99.8  | 2.1  |  -0.7   |   4.2   |
| 仪器仪表 | 688768 |  容知日新  | 52.7  |  79.5  | -3.9 |  -3.0   |   2.2   |
| 仪器仪表 | 002338 |  奥普光电  | 52.3  |  70.6  | -4.4 |  -1.4   |  10.3   |
| 仪器仪表 | 603662 |  柯力传感  | 47.7  |  34.1  | -0.3 |   2.4   |   9.7   |
| 仪器仪表 | 301129 |  瑞纳智能  | 46.8  | 109.4  | -2.3 |  -5.3   |  -4.4   |
| 仪器仪表 | 002658 |   雪迪龙   | 44.3  |  14.2  | -6.8 |  -7.0   |  -5.5   |
| 仪器仪表 | 300259 |  新天科技  | 43.0  | 134.3  | -4.7 |  -4.7   |  -2.4   |
| 仪器仪表 | 300349 |  金卡智能  | 42.9  |  64.8  | -1.7 |  -1.1   |   1.1   |
| 仪器仪表 | 001266 |  宏英智能  | 40.6  |  30.4  | 1.8  |  10.6   |  16.3   |
| 仪器仪表 | 002175 |  东方网络  | 39.6  | 113.6  | -5.2 |  -6.9   |  -1.6   |
| 仪器仪表 | 688115 |   思林杰   | 39.5  |  62.3  | -2.4 |  23.3   |  42.2   |
| 仪器仪表 | 300862 |  蓝盾光电  | 36.1  |  59.2  | -2.9 |  -4.2   |   0.4   |
