[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 光伏设备 | 601012 | 隆基绿能 | 4518.0 |  42.4  | -2.6 |  -2.6   |   1.3   |
| 光伏设备 | 600438 | 通威股份 | 2299.0 |  11.1  | -4.5 |  -5.6   |  -5.1   |
| 光伏设备 | 300274 | 阳光电源 | 1929.0 | 117.4  | 1.4  |   4.2   |  17.1   |
| 光伏设备 | 002459 | 晶澳科技 | 1824.0 |  60.8  | -0.6 |  -1.4   |  10.7   |
| 光伏设备 | 688599 | 天合光能 | 1817.0 |  83.6  | 2.5  |  -0.2   |  17.3   |
| 光伏设备 | 688223 | 晶科能源 | 1711.0 | 106.6  | 1.2  |  -1.1   |  19.6   |
| 光伏设备 | 002129 | TCL中环  | 1631.0 |  31.1  | -2.5 |  -3.6   |  -4.2   |
| 光伏设备 | 688303 | 大全能源 | 1266.0 |  7.3   | -4.4 |  -3.1   |  -1.7   |
| 光伏设备 | 300763 | 锦浪科技 | 937.7  | 142.6  | 0.9  |   7.0   |   8.4   |
| 光伏设备 | 300316 | 晶盛机电 | 928.6  |  52.5  | -0.8 |  -2.7   |   3.4   |
| 光伏设备 | 603806 |  福斯特  | 895.7  |  66.0  | -2.3 |  -1.6   |  -0.7   |
| 光伏设备 | 601865 |  福莱特  | 850.2  |  48.7  | -4.2 |   2.1   |   1.1   |
| 光伏设备 | 600732 | 爱旭股份 | 773.8  |  64.9  | 0.2  |  -2.0   |  15.1   |
| 光伏设备 | 603185 | 上机数控 | 624.2  |  23.8  | -5.7 |  -0.3   |   1.5   |
| 光伏设备 | 688032 | 禾迈股份 | 557.5  | 159.7  | 2.6  |   5.0   |  14.0   |
| 光伏设备 | 688348 | 昱能科技 | 482.8  | 392.9  | -0.3 |   2.5   |  17.6   |
| 光伏设备 | 688390 |  固德威  | 480.5  | 1276.1 | 7.4  |   8.3   |  20.1   |
| 光伏设备 | 688598 | 金博股份 | 352.3  |  43.5  | 0.5  |   8.6   |  18.8   |
| 光伏设备 | 688516 |  奥特维  | 318.3  |  74.6  | -0.6 |  -0.0   |   4.2   |
| 光伏设备 | 300118 | 东方日升 | 306.3  |  36.0  | -2.9 |  -0.8   |  10.1   |
| 光伏设备 | 002617 | 露笑科技 | 258.8  | -206.1 | -4.3 |  -8.4   |   1.4   |
| 光伏设备 | 002506 | 协鑫集成 | 235.8  | 270.5  | -5.8 |  -8.0   |  -4.5   |
| 光伏设备 | 688556 | 高测股份 | 188.4  |  48.6  | 2.0  |   0.4   |   3.8   |
| 光伏设备 | 300393 | 中来股份 | 183.3  |  51.7  | -4.8 |  -5.3   |   7.0   |
| 光伏设备 | 688680 | 海优新材 | 179.1  |  58.0  | 4.8  |   2.2   |   7.4   |
| 光伏设备 | 688408 |  中信博  | 179.1  | -501.4 | 3.3  |   1.9   |  15.8   |
| 光伏设备 | 002610 | 爱康科技 | 166.6  | -181.5 | -5.6 |  -7.0   |  -5.1   |
| 光伏设备 | 300827 | 上能电气 | 164.6  | 255.3  | 1.1  |   5.8   |  11.1   |
| 光伏设备 | 600151 | 航天机电 | 150.5  | -216.0 | -3.8 |  -2.9   |  -0.6   |
| 光伏设备 | 603396 | 金辰股份 | 140.0  | 125.3  | -5.0 |   9.5   |  34.1   |
| 光伏设备 | 603212 | 赛伍技术 | 106.3  |  30.0  | -3.9 |  -2.7   |   6.4   |
| 光伏设备 | 002623 |  亚玛顿  |  86.5  | 195.8  | -1.2 |   2.0   |   5.8   |
| 光伏设备 | 002218 | 拓日新能 |  84.5  | 201.2  | -6.1 |  -5.4   |   5.8   |
| 光伏设备 | 300842 | 帝科股份 |  79.8  | 108.8  | -6.0 |   2.5   |  11.6   |
| 光伏设备 | 301168 | 通灵股份 |  73.2  | 120.8  | 1.0  |   6.9   |  16.6   |
| 光伏设备 | 600537 | 亿晶光电 |  64.4  | -138.3 | -5.3 |  -1.6   |   5.5   |
| 光伏设备 | 603105 | 芯能科技 |  62.3  | 145.0  | -4.5 |  -4.5   |  -1.0   |
| 光伏设备 | 301046 | 能辉科技 |  60.5  | 130.5  | -4.7 |  -6.1   |   6.2   |
| 光伏设备 | 688560 | 明冠新材 |  60.3  |  45.1  | -2.5 |  -0.7   |   7.8   |
| 光伏设备 | 600207 | 安彩高科 |  58.8  |  75.8  | -6.3 |  -2.7   |   1.3   |
| 光伏设备 | 300317 | 珈伟新能 |  52.8  |  46.3  | -6.6 |  -6.2   |  -3.2   |
| 光伏设备 | 002309 |  ST中利  |  39.6  | -15.6  | -5.0 |  -8.5   |  -3.2   |
| 光伏设备 | 603628 | 清源股份 |  36.3  | 152.8  | -6.1 |  -9.1   |  -2.4   |
| 光伏设备 | 301278 | 快可电子 |  22.3  |  26.7  | 0.0  |   0.0   |   0.0   |
| 光伏设备 | 300029 |  ST天龙  |  14.5  |  11.2  | -6.5 |  -9.8   |   4.8   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 光伏设备 | 688390 |  固德威  | 480.5  | 1276.1 | 7.4  |   8.3   |  20.1   |
| 光伏设备 | 688680 | 海优新材 | 179.1  |  58.0  | 4.8  |   2.2   |   7.4   |
| 光伏设备 | 688408 |  中信博  | 179.1  | -501.4 | 3.3  |   1.9   |  15.8   |
| 光伏设备 | 688032 | 禾迈股份 | 557.5  | 159.7  | 2.6  |   5.0   |  14.0   |
| 光伏设备 | 688599 | 天合光能 | 1817.0 |  83.6  | 2.5  |  -0.2   |  17.3   |
| 光伏设备 | 688556 | 高测股份 | 188.4  |  48.6  | 2.0  |   0.4   |   3.8   |
| 光伏设备 | 300274 | 阳光电源 | 1929.0 | 117.4  | 1.4  |   4.2   |  17.1   |
| 光伏设备 | 688223 | 晶科能源 | 1711.0 | 106.6  | 1.2  |  -1.1   |  19.6   |
| 光伏设备 | 300827 | 上能电气 | 164.6  | 255.3  | 1.1  |   5.8   |  11.1   |
| 光伏设备 | 301168 | 通灵股份 |  73.2  | 120.8  | 1.0  |   6.9   |  16.6   |
| 光伏设备 | 300763 | 锦浪科技 | 937.7  | 142.6  | 0.9  |   7.0   |   8.4   |
| 光伏设备 | 688598 | 金博股份 | 352.3  |  43.5  | 0.5  |   8.6   |  18.8   |
| 光伏设备 | 600732 | 爱旭股份 | 773.8  |  64.9  | 0.2  |  -2.0   |  15.1   |
| 光伏设备 | 301278 | 快可电子 |  22.3  |  26.7  | 0.0  |   0.0   |   0.0   |
| 光伏设备 | 688348 | 昱能科技 | 482.8  | 392.9  | -0.3 |   2.5   |  17.6   |
| 光伏设备 | 688516 |  奥特维  | 318.3  |  74.6  | -0.6 |  -0.0   |   4.2   |
| 光伏设备 | 002459 | 晶澳科技 | 1824.0 |  60.8  | -0.6 |  -1.4   |  10.7   |
| 光伏设备 | 300316 | 晶盛机电 | 928.6  |  52.5  | -0.8 |  -2.7   |   3.4   |
| 光伏设备 | 002623 |  亚玛顿  |  86.5  | 195.8  | -1.2 |   2.0   |   5.8   |
| 光伏设备 | 603806 |  福斯特  | 895.7  |  66.0  | -2.3 |  -1.6   |  -0.7   |
| 光伏设备 | 002129 | TCL中环  | 1631.0 |  31.1  | -2.5 |  -3.6   |  -4.2   |
| 光伏设备 | 688560 | 明冠新材 |  60.3  |  45.1  | -2.5 |  -0.7   |   7.8   |
| 光伏设备 | 601012 | 隆基绿能 | 4518.0 |  42.4  | -2.6 |  -2.6   |   1.3   |
| 光伏设备 | 300118 | 东方日升 | 306.3  |  36.0  | -2.9 |  -0.8   |  10.1   |
| 光伏设备 | 600151 | 航天机电 | 150.5  | -216.0 | -3.8 |  -2.9   |  -0.6   |
| 光伏设备 | 603212 | 赛伍技术 | 106.3  |  30.0  | -3.9 |  -2.7   |   6.4   |
| 光伏设备 | 601865 |  福莱特  | 850.2  |  48.7  | -4.2 |   2.1   |   1.1   |
| 光伏设备 | 002617 | 露笑科技 | 258.8  | -206.1 | -4.3 |  -8.4   |   1.4   |
| 光伏设备 | 688303 | 大全能源 | 1266.0 |  7.3   | -4.4 |  -3.1   |  -1.7   |
| 光伏设备 | 603105 | 芯能科技 |  62.3  | 145.0  | -4.5 |  -4.5   |  -1.0   |
| 光伏设备 | 600438 | 通威股份 | 2299.0 |  11.1  | -4.5 |  -5.6   |  -5.1   |
| 光伏设备 | 301046 | 能辉科技 |  60.5  | 130.5  | -4.7 |  -6.1   |   6.2   |
| 光伏设备 | 300393 | 中来股份 | 183.3  |  51.7  | -4.8 |  -5.3   |   7.0   |
| 光伏设备 | 603396 | 金辰股份 | 140.0  | 125.3  | -5.0 |   9.5   |  34.1   |
| 光伏设备 | 002309 |  ST中利  |  39.6  | -15.6  | -5.0 |  -8.5   |  -3.2   |
| 光伏设备 | 600537 | 亿晶光电 |  64.4  | -138.3 | -5.3 |  -1.6   |   5.5   |
| 光伏设备 | 002610 | 爱康科技 | 166.6  | -181.5 | -5.6 |  -7.0   |  -5.1   |
| 光伏设备 | 603185 | 上机数控 | 624.2  |  23.8  | -5.7 |  -0.3   |   1.5   |
| 光伏设备 | 002506 | 协鑫集成 | 235.8  | 270.5  | -5.8 |  -8.0   |  -4.5   |
| 光伏设备 | 300842 | 帝科股份 |  79.8  | 108.8  | -6.0 |   2.5   |  11.6   |
| 光伏设备 | 603628 | 清源股份 |  36.3  | 152.8  | -6.1 |  -9.1   |  -2.4   |
| 光伏设备 | 002218 | 拓日新能 |  84.5  | 201.2  | -6.1 |  -5.4   |   5.8   |
| 光伏设备 | 600207 | 安彩高科 |  58.8  |  75.8  | -6.3 |  -2.7   |   1.3   |
| 光伏设备 | 300029 |  ST天龙  |  14.5  |  11.2  | -6.5 |  -9.8   |   4.8   |
| 光伏设备 | 300317 | 珈伟新能 |  52.8  |  46.3  | -6.6 |  -6.2   |  -3.2   |
+----------+--------+----------+--------+--------+------+---------+---------+
