[行业>市值]
+------------+--------+------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+--------+------+---------+---------+
| 光学光电子 | 000725 |  京东方Ａ   | 1442.0 |  8.2   | -3.1 |  -4.1   |  -3.4   |
| 光学光电子 | 600703 |  三安光电  | 976.5  |  56.9  | -3.0 |  -5.1   |  -7.6   |
| 光学光电子 | 000100 |  TCL科技   | 610.3  |  11.3  | -2.5 |  -1.8   |   1.6   |
| 光学光电子 | 688538 | 和辉光电-U | 366.7  | -48.5  | -1.5 |  -1.5   |  -0.4   |
| 光学光电子 | 000050 |  深天马Ａ   | 235.2  |  74.4  | -2.8 |  -2.7   |   0.7   |
| 光学光电子 | 002456 |   欧菲光   | 196.8  | -26.4  | -2.9 |  -1.6   |   4.1   |
| 光学光电子 | 002036 |  联创电子  | 187.3  | 116.7  | -0.5 |  -1.4   |  11.5   |
| 光学光电子 | 300088 |  长信科技  | 171.8  |  23.7  | -4.4 |  -4.0   |   1.7   |
| 光学光电子 | 002273 |  水晶光电  | 170.9  |  37.5  | -4.2 |   0.4   |   6.6   |
| 光学光电子 | 688055 |  龙腾光电  | 166.3  |  26.8  | -4.4 |  -4.4   |  -2.0   |
| 光学光电子 | 300296 |   利亚德   | 160.7  |  34.9  | -4.8 |  -3.5   |  -0.3   |
| 光学光电子 | 600707 |  彩虹股份  | 155.4  |  -5.2  | -3.6 |  -2.5   |   0.2   |
| 光学光电子 | 002745 |   木林森   | 142.3  |  19.6  | -2.7 |  -2.7   |  -0.6   |
| 光学光电子 | 603297 |  永新光学  | 128.9  |  59.7  | -3.8 |   0.8   |  11.6   |
| 光学光电子 | 600363 |  联创光电  | 120.5  |  48.0  | -4.5 |  -9.6   |  -4.9   |
| 光学光电子 | 000413 |  东旭光电  | 106.5  |  -5.1  | -3.1 |  -3.6   |  -2.1   |
| 光学光电子 | 000727 |  冠捷科技  |  98.3  |  20.7  | -3.6 |  -3.6   |   0.0   |
| 光学光电子 | 688150 |  莱特光电  |  91.0  |  70.6  | -6.2 |  -2.2   |  -1.9   |
| 光学光电子 | 002217 |   合力泰   |  89.8  | -11.3  | -3.4 |  -3.0   |   1.1   |
| 光学光电子 | 002387 |   维信诺   |  89.7  |  -3.9  | -4.7 |  -4.0   |  -1.4   |
| 光学光电子 | 300323 |  华灿光电  |  89.5  | 314.0  | -3.7 |  -3.0   |   2.0   |
