[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 农牧饲渔 | 002714 | 牧原股份 | 3091.0 | -14.9  | -1.2 |  -0.2   |   0.1   |
| 农牧饲渔 | 300498 | 温氏股份 | 1562.0 | -10.4  | -0.6 |   3.9   |   2.0   |
| 农牧饲渔 | 002311 | 海大集团 | 1068.0 | 133.1  | -1.2 |   2.5   |   3.1   |
| 农牧饲渔 | 000876 |  新希望  | 687.5  |  -6.0  | -3.1 |  -2.5   |  -4.3   |
| 农牧饲渔 | 002385 |  大北农  | 296.5  | -31.9  | 0.0  |  -0.4   |   0.3   |
| 农牧饲渔 | 600598 |  北大荒  | 254.6  |  14.4  | 3.2  |   2.1   |   3.6   |
| 农牧饲渔 | 002299 | 圣农发展 | 243.1  | -93.0  | -2.1 |  -2.8   |   8.4   |
| 农牧饲渔 | 000998 | 隆平高科 | 199.3  |  91.5  | 1.9  |   0.5   |   2.6   |
| 农牧饲渔 | 603363 | 傲农生物 | 191.4  | -13.6  | 0.6  |   8.1   |  11.3   |
| 农牧饲渔 | 601952 | 苏垦农发 | 187.3  |  27.1  | 4.4  |   3.1   |   7.0   |
| 农牧饲渔 | 002157 | 正邦科技 | 180.7  |  -1.9  | -4.4 |  -4.5   |  -3.6   |
| 农牧饲渔 | 002041 | 登海种业 | 176.9  |  42.4  | 0.8  |   0.5   |   4.1   |
| 农牧饲渔 | 300761 | 立华股份 | 169.0  | -23.8  | -1.9 |  -0.5   |   2.2   |
| 农牧饲渔 | 603477 | 巨星农牧 | 167.4  | -13.4  | 0.2  |   8.1   |  12.7   |
| 农牧饲渔 | 002100 | 天康生物 | 161.3  | -57.9  | -0.2 |   2.2   |   0.9   |
| 农牧饲渔 | 000930 | 中粮科技 | 156.7  |  11.2  | -3.7 |  -3.3   |  -2.5   |
| 农牧饲渔 | 002124 | 天邦食品 | 132.1  |  -4.9  | -3.6 |  -2.0   |  -3.4   |
| 农牧饲渔 | 605296 | 神农集团 | 130.8  | -21.8  | -4.2 |  -3.6   |  -3.4   |
| 农牧饲渔 | 600313 | 农发种业 | 120.7  | 128.8  | 6.1  |   3.9   |   6.3   |
| 农牧饲渔 | 002567 |  唐人神  | 117.9  | -19.8  | -3.2 |   5.0   |   8.4   |
| 农牧饲渔 | 300087 | 荃银高科 | 102.2  | 125.1  | 3.1  |   2.2   |   6.0   |
| 农牧饲渔 | 600811 | 东方集团 | 101.7  | 217.5  | -3.5 |  -4.8   |  -6.1   |
| 农牧饲渔 | 603609 | 禾丰股份 |  94.7  | -18.5  | -1.3 |  -0.3   |  -3.6   |
| 农牧饲渔 | 603668 | 天马科技 |  90.2  |  58.6  | -2.5 |  -1.1   |  -1.3   |
| 农牧饲渔 | 002458 | 益生股份 |  87.6  |  -7.6  | -3.8 |  -4.4   |  -2.8   |
| 农牧饲渔 | 001201 | 东瑞股份 |  85.1  | -72.0  | -3.2 |   3.6   |   1.2   |
| 农牧饲渔 | 600251 | 冠农股份 |  85.0  |  9.7   | -7.0 |  -3.5   |   0.2   |
| 农牧饲渔 | 002746 | 仙坛股份 |  76.5  | -43.7  | -3.0 |  -4.2   |   5.0   |
| 农牧饲渔 | 300138 | 晨光生物 |  73.8  |  17.2  | -4.1 |  -5.9   |  -7.2   |
| 农牧饲渔 | 000735 |  罗牛山  |  73.2  | -62.6  | -4.1 |  -4.4   |  -4.5   |
| 农牧饲渔 | 001313 | 粤海饲料 |  72.4  | -43.4  | -6.9 |  -7.2   |  -7.7   |
| 农牧饲渔 | 600975 |  新五丰  |  72.0  | -16.1  | -3.7 |   4.6   |   3.5   |
| 农牧饲渔 | 002891 | 中宠股份 |  71.6  |  76.5  | -3.9 |  -4.0   |  -1.3   |
| 农牧饲渔 | 000505 | 京粮控股 |  67.0  |  45.3  | 5.9  |   5.4   |   6.8   |
| 农牧饲渔 | 600108 | 亚盛集团 |  65.0  |  64.8  | -1.5 |  -2.9   |   0.3   |
| 农牧饲渔 | 600127 | 金健米业 |  57.8  | -263.9 | 10.0 |   8.7   |   9.9   |
| 农牧饲渔 | 000713 | 丰乐种业 |  56.2  | 192.4  | 4.9  |   3.6   |   5.7   |
| 农牧饲渔 | 000592 | 平潭发展 |  55.4  | -931.8 | 10.0 |  12.1   |  13.0   |
| 农牧饲渔 | 600965 | 福成股份 |  54.5  |  25.5  | -5.1 |  -5.3   |  -6.3   |
| 农牧饲渔 | 002234 | 民和股份 |  53.7  |  -7.3  | -5.1 |  -4.0   |  -3.0   |
| 农牧饲渔 | 002321 |  ST华英  |  49.5  | -32.1  | -3.3 |  -5.7   |  -5.3   |
| 农牧饲渔 | 300189 | 神农科技 |  49.4  | -304.4 | 3.0  |   3.0   |   4.3   |
| 农牧饲渔 | 002548 |  金新农  |  47.8  |  -8.1  | -4.5 |  -2.5   |  -2.9   |
| 农牧饲渔 | 300268 | 佳沃食品 |  47.3  |  10.8  | -1.9 |   2.9   |  -2.2   |
| 农牧饲渔 | 300094 | 国联水产 |  45.7  | 120.7  | -4.8 |  -5.5   |  -6.5   |
| 农牧饲渔 | 300021 | 大禹节水 |  42.3  |  65.1  | -4.8 |  -6.5   |  -7.2   |
| 农牧饲渔 | 300673 | 佩蒂股份 |  39.7  |  34.8  | -4.3 |  -5.5   |  -5.2   |
| 农牧饲渔 | 600371 | 万向德农 |  38.0  |  22.7  | 2.1  |   0.8   |   2.5   |
| 农牧饲渔 | 002982 | 湘佳股份 |  37.9  |  80.9  | -2.1 |  -4.8   |  -4.2   |
| 农牧饲渔 | 603739 | 蔚蓝生物 |  37.2  |  51.4  | -4.3 |  -5.0   |  -3.0   |
| 农牧饲渔 | 600467 |  好当家  |  36.8  | 103.2  | -3.8 |  -4.5   |  -4.2   |
| 农牧饲渔 | 000798 | 中水渔业 |  35.5  | -69.5  | -5.4 |  -7.6   |  -11.9  |
| 农牧饲渔 | 002688 | 金河生物 |  35.0  |  27.6  | -4.5 |  -5.9   |  -5.5   |
| 农牧饲渔 | 300511 | 雪榕生物 |  33.9  |  14.8  | -3.7 |   2.6   |   4.7   |
| 农牧饲渔 | 600354 | 敦煌种业 |  32.7  | 102.2  | 3.3  |   1.3   |   2.1   |
| 农牧饲渔 | 300967 | 晓鸣股份 |  32.4  |  59.3  | -4.6 |  -6.0   |  -4.4   |
| 农牧饲渔 | 600359 | 新农开发 |  32.0  |  17.1  | 2.1  |   0.4   |   1.4   |
| 农牧饲渔 | 002772 | 众兴菌业 |  28.0  |  49.4  | -4.2 |  -7.4   |   0.4   |
| 农牧饲渔 | 002069 | ST獐子岛 |  27.4  | -37.3  | -4.0 |  -4.0   |   2.4   |
| 农牧饲渔 | 603336 | 宏辉果蔬 |  27.3  |  48.5  | -3.1 |  -2.4   |  -0.2   |
| 农牧饲渔 | 600540 | 新赛股份 |  26.9  | -38.9  | -3.5 |  -3.3   |  -1.5   |
| 农牧饲渔 | 002679 | 福建金森 |  25.0  | -38.5  | -4.2 |  -6.6   |  -8.8   |
| 农牧饲渔 | 600257 | 大湖股份 |  24.6  | -46.7  | -4.1 |  -6.7   |  -9.7   |
| 农牧饲渔 | 002696 | 百洋股份 |  22.0  |  83.0  | -6.7 |  -8.3   |  -11.3  |
| 农牧饲渔 | 600097 | 开创国际 |  21.8  |  58.9  | -4.1 |  -5.0   |  -4.7   |
