[行业>市值]
+----------+--------+----------+-------+-------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+------+---------+---------+
| 农药兽药 | 600486 | 扬农化工 | 350.0 |  9.7  | -1.3 |  -3.5   |  -3.4   |
| 农药兽药 | 000553 | 安道麦A  | 250.7 | 14.7  | -2.0 |  -2.5   |  -3.2   |
| 农药兽药 | 600596 | 新安股份 | 210.7 |  4.3  | -6.2 |  -7.6   |  -5.6   |
| 农药兽药 | 301035 | 润丰股份 | 204.2 | 13.2  | -2.0 |  -0.2   |   2.7   |
| 农药兽药 | 002250 | 联化科技 | 178.5 | 60.2  | -1.3 |   5.4   |  12.8   |
| 农药兽药 | 600389 | 江山股份 | 167.3 |  6.5  | -3.6 |  -6.9   |  -8.4   |
| 农药兽药 | 603599 | 广信股份 | 166.4 |  7.3  | -4.4 |  -4.0   |  -3.4   |
| 农药兽药 | 002258 | 利尔化学 | 162.3 |  7.8  | -3.2 |  -1.7   |  -1.2   |
| 农药兽药 | 300261 | 雅本化学 | 117.2 | 42.0  | -8.6 |  -10.3  |  -12.1  |
| 农药兽药 | 688526 | 科前生物 | 116.0 | 31.9  | 0.3  |   0.9   |   1.9   |
| 农药兽药 | 002004 | 华邦健康 | 112.5 | 16.7  | -3.6 |  -4.9   |  -5.7   |
| 农药兽药 | 600195 | 中牧股份 | 111.1 | 20.7  | -2.9 |  -6.2   |  -6.8   |
| 农药兽药 | 603566 |  普莱柯  | 97.3  | 64.8  | 4.4  |   9.9   |  12.1   |
| 农药兽药 | 600201 | 生物股份 | 90.0  | 27.8  | -4.5 |  -6.4   |  -6.5   |
| 农药兽药 | 000525 | ST红太阳 | 84.8  |  6.9  | -5.0 |  -5.1   |   6.1   |
| 农药兽药 | 300119 | 瑞普生物 | 77.2  | 26.7  | -3.2 |  -3.7   |  -2.9   |
| 农药兽药 | 600226 |  ST瀚叶  | 73.8  |  5.5  | -4.8 |  -3.7   |  -4.4   |
| 农药兽药 | 603639 |  海利尔  | 68.6  | 12.0  | -2.4 |   1.1   |   2.0   |
| 农药兽药 | 603718 | 海利生物 | 68.1  | 160.6 | -6.1 |  -7.2   |  -7.4   |
| 农药兽药 | 603970 | 中农立华 | 59.2  | 33.2  | -4.4 |  -1.7   |  -2.0   |
| 农药兽药 | 002215 |  诺普信  | 55.9  |  8.4  | -3.4 |  -2.4   |   0.4   |
| 农药兽药 | 300575 | 中旗股份 | 50.8  | 11.7  | -4.8 |  -4.3   |  -2.7   |
| 农药兽药 | 600796 | 钱江生化 | 48.7  | 34.2  | -3.6 |  -4.8   |  -3.1   |
| 农药兽药 | 002749 | 国光股份 | 46.7  | 28.6  | 1.7  |   3.5   |   2.8   |
| 农药兽药 | 002391 | 长青股份 | 46.2  | 14.4  | -3.8 |  -2.6   |  -1.8   |
| 农药兽药 | 600731 | 湖南海利 | 39.3  | 10.6  | 0.7  |  -0.1   |  -1.7   |
| 农药兽药 | 603360 | 百傲化学 | 38.2  |  9.7  | -4.3 |   0.1   |   1.0   |
| 农药兽药 | 002496 | 辉丰股份 | 37.4  | 46.8  | -4.6 |  -5.7   |  -5.3   |
| 农药兽药 | 002734 | 利民股份 | 36.2  |  9.3  | -5.6 |  -6.2   |  -6.0   |
