[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 化学制品 | 600309 | 万华化学 | 2543.0 |  12.2   | -1.3  |  -4.9   |  -6.1   |
| 化学制品 | 002709 | 天赐材料 | 1025.0 |  17.1   | -3.2  |  -1.2   |  -2.4   |
| 化学制品 | 003022 | 联泓新科 | 674.5  |  73.8   |  5.9  |   3.4   |  28.5   |
| 化学制品 | 300769 | 德方纳米 | 649.8  |  21.3   | -0.2  |   4.8   |   3.7   |
| 化学制品 | 688005 | 容百科技 | 624.1  |  53.3   | -1.9  |  -1.5   |  -3.2   |
| 化学制品 | 688065 | 凯赛生物 | 474.1  |  67.9   |  1.6  |  -0.4   |  -1.2   |
| 化学制品 | 600160 | 巨化股份 | 452.5  |  48.3   | -3.8  |   0.0   |   4.3   |
| 化学制品 | 600378 | 昊华科技 | 415.7  |  46.7   |  3.2  |   4.6   |   6.2   |
| 化学制品 | 300699 | 光威复材 | 360.4  |  43.4   | -3.9  |  -0.7   |  -1.1   |
| 化学制品 | 002407 |  多氟多  | 360.4  |  12.3   | -5.2  |  -3.7   |  -5.7   |
| 化学制品 | 688116 | 天奈科技 | 350.2  |  87.6   |  2.2  |   0.4   |  -1.6   |
| 化学制品 | 300285 | 国瓷材料 | 339.1  |  40.7   |  2.1  |   4.2   |   4.3   |
| 化学制品 | 002497 | 雅化集团 | 322.9  |   7.9   | -5.2  |  -6.5   |  -3.0   |
| 化学制品 | 600352 | 浙江龙盛 | 311.0  |  16.6   | -3.3  |  -4.2   |  -3.8   |
| 化学制品 | 603026 | 石大胜华 | 274.8  |  15.3   | -3.9  |  -2.6   |  -3.6   |
| 化学制品 | 002326 | 永太科技 | 265.5  |  17.0   | -4.7  |  -4.5   |  -7.1   |
| 化学制品 | 600299 |  安迪苏  | 244.9  |  14.1   | -3.4  |  -6.1   |  -2.7   |
| 化学制品 | 002408 | 齐翔腾达 | 214.6  |   9.7   | -4.2  |  -1.2   |  -0.7   |
