[行业>市值]
+----------+--------+------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+--------+------+---------+---------+
| 化学制药 | 600276 |  恒瑞医药  | 2182.0 |  44.1  | -2.8 |  -5.3   |  -11.1  |
| 化学制药 | 600196 |  复星医药  | 1121.0 |  60.6  | -4.6 |  -9.1   |  -14.2  |
| 化学制药 | 000963 |  华东医药  | 789.3  |  28.0  | -2.6 |  -3.3   |   2.4   |
| 化学制药 | 002001 |   新和成   | 607.4  |  12.6  | -2.8 |  -6.1   |  -6.6   |
| 化学制药 | 603456 |  九洲药业  | 383.7  |  41.1  | -2.8 |  -7.9   |  -6.0   |
| 化学制药 | 300363 |  博腾股份  | 321.1  |  21.0  | -4.9 |  -9.1   |  -13.1  |
| 化学制药 | 688690 |  纳微科技  | 302.7  | 124.2  | 2.5  |   0.6   |   5.0   |
| 化学制药 | 002422 |  科伦药业  | 302.1  |  25.9  | -2.5 |  -5.8   |   2.5   |
| 化学制药 | 603707 |  健友股份  | 299.3  |  22.7  | -2.1 |  -2.7   |  -4.3   |
| 化学制药 | 600521 |  华海药业  | 296.7  |  53.9  | -2.1 |  -3.9   |  -3.4   |
| 化学制药 | 000513 |  丽珠集团  | 291.3  |  13.2  | -2.2 |  -4.1   |  -5.9   |
| 化学制药 | 600079 |  人福医药  | 288.2  |  7.7   | -3.5 |  -2.3   |  -2.3   |
| 化学制药 | 002294 |   信立泰   | 261.6  |  27.6  | -2.0 |  -4.5   |  -6.7   |
| 化学制药 | 002399 |   海普瑞   | 227.3  |  24.2  | -2.5 |  -5.0   |  -3.9   |
| 化学制药 | 000739 |  普洛药业  | 210.1  |  24.0  | -5.0 |  -11.9  |  -7.3   |
| 化学制药 | 600062 |  华润双鹤  | 207.6  |  15.6  | -4.8 |  -8.1   |  -24.6  |
| 化学制药 | 300558 |  贝达药业  | 200.5  |  59.9  | -4.5 |  -4.9   |  -6.0   |
| 化学制药 | 600380 |   健康元   | 199.6  |  10.8  | -3.7 |  -4.1   |  -3.9   |
| 化学制药 | 002653 |   海思科   | 166.2  | 158.6  | -2.1 |  -3.0   |  -3.4   |
| 化学制药 | 000623 |  吉林敖东  | 161.9  |  68.3  | -2.8 |  -3.8   |  -2.2   |
| 化学制药 | 300725 |  药石科技  | 161.2  |  56.9  | -3.0 |  -5.2   |  -16.4  |
| 化学制药 | 688131 |  皓元医药  | 160.8  |  64.5  | -2.8 |  -4.6   |   3.6   |
| 化学制药 | 002019 |  亿帆医药  | 140.5  |  29.0  | -3.9 |  -5.5   |  -5.7   |
| 化学制药 | 688091 | 上海谊众-U | 138.5  | 112.6  | -2.5 |  -5.6   |  -4.2   |
| 化学制药 | 600267 |  海正药业  | 134.8  |  21.1  | -5.5 |  -7.5   |  -9.3   |
| 化学制药 | 688356 |  键凯科技  | 133.3  |  63.7  | -3.6 |  -5.9   |  -1.1   |
| 化学制药 | 301089 |  拓新药业  | 130.6  | 114.8  | -9.6 |  -14.0  |  -26.5  |
| 化学制药 | 000756 |  新华制药  | 130.3  |  30.0  | -7.5 |  -9.3   |  -17.8  |
| 化学制药 | 002262 |  恩华药业  | 129.9  |  14.5  | -2.0 |  -6.2   |  -6.1   |
| 化学制药 | 600216 |  浙江医药  | 126.0  |  12.1  | -6.5 |  -9.1   |  -4.5   |
| 化学制药 | 603229 |  奥翔药业  | 124.4  |  44.0  | -2.8 |  -11.5  |  -35.5  |
| 化学制药 | 002773 |  康弘药业  | 123.5  |  10.4  | -5.5 |  -6.3   |  -6.3   |
| 化学制药 | 605507 |  国邦医药  | 122.3  |  15.3  | -6.4 |  -7.6   |  -7.3   |
| 化学制药 | 300630 |  普利制药  | 120.5  |  18.6  | -4.4 |  -6.8   |  -7.1   |
| 化学制药 | 002675 |  东诚药业  | 115.4  |  52.5  | -2.1 |  -1.8   |   2.4   |
| 化学制药 | 002099 |  海翔药业  | 112.0  |  32.2  | -4.0 |  -4.4   |  -7.7   |
| 化学制药 | 300199 |  翰宇药业  | 110.7  | -48.0  | -8.9 |  -12.9  |  -22.8  |
| 化学制药 | 300233 |  金城医药  | 104.4  |  23.2  | -5.8 |  -9.2   |  -5.3   |
| 化学制药 | 688192 | 迪哲医药-U | 103.9  | -14.3  | -3.9 |  -4.8   |  -0.4   |
| 化学制药 | 002793 |  罗欣药业  | 103.3  |  31.6  | -2.2 |  -5.3   |  -5.6   |
| 化学制药 | 600812 |  华北制药  | 102.8  | 187.8  | -3.5 |  -5.7   |  -6.4   |
| 化学制药 | 688505 |  复旦张江  |  98.7  | 500.8  | -4.0 |  -5.0   |  -4.2   |
| 化学制药 | 688321 |  微芯生物  |  97.0  | -650.2 | -4.5 |  -6.5   |  -3.7   |
| 化学制药 | 605116 |   奥锐特   |  97.0  |  59.4  | -4.3 |   1.0   |   5.5   |
| 化学制药 | 688553 | 汇宇制药-W |  94.8  |  19.9  | -5.1 |  -5.9   |  -5.5   |
| 化学制药 | 000915 |  华特达因  |  93.8  |  15.4  | -1.9 |  -7.0   |  -4.4   |
| 化学制药 | 600420 |  国药现代  |  91.6  |  20.6  | -4.5 |  -4.1   |  -3.7   |
| 化学制药 | 300702 |  天宇股份  |  87.6  |  25.9  | -4.2 |  -6.6   |  -5.5   |
| 化学制药 | 002332 |  仙琚制药  |  84.7  |  16.6  | -2.2 |  -4.5   |  -4.7   |
| 化学制药 | 002102 |   ST冠福   |  84.5  |  18.3  | -4.8 |  -6.4   |  -8.0   |
| 化学制药 | 300942 |  易瑞生物  |  83.1  |  18.2  | -7.7 |  -8.9   |  -8.1   |
| 化学制药 | 688166 |  博瑞医药  |  82.7  |  34.0  | -3.9 |  -9.9   |  -7.9   |
| 化学制药 | 600851 |  海欣股份  |  81.1  |  74.2  | -5.9 |  -6.3   |  -5.8   |
| 化学制药 | 300573 |  兴齐眼药  |  79.7  |  26.9  | -2.7 |  -5.3   |  -1.4   |
