[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 化学原料 | 600989 | 宝丰能源 | 1011.0 |  14.5  | -0.3 |  -0.8   |   0.9   |
| 化学原料 | 600426 | 华鲁恒升 | 593.0  |  6.1   | -1.0 |  -2.2   |  -0.2   |
| 化学原料 | 002648 | 卫星化学 | 515.0  |  8.5   | -3.4 |  -7.3   |  -7.4   |
| 化学原料 | 002601 | 龙佰集团 | 453.0  |  10.6  | -6.0 |  -7.0   |  -7.1   |
| 化学原料 | 601216 | 君正集团 | 363.7  |  10.4  | -4.7 |  -6.5   |  -5.9   |
| 化学原料 | 603077 | 和邦生物 | 330.3  |  6.3   | -4.6 |  -4.3   |  -4.1   |
| 化学原料 | 000683 | 远兴能源 | 309.7  |  9.8   | -5.6 |  -7.0   |  -6.5   |
| 化学原料 | 002145 | 中核钛白 | 268.3  |  22.3  | -7.8 |  -2.9   |  -1.2   |
| 化学原料 | 000830 | 鲁西化工 | 256.3  |  4.8   | -4.6 |  -4.2   |  -4.4   |
| 化学原料 | 301238 | 瑞泰新材 | 244.8  |  21.3  | -6.5 |  -4.3   |  -4.5   |
| 化学原料 | 601568 | 北元集团 | 237.9  |  9.9   | -2.4 |  -2.1   |  -1.2   |
| 化学原料 | 000818 | 航锦科技 | 206.8  |  57.2  | -3.5 |  -6.3   |  -4.1   |
| 化学原料 | 301069 | 凯盛新材 | 195.3  |  70.9  | -3.3 |   1.7   |   3.4   |
| 化学原料 | 600935 | 华塑股份 | 187.6  |  20.1  | -4.8 |  -7.8   |  -6.3   |
| 化学原料 | 002092 | 中泰化学 | 186.2  |  10.5  | -3.5 |  -3.1   |  -2.6   |
| 化学原料 | 600328 | 中盐化工 | 184.4  |  6.6   | -4.9 |  -6.2   |  -5.6   |
| 化学原料 | 600610 |  中毅达  | 181.5  | 252.2  | -8.3 |  -9.5   |  -4.6   |
| 化学原料 | 000422 | 湖北宜化 | 165.1  |  6.5   | -6.9 |  -7.0   |  -10.2  |
| 化学原料 | 301090 | 华润材料 | 163.3  |  20.0  | -4.2 |  -4.5   |  -3.2   |
