[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 医疗器械 | 300760 | 迈瑞医疗 | 3492.0 |  41.5  | -1.4 |  -1.9   |  -5.0   |
| 医疗器械 | 603392 | 万泰生物 | 1184.0 |  22.2  | -3.6 |  -5.9   |  -7.6   |
| 医疗器械 | 300595 | 欧普康视 | 418.4  |  70.6  | -2.8 |  -4.3   |  -7.6   |
| 医疗器械 | 300529 | 健帆生物 | 349.3  |  26.1  | -2.0 |  -7.4   |  -7.0   |
| 医疗器械 | 688301 | 奕瑞科技 | 340.5  |  84.4  | 0.2  |   1.1   |   4.5   |
| 医疗器械 | 300832 |  新产业  | 316.8  |  25.7  | -0.9 |  -0.6   |  -4.0   |
| 医疗器械 | 300003 | 乐普医疗 | 313.6  |  14.4  | -3.7 |  -6.9   |  -6.6   |
| 医疗器械 | 002223 | 鱼跃医疗 | 277.7  |  14.9  | -2.8 |   0.8   |   3.0   |
| 医疗器械 | 603658 | 安图生物 | 265.3  |  27.6  | 0.5  |  -0.2   |   0.4   |
| 医疗器械 | 688105 |  诺唯赞  | 262.3  |  15.2  | -4.0 |  -11.1  |  -14.4  |
| 医疗器械 | 300676 | 华大基因 | 244.6  |  18.5  | -4.5 |  -7.7   |  -10.5  |
| 医疗器械 | 002030 | 达安基因 | 244.3  |  3.4   | -5.5 |  -7.2   |  -6.8   |
| 医疗器械 | 688161 | 威高骨科 | 235.1  |  60.0  | 3.1  |   7.4   |  15.2   |
| 医疗器械 | 002432 | 九安医疗 | 234.9  |  0.4   | -6.1 |  -7.4   |  -8.1   |
| 医疗器械 | 688139 | 海尔生物 | 214.9  |  47.3  | -0.2 |  -1.3   |   0.6   |
| 医疗器械 | 688050 | 爱博医疗 | 203.2  |  86.5  | -2.6 |  -8.5   |  -8.5   |
| 医疗器械 | 300298 | 三诺生物 | 186.7  |  71.5  | 2.5  |   8.9   |  14.5   |
| 医疗器械 | 688298 | 东方生物 | 173.4  |  2.1   | -7.6 |  -11.5  |  -14.2  |
