[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 医疗服务 | 603259 | 药明康德 | 2721.0 |  29.4  | -1.7 |  -4.3   |  -8.8   |
| 医疗服务 | 300015 | 爱尔眼科 | 2183.0 |  89.4  | -2.8 |   0.8   |  -6.5   |
| 医疗服务 | 300759 | 康龙化成 | 914.7  |  91.8  | -1.9 |  -6.8   |  -9.0   |
| 医疗服务 | 300347 | 泰格医药 | 889.9  |  42.9  | -0.0 |  -4.0   |  -6.4   |
| 医疗服务 | 002821 |  凯莱英  | 586.1  |  29.3  | -3.3 |  -8.2   |  -12.1  |
| 医疗服务 | 600763 | 通策医疗 | 455.4  |  68.4  | -4.6 |  -6.0   |  -7.2   |
| 医疗服务 | 603127 | 昭衍新药 | 439.3  |  87.6  | 3.0  |   0.0   |  -3.7   |
| 医疗服务 | 603882 | 金域医学 | 315.3  |  9.3   | -3.4 |  -6.3   |  -7.2   |
| 医疗服务 | 688202 |  美迪西  | 306.0  |  99.1  | 1.2  |   0.2   |  -0.3   |
| 医疗服务 | 000516 | 国际医学 | 233.0  | -13.6  | -3.9 |  -5.0   |  -9.1   |
| 医疗服务 | 002044 | 美年健康 | 188.7  | -10.9  | -4.0 |  -6.2   |  -5.1   |
| 医疗服务 | 300244 | 迪安诊断 | 185.6  |  6.2   | -4.0 |  -5.6   |  -6.3   |
| 医疗服务 | 002219 | 恒康医疗 | 128.0  | 2680.1 | -1.8 |  -6.0   |  -6.9   |
| 医疗服务 | 688238 | 和元生物 | 125.8  | 260.5  | -7.4 |  -12.4  |  -9.9   |
| 医疗服务 | 688315 | 诺禾致源 | 114.5  | 151.7  | -3.9 |  -9.3   |  -13.8  |
| 医疗服务 | 301239 | 普瑞眼科 | 106.7  |  71.4  | -2.4 |  -2.7   |  -8.6   |
