[行业>市值]
+--------+--------+------------+--------+--------+------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+--------+------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3080.0 |  27.1  | -3.0 |  -4.9   |  -6.8   |
| 半导体 | 002371 |  北方华创  | 1424.0 | 172.4  | 5.3  |   0.3   |  -0.7   |
| 半导体 | 002049 |  紫光国微  | 1286.0 |  60.6  | -0.9 |  -5.3   |  -2.4   |
| 半导体 | 603501 |  韦尔股份  | 1233.0 |  34.4  | -2.0 |  -3.5   |  -1.2   |
| 半导体 | 688012 |  中微公司  | 803.0  | 171.3  | 2.7  |   5.9   |   6.5   |
| 半导体 | 603986 |  兆易创新  | 785.5  |  28.6  | -1.3 |  -1.4   |  -2.4   |
| 半导体 | 688041 |  海光信息  | 728.8  |  76.6  | 0.0  |   0.0   |   0.0   |
| 半导体 | 603290 |  斯达半导  | 689.6  | 114.0  | 1.8  |   0.6   |   8.7   |
| 半导体 | 688396 |   华润微   | 671.4  |  27.1  | -0.6 |  -2.1   |  -1.0   |
| 半导体 | 688008 |  澜起科技  | 657.5  |  53.7  | -0.4 |  -0.4   |   3.0   |
| 半导体 | 300661 |  圣邦股份  | 607.8  |  58.4  | 1.4  |   2.0   |   1.4   |
| 半导体 | 600460 |   士兰微   | 575.8  |  53.6  | -1.9 |  -7.4   |  -8.0   |
| 半导体 | 688126 | 沪硅产业-U | 551.2  | -909.5 | 0.2  |  -3.3   |  -2.5   |
| 半导体 | 300782 |   卓胜微   | 501.1  |  27.3  | -3.0 |  -6.7   |  -7.5   |
| 半导体 | 688385 |  复旦微电  | 491.6  |  52.8  | 4.1  |   3.3   |  -0.6   |
| 半导体 | 688728 |   格科微   | 466.0  |  48.2  | -1.5 |  -2.4   |   1.4   |
| 半导体 | 688052 |   纳芯微   | 450.7  | 133.7  | 5.9  |   4.5   |   7.1   |
| 半导体 | 600584 |  长电科技  | 428.7  |  12.4  | -4.5 |  -5.9   |  -1.5   |
| 半导体 | 300223 |  北京君正  | 428.1  |  46.2  | -0.5 |   3.4   |   2.8   |
| 半导体 | 603893 |   瑞芯微   | 401.8  | 119.4  | 3.0  |   1.9   |  10.0   |
| 半导体 | 688234 |  天岳先进  | 401.4  | -229.3 | 3.7  |  10.0   |   6.5   |
| 半导体 | 688536 |   思瑞浦   | 390.8  | 106.8  | 3.1  |   0.4   |   0.9   |
| 半导体 | 605358 |   立昂微   | 383.0  |  40.2  | -1.0 |  -2.2   |  -0.2   |
| 半导体 | 688099 |  晶晨股份  | 364.9  |  33.7  | 3.5  |   2.9   |   4.7   |
| 半导体 | 688047 |  龙芯中科  | 329.0  | 225.8  | -2.4 |  -6.0   |  -3.7   |
| 半导体 | 300604 |  长川科技  | 327.1  | 115.0  | 0.3  |   5.3   |  10.4   |
| 半导体 | 300373 |  扬杰科技  | 314.6  |  28.4  | -1.4 |  -5.4   |  -4.0   |
| 半导体 | 688120 |  华海清科  | 307.6  |  84.3  | 0.1  |   0.7   |   2.8   |
| 半导体 | 688072 | 拓荆科技-U | 298.5  | -628.2 | 2.7  |  10.0   |  17.1   |
| 半导体 | 688220 | 翱捷科技-U | 291.1  | -225.4 | -2.0 |  -1.8   |   3.4   |
| 半导体 | 002185 |  华天科技  | 280.1  |  33.9  | -2.2 |  -3.0   |   1.8   |
| 半导体 | 688107 | 安路科技-U | 265.3  | 374.8  | -2.5 |  -7.0   |   3.6   |
| 半导体 | 002409 |  雅克科技  | 262.0  |  44.1  | 5.6  |   4.1   |  13.5   |
| 半导体 | 603160 |  汇顶科技  | 255.4  | -126.4 | -4.1 |  -8.5   |  -8.0   |
| 半导体 | 605111 |   新洁能   | 245.6  |  54.6  | 0.6  |  -4.7   |   5.5   |
| 半导体 | 688521 | 芯原股份-U | 240.7  | 1832.2 | 0.7  |   0.7   |   3.4   |
| 半导体 | 688256 |  寒武纪-U  | 237.6  | -20.7  | -3.2 |  -5.6   |  -4.4   |
| 半导体 | 301308 |   江波龙   | 229.8  |  35.4  | 0.0  |   0.0   |   0.0   |
| 半导体 | 688213 |  思特威-W  | 227.9  | 403.8  | -2.7 |  -4.4   |  19.8   |
| 半导体 | 002156 |  通富微电  | 212.8  |  32.3  | -1.9 |  -3.4   |   7.2   |
| 半导体 | 688048 |  长光华芯  | 211.9  | 191.8  | 10.1 |   4.2   |  11.2   |
| 半导体 | 688200 |  华峰测控  | 203.1  |  41.5  | 1.4  |   0.0   |   2.2   |
| 半导体 | 688798 |  艾为电子  | 192.9  |  83.8  | 0.7  |  -3.4   |  -0.3   |
| 半导体 | 301050 |  雷电微力  | 190.2  |  44.4  | 5.0  |   9.8   |  13.2   |
| 半导体 | 300666 |  江丰电子  | 185.0  | 138.3  | 3.2  |   7.2   |   9.3   |
| 半导体 | 688153 | 唯捷创芯-U | 178.4  | 121.4  | -2.8 |  -7.6   |  -3.1   |
| 半导体 | 688608 |  恒玄科技  | 177.9  | 197.7  | -1.3 |  -0.3   |   0.8   |
| 半导体 | 688261 |  东微半导  | 176.6  |  92.5  | 0.2  |   3.2   |   4.4   |
| 半导体 | 688037 |   芯源微   | 175.2  | 135.1  | 5.8  |  22.0   |  27.1   |
| 半导体 | 688002 |  睿创微纳  | 170.7  | 298.9  | 0.3  |  -1.4   |   5.7   |
| 半导体 | 300623 |  捷捷微电  | 166.4  |  41.5  | -1.8 |  -3.2   |  -1.0   |
| 半导体 | 300613 |   富瀚微   | 159.5  |  39.2  | -3.2 |  -5.7   |  -1.6   |
| 半导体 | 688167 |  炬光科技  | 157.6  | 195.5  | 6.0  |   6.6   |  21.4   |
| 半导体 | 300458 |  全志科技  | 152.7  |  49.7  | -4.3 |  -5.9   |  -3.0   |
| 半导体 | 603005 |  晶方科技  | 152.2  |  41.4  | -3.9 |  -6.9   |  -6.8   |
| 半导体 | 600171 |  上海贝岭  | 150.7  |  26.1  | -3.4 |  -4.5   |  -1.6   |
| 半导体 | 600667 |  太极实业  | 149.8  |  21.3  | -2.7 |  -3.8   |  -0.6   |
| 半导体 | 300327 |  中颖电子  | 148.7  |  29.0  | -2.1 |  -3.1   |  -1.8   |
| 半导体 | 688110 |  东芯股份  | 138.5  |  31.4  | -2.8 |  -5.4   |  -2.3   |
| 半导体 | 600877 |  声光电科  | 138.3  | 109.7  | -4.3 |  -0.9   |   2.3   |
| 半导体 | 688206 |  概伦电子  | 135.0  | 717.9  | -1.5 |  -7.9   |  -1.4   |
| 半导体 | 688173 |   希荻微   | 132.5  | 346.2  | 5.2  |   5.1   |  20.0   |
| 半导体 | 688711 |  宏微科技  | 124.8  | 255.4  | 1.6  |  -1.9   |   4.5   |
| 半导体 | 688380 |  中微半导  | 123.6  | 113.7  | 0.0  |   0.0   |   0.0   |
| 半导体 | 001270 |  铖昌科技  | 122.6  | 289.7  | -3.0 |  -2.1   |  -7.7   |
| 半导体 | 300456 |  赛微电子  | 118.5  | 125.5  | -1.8 |  -0.2   |   6.2   |
| 半导体 | 300672 |   国科微   | 117.5  | -128.5 | -4.3 |  -7.4   |  -6.5   |
| 半导体 | 301095 |   广立微   | 116.0  | -230.4 | 0.0  |   0.0   |   0.0   |
| 半导体 | 300671 |   富满微   | 112.9  |  50.8  | -4.3 |  -6.2   |  -6.5   |
| 半导体 | 688262 |  国芯科技  | 111.3  | 9051.8 | -1.5 |  -10.1  |  -3.9   |
| 半导体 | 002079 |  苏州固锝  | 110.7  |  46.7  | -5.7 |  -5.7   |   5.1   |
| 半导体 | 688123 |  聚辰股份  | 108.9  |  47.5  | -4.5 |  -7.9   |  -5.0   |
| 半导体 | 688209 |   英集芯   | 104.4  |  44.8  | -4.2 |  -0.7   |   3.0   |
| 半导体 | 300077 |  国民技术  |  99.7  | 101.3  | -5.1 |  -6.0   |  -0.2   |
| 半导体 | 688233 |  神工股份  |  89.1  |  44.7  | -2.8 |   0.4   |   9.2   |
| 半导体 | 600198 |  大唐电信  |  83.2  | -48.0  | -4.5 |  -5.2   |  -3.1   |
| 半导体 | 688018 |  乐鑫科技  |  82.7  |  74.2  | -2.1 |  -2.6   |   0.5   |
| 半导体 | 688270 |  臻镭科技  |  81.4  | 294.1  | -2.5 |  -5.1   |  -4.0   |
| 半导体 | 688368 |  晶丰明源  |  78.5  | -171.0 | -3.9 |  -7.2   |  -2.2   |
| 半导体 | 688508 |   芯朋微   |  77.5  |  57.6  | 1.0  |   0.6   |   5.7   |
| 半导体 | 688766 |  普冉股份  |  77.1  |  46.4  | -0.7 |   1.6   |  10.2   |
| 半导体 | 688601 |   力芯微   |  71.6  |  27.3  | 0.6  |   0.5   |   0.7   |
| 半导体 | 600360 |  华微电子  |  70.4  |  68.5  | -2.4 |  -3.3   |   2.5   |
| 半导体 | 688279 |  峰岹科技  |  69.5  |  45.6  | 1.9  |   4.3   |   7.4   |
| 半导体 | 688595 |  芯海科技  |  69.4  | 1716.0 | -2.8 |  -5.2   |  -1.3   |
| 半导体 | 688332 |  中科蓝讯  |  69.1  |  43.0  | -3.9 |  -5.1   |  -3.8   |
| 半导体 | 688699 |  明微电子  |  66.0  |  23.1  | -4.0 |  -5.8   |  -1.5   |
| 半导体 | 002077 |  大港股份  |  60.1  |  78.7  | 10.0 |   7.5   |   6.8   |
| 半导体 | 001309 |   德明利   |  57.5  |  75.7  | 10.0 |  25.2   |  26.8   |
| 半导体 | 688259 |  创耀科技  |  56.4  |  55.4  | -1.7 |  -4.5   |  -1.0   |
| 半导体 | 688045 |   必易微   |  56.2  |  48.2  | -3.0 |  10.2   |  16.4   |
| 半导体 | 688230 |  芯导科技  |  55.0  |  46.0  | -2.8 |  -1.9   |   1.9   |
| 半导体 | 300053 |   欧比特   |  54.1  | 169.3  | -4.8 |  -5.5   |  -2.8   |
| 半导体 | 688661 |  和林微纳  |  50.8  |  65.7  | -2.3 |   1.5   |   9.1   |
| 半导体 | 688138 |  清溢光电  |  50.1  |  94.3  | -1.1 |   6.2   |  14.5   |
| 半导体 | 688135 |  利扬芯片  |  48.8  | 116.9  | -2.7 |  -4.2   |   7.3   |
| 半导体 | 688325 |  赛微微电  |  48.5  | 100.1  | -3.1 |  -5.0   |   1.8   |
| 半导体 | 603068 |  博通集成  |  47.5  | 335.0  | -3.8 |  -6.5   |  -2.8   |
| 半导体 | 003026 |  中晶科技  |  47.3  |  58.0  | -3.6 |  -6.0   |  -3.2   |
| 半导体 | 300831 |  派瑞股份  |  45.2  |  93.1  | -5.3 |  -2.4   |  -3.3   |
| 半导体 | 002119 |  康强电子  |  44.6  |  37.0  | 1.9  |   3.7   |   7.9   |
| 半导体 | 300706 |   阿石创   |  44.1  | 186.2  | 5.1  |  12.4   |  20.3   |
| 半导体 | 300046 |  台基股份  |  43.5  | 106.5  | -4.4 |  -5.3   |  -2.0   |
| 半导体 | 688049 |  炬芯科技  |  43.3  | 103.1  | -4.8 |  -6.1   |  -1.6   |
| 半导体 | 688130 |  C晶华微   |  38.5  |  40.2  | -4.0 |  -8.3   |  -8.3   |
| 半导体 | 688689 |  银河微电  |  37.5  |  46.8  | -3.7 |  -3.2   |   3.0   |
| 半导体 | 688589 |   力合微   |  36.0  |  66.8  | -5.1 |  -8.2   |  -2.7   |
| 半导体 | 300493 |  润欣科技  |  34.2  |  65.6  | -4.0 |  -2.2   |  -0.7   |
| 半导体 | 301132 |  满坤科技  |  29.6  |  32.0  | 0.0  |   0.0   |   0.0   |
| 半导体 | 688216 |  气派科技  |  28.3  | -115.7 | -4.2 |  -5.6   |   6.4   |
| 半导体 | 300812 |  易天股份  |  25.0  |  43.7  | -5.3 |  -7.0   |  -2.9   |
| 半导体 | 688286 |  敏芯股份  |  24.9  | -235.0 | -4.7 |  -7.4   |   1.6   |
| 半导体 | 603933 |  睿能科技  |  24.0  |  26.1  | -3.4 |  -3.6   |  -0.4   |
| 半导体 | 300139 |  晓程科技  |  23.9  | -11.9  | -4.5 |  -4.3   |   0.0   |
| 半导体 | 605588 |  冠石科技  |  23.1  |  26.0  | -4.1 |  -2.9   |   0.1   |
| 半导体 | 000670 |  *ST盈方   |  18.4  | 160.0  | 0.0  |   0.0   |   0.0   |
| 半导体 | 688403 |  汇成股份  |  0.0   |  0.0   | 0.0  |   0.0   |   0.0   |
+--------+--------+------------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+--------+--------+------------+--------+--------+------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+--------+------+---------+---------+
| 半导体 | 688048 |  长光华芯  | 211.9  | 191.8  | 10.1 |   4.2   |  11.2   |
| 半导体 | 001309 |   德明利   |  57.5  |  75.7  | 10.0 |  25.2   |  26.8   |
| 半导体 | 002077 |  大港股份  |  60.1  |  78.7  | 10.0 |   7.5   |   6.8   |
