[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 商业百货 | 601933 | 永辉超市 | 308.6 |  15.4  | -2.0 |  -4.0   |  -5.3   |
| 商业百货 | 600415 | 小商品城 | 273.5 |  10.2  | -3.3 |  -6.6   |  -5.9   |
| 商业百货 | 000785 | 居然之家 | 259.9 |  12.9  | -2.9 |  -3.6   |  -1.7   |
| 商业百货 | 600859 |  王府井  | 228.6 |  15.2  | -4.4 |  -10.0  |  -11.7  |
| 商业百货 | 601828 |  美凯龙  | 212.9 |  7.6   | -4.3 |  -6.5   |  -4.9   |
| 商业百货 | 000564 |  ST大集  | 189.7 | 393.1  | -1.0 |  -4.8   |   0.0   |
| 商业百货 | 600827 | 百联股份 | 187.2 |  30.1  | -6.2 |  -8.9   |  -8.3   |
| 商业百货 | 002024 |  ST易购  | 187.1 |  -4.5  | -3.4 |  -4.7   |  -6.1   |
| 商业百货 | 301078 |  孩子王  | 145.6 | -112.2 | -9.6 |  -15.7  |  -13.9  |
| 商业百货 | 600682 | 南京新百 | 129.1 |  15.4  | -4.0 |  -4.9   |  -6.0   |
| 商业百货 | 002416 |  爱施德  | 104.1 |  13.0  | -4.0 |  -5.1   |  -3.6   |
| 商业百货 | 603123 | 翠微股份 | 89.8  |  34.2  | -7.4 |  -8.8   |  -6.8   |
| 商业百货 | 600729 | 重庆百货 | 87.6  |  5.3   | -2.4 |  -6.5   |  -2.9   |
| 商业百货 | 002818 |  富森美  | 82.7  |  9.1   | -4.5 |  -6.7   |  -6.2   |
| 商业百货 | 000501 | 武商集团 | 78.4  |  11.2  | -4.7 |  -5.8   |  -6.2   |
| 商业百货 | 000906 | 浙商中拓 | 75.8  |  8.1   | -4.3 |  -8.2   |  -1.2   |
| 商业百货 | 000058 |  深赛格  | 71.2  |  52.8  | -4.8 |  -4.0   |  -0.2   |
| 商业百货 | 603708 |  家家悦  | 70.3  |  13.4  | -3.9 |  -5.6   |  -6.4   |
| 商业百货 | 002419 | 天虹股份 | 68.4  |  6.1   | -3.5 |  -6.1   |  -5.5   |
| 商业百货 | 002697 | 红旗连锁 | 63.8  |  13.1  | -4.3 |  -4.1   |  -4.5   |
| 商业百货 | 600861 | 北京城乡 | 61.6  | -78.8  | -2.8 |  -6.5   |  -6.9   |
| 商业百货 | 002277 | 友阿股份 | 61.1  |  25.4  | -5.2 |  -6.6   |  -8.2   |
| 商业百货 | 600828 | 茂业商业 | 56.6  |  34.5  | -3.0 |  -4.1   |  -3.5   |
| 商业百货 | 002344 | 海宁皮城 | 55.0  |  9.6   | -5.7 |  -9.1   |  -8.7   |
| 商业百货 | 605136 | 丽人丽妆 | 53.7  | 105.8  | -6.1 |  -7.7   |  -5.9   |
| 商业百货 | 002251 |  步步高  | 50.5  |  45.0  | -6.9 |  -8.2   |  -10.7  |
| 商业百货 | 601116 | 三江购物 | 50.3  |  32.1  | -7.0 |  -10.9  |  -10.2  |
