[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 塑料制品 | 002585 | 双星新材 | 309.4 |  21.5   | -4.4 |  -1.2   |  17.3   |
| 塑料制品 | 300487 | 蓝晓科技 | 265.5 |  67.2   | 3.8  |  23.0   |  27.2   |
| 塑料制品 | 600143 | 金发科技 | 250.2 |  14.8   | -2.2 |  -2.7   |  -2.7   |
| 塑料制品 | 002324 |  普利特  | 175.9 |  180.1  | -2.0 |   8.4   |  12.3   |
| 塑料制品 | 300586 | 美联新材 | 125.1 |  34.4   | -3.4 |   4.4   |  16.3   |
| 塑料制品 | 601208 | 东材科技 | 119.7 |  29.4   | -2.0 |   3.3   |  18.5   |
| 塑料制品 | 002838 | 道恩股份 | 113.6 |  55.4   | -3.6 |  -4.8   |   5.8   |
| 塑料制品 | 605008 | 长鸿高科 | 110.8 |  32.0   | -5.1 |  -1.5   |  -2.1   |
| 塑料制品 | 300596 |  利安隆  | 104.2 |  20.6   | -1.1 |  -2.1   |   0.6   |
| 塑料制品 | 603181 | 皇马科技 | 95.7  |  18.4   | -2.5 |   1.1   |   3.4   |
| 塑料制品 | 603010 | 万盛股份 | 95.2  |  18.5   | -5.2 |  -5.7   |  -5.3   |
| 塑料制品 | 002108 | 沧州明珠 | 84.2  |  36.0   | -6.0 |  -2.9   |   6.1   |
| 塑料制品 | 300806 |  斯迪克  | 81.3  |  114.5  | -4.4 |  -7.2   |  -4.3   |
| 塑料制品 | 688087 | 英科再生 | 71.2  |  36.3   | -5.1 |  -7.9   |  -6.7   |
| 塑料制品 | 300180 | 华峰超纤 | 69.4  |  117.7  | -3.4 |  -1.5   |   1.0   |
| 塑料制品 | 603051 | 鹿山新材 | 68.1  |  51.9   | 1.6  |   8.3   |  10.3   |
| 塑料制品 | 002768 | 国恩股份 | 66.1  |  14.0   | -4.8 |  -5.9   |  -5.2   |
| 塑料制品 | 002263 |  大东南  | 60.1  |  46.1   | -5.9 |  -3.9   |  -3.0   |
| 塑料制品 | 000859 | 国风新材 | 59.5  |  14.9   | -5.4 |  -7.4   |  -0.9   |
| 塑料制品 | 688026 | 洁特生物 | 57.0  |  34.7   | -6.5 |  -4.7   |  -4.9   |
| 塑料制品 | 002522 | 浙江众成 | 53.6  |  26.3   | -4.7 |  -5.3   |   0.0   |
| 塑料制品 | 688323 |  瑞华泰  | 51.3  |  104.5  | -3.1 |   0.6   |   8.4   |
| 塑料制品 | 002361 | 神剑股份 | 48.0  |  200.6  | -2.2 |   0.2   |   3.2   |
| 塑料制品 | 002341 | 新纶新材 | 47.7  |  -13.2  | -4.8 |  -5.7   |  -4.6   |
| 塑料制品 | 301196 | 唯科科技 | 47.7  |  26.6   | -5.9 |  -8.3   |  -4.2   |
| 塑料制品 | 002886 | 沃特股份 | 47.4  |  232.8  | -1.3 |  -0.8   |   5.1   |
| 塑料制品 | 300610 | 晨化股份 | 44.5  |  26.9   | -1.2 |   1.3   |   1.1   |
| 塑料制品 | 603330 | 上海天洋 | 44.5  | 1089.7  | -4.3 |  -3.5   |  11.3   |
| 塑料制品 | 000973 | 佛塑科技 | 43.8  |  38.4   | -4.6 |  -4.0   |  -0.7   |
| 塑料制品 | 688219 | 会通股份 | 43.3  |  34.8   | -3.7 |  -4.5   |   1.0   |
| 塑料制品 | 300305 | 裕兴股份 | 42.2  |  17.7   | -7.3 |  -7.3   |   7.8   |
| 塑料制品 | 600135 | 乐凯胶片 | 42.2  |  119.2  | -5.7 |  -5.1   |  -0.8   |
| 塑料制品 | 688386 | 泛亚微透 | 42.1  |  58.5   | -2.9 |  -3.4   |   3.5   |
| 塑料制品 | 603722 |  阿科力  | 42.1  |  24.2   | -2.4 |  -4.8   |  -2.2   |
| 塑料制品 | 688585 | 上纬新材 | 42.0  |  54.7   | -6.6 |  -0.6   |   4.1   |
| 塑料制品 | 002632 | 道明光学 | 41.4  |  37.8   | -6.1 |  -2.4   |  -1.5   |
| 塑料制品 | 300214 | 日科化学 | 36.9  |  11.4   | -4.4 |  -3.2   |   1.0   |
| 塑料制品 | 301237 | 和顺科技 | 34.6  |  29.5   | -4.4 |   3.0   |   3.3   |
| 塑料制品 | 300922 | 天秦装备 | 32.7  |  82.5   | 9.2  |   9.2   |  12.8   |
| 塑料制品 | 300980 | 祥源新材 | 32.5  |  78.8   | -0.9 |  18.2   |  20.1   |
| 塑料制品 | 002825 | 纳尔股份 | 31.4  |  34.5   | -7.4 |   1.3   |   0.0   |
| 塑料制品 | 300230 | 永利股份 | 30.9  |  21.1   | -4.0 |  -3.3   |  -1.0   |
| 塑料制品 | 603266 | 天龙股份 | 30.2  |  25.0   | -7.0 |  -1.3   |   6.1   |
| 塑料制品 | 301193 | 家联科技 | 30.2  |  33.3   | -4.5 |  -7.6   |  -7.5   |
| 塑料制品 | 301000 | 肇民科技 | 29.8  |  27.4   | -4.9 |  -6.8   |   2.0   |
| 塑料制品 | 603991 | 至正股份 | 28.9  | -262.1  | -4.0 |  -2.2   |  -0.8   |
| 塑料制品 | 301003 | 江苏博云 | 28.6  |  21.1   | -5.4 |  -5.1   |  -0.5   |
| 塑料制品 | 301198 | 喜悦智行 | 27.0  |  50.5   | -6.1 |  -7.6   |  -1.8   |
| 塑料制品 | 301019 | 宁波色母 | 26.6  |  25.8   | -5.6 |  -3.6   |  -1.8   |
| 塑料制品 | 300218 | 安利股份 | 26.4  |   3.9   | -5.2 |  -3.1   |  -2.6   |
| 塑料制品 | 300221 | 银禧科技 | 25.5  | -468.1  | -4.1 |  -1.6   |   2.1   |
| 塑料制品 | 605488 | 福莱新材 | 25.3  |  32.0   | -3.8 |  -3.5   |   0.7   |
| 塑料制品 | 300905 |  宝丽迪  | 25.1  |  32.2   | -4.9 |  -4.0   |  -1.7   |
| 塑料制品 | 603928 | 兴业股份 | 24.2  |  15.7   | -5.4 |  -6.9   |  -3.9   |
| 塑料制品 | 688669 | 聚石化学 | 23.9  |  35.2   | -5.1 |  -7.2   |  -1.9   |
| 塑料制品 | 003018 | 金富科技 | 23.7  |  23.5   | -5.7 |  -5.4   |  -5.1   |
| 塑料制品 | 002395 | 双象股份 | 23.6  |  -99.3  | -8.4 |  -19.2  |  -2.1   |
| 塑料制品 | 300243 | 瑞丰高材 | 23.2  |  18.5   | -5.1 |  -2.0   |  -0.6   |
| 塑料制品 | 603150 | 万朗磁塑 | 23.2  |  16.4   | -7.2 |  -8.7   |  -3.7   |
| 塑料制品 | 603879 | 永悦科技 | 23.0  | -273.6  | -4.7 |  -5.8   |  -6.7   |
| 塑料制品 | 300538 | 同益股份 | 22.9  | -115.2  | -5.0 |  -3.0   |   1.2   |
| 塑料制品 | 300539 | 横河精密 | 21.3  |  105.8  | -8.2 |  -11.3  |  17.0   |
