[行业>市值]
+----------+--------+----------+--------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+-------+---------+---------+
| 家电行业 | 000333 | 美的集团 | 3751.0 | 13.1  | -1.9  |  -3.9   |  -5.0   |
| 家电行业 | 600690 | 海尔智家 | 2252.0 | 16.0  | -2.1  |  -5.2   |  -5.2   |
| 家电行业 | 000651 | 格力电器 | 1794.0 | 11.2  | -3.5  |  -4.3   |  -6.9   |
| 家电行业 | 002050 | 三花智控 | 1146.0 | 63.2  | -2.6  |   1.9   |  16.2   |
| 家电行业 | 603195 | 公牛集团 | 863.9  | 33.7  | -1.8  |  -3.6   |  -3.4   |
| 家电行业 | 605117 | 德业股份 | 848.6  | 160.6 |  6.6  |   9.6   |  17.9   |
| 家电行业 | 603486 |  科沃斯  | 516.8  | 30.5  | -4.2  |  -6.9   |  -7.5   |
| 家电行业 | 603868 | 飞科电器 | 363.7  | 39.9  |  5.6  |   4.2   |   5.2   |
| 家电行业 | 002032 |  苏泊尔  | 361.2  | 19.4  | -2.5  |  -6.2   |  -4.5   |
| 家电行业 | 688169 | 石头科技 | 295.9  | 21.6  | -2.9  |  -6.1   |  -5.3   |
| 家电行业 | 002508 | 老板电器 | 256.6  | 17.4  | -2.1  |  -7.1   |  -5.1   |
| 家电行业 | 688696 | 极米科技 | 250.7  | 51.6  | -0.1  |   0.7   |  -1.8   |
| 家电行业 | 000810 | 创维数字 | 215.9  | 25.9  | -4.1  |   0.2   |   8.8   |
| 家电行业 | 603355 | 莱克电气 | 188.8  | 22.3  | -0.6  |   5.3   |  27.3   |
| 家电行业 | 000921 | 海信家电 | 187.8  | 17.6  | -2.1  |  -2.3   |  10.2   |
| 家电行业 | 002705 | 新宝股份 | 177.2  | 24.9  | -5.8  |  -8.7   |  -4.4   |
| 家电行业 | 002429 | 兆驰股份 | 171.6  | 12.4  | -3.1  |  -3.3   |   0.5   |
| 家电行业 | 002011 | 盾安环境 | 166.1  | 49.8  | -5.8  |  -0.2   |   1.7   |
| 家电行业 | 600060 | 海信视像 | 163.7  | 13.7  | -2.7  |  -3.5   |  -2.1   |
| 家电行业 | 600839 | 四川长虹 | 130.2  | 64.7  | -5.0  |  -6.9   |  -6.9   |
| 家电行业 | 300894 |  火星人  | 129.4  | 53.9  | -4.6  |  -7.4   |  -6.9   |
| 家电行业 | 002242 | 九阳股份 | 127.4  | 19.2  | -4.4  |  -7.6   |  -3.6   |
| 家电行业 | 000016 | 深康佳Ａ  | 124.2  | 29.9  | -5.3  |  -5.2   |  -7.2   |
| 家电行业 | 603515 | 欧普照明 | 121.5  | 45.9  | -3.6  |  -4.5   |  -2.4   |
| 家电行业 | 300217 | 东方电热 | 114.7  | 49.7  | -6.0  |   2.3   |   8.6   |
| 家电行业 | 605365 |  立达信  |  93.1  | 24.4  | -0.4  |   1.0   |   3.4   |
| 家电行业 | 002759 | 天际股份 |  92.4  |  5.6  | -5.5  |  -6.8   |  -5.6   |
| 家电行业 | 600619 | 海立股份 |  88.2  | 51.8  | -1.9  |  13.4   |  17.1   |
| 家电行业 | 002677 | 浙江美大 |  84.5  | 17.4  | -3.6  |  -5.5   |  -5.4   |
| 家电行业 | 000541 | 佛山照明 |  81.9  | 33.4  | -4.5  |  -8.8   |  -0.8   |
| 家电行业 | 605555 | 德昌股份 |  81.0  | 33.7  | -3.1  |   1.7   |  12.2   |
| 家电行业 | 002959 | 小熊电器 |  80.1  | 19.2  | -4.8  |  -11.4  |  -9.2   |
| 家电行业 | 300403 | 汉宇集团 |  76.5  | 42.8  |  4.0  |  -4.7   |  29.0   |
| 家电行业 | 603219 | 富佳股份 |  72.9  | 31.3  | -1.8  |  -4.8   |  -1.3   |
| 家电行业 | 603112 | 华翔股份 |  69.6  | 19.3  | -2.9  |  -6.0   |   4.2   |
| 家电行业 | 603303 | 得邦照明 |  67.3  | 28.0  | -6.9  |  -8.2   |  -2.6   |
| 家电行业 | 300911 | 亿田智能 |  66.8  | 37.5  | -2.5  |  -8.8   |  -3.7   |
| 家电行业 | 000801 | 四川九洲 |  65.5  | 50.5  | -4.3  |  -5.5   |  -2.3   |
| 家电行业 | 002543 | 万和电气 |  65.3  | 10.3  | -9.9  |  -11.8  |   0.3   |
| 家电行业 | 603366 | 日出东方 |  61.5  | -25.2 |  0.0  |  21.1   |  44.2   |
| 家电行业 | 002668 |  ST奥马  |  54.3  | 17.4  | -4.8  |  -9.6   |  -7.9   |
| 家电行业 | 600983 |  惠而浦  |  54.0  | -74.0 | -4.7  |  -6.1   |  -6.5   |
| 家电行业 | 300160 | 秀强股份 |  53.9  | 22.6  | -6.0  |  -4.0   |   1.3   |
| 家电行业 | 002519 | 银河电子 |  53.6  | 28.5  | -5.7  |  -6.3   |  -2.7   |
| 家电行业 | 600336 |  澳柯玛  |  51.9  | 34.4  | -8.7  |  -6.7   |  -5.7   |
| 家电行业 | 002614 |  奥佳华  |  50.6  | 45.7  | -0.5  |   0.2   |   3.4   |
| 家电行业 | 002035 | 华帝股份 |  50.4  | 15.8  | -6.5  |  -7.3   |   3.3   |
| 家电行业 | 600261 | 阳光照明 |  49.0  | 370.5 | -2.5  |  -3.1   |  -1.1   |
| 家电行业 | 000404 | 长虹华意 |  44.4  | 33.9  | -10.0 |  -7.7   |  -3.0   |
| 家电行业 | 002860 |  星帅尔  |  44.1  | 29.3  | -7.2  |  -9.6   |   3.8   |
| 家电行业 | 688609 | 九联科技 |  43.2  | 156.9 | -5.3  |  -7.2   |  -6.8   |
| 家电行业 | 000521 | 长虹美菱 |  43.1  | 209.6 | -5.4  |  -4.1   |  -8.1   |
| 家电行业 | 300342 | 天银机电 |  42.0  | 876.2 | -4.9  |  -6.4   |  -3.0   |
| 家电行业 | 002418 | 康盛股份 |  40.6  | -94.0 | -2.7  |  -5.0   |  -0.8   |
| 家电行业 | 301187 | 欧圣电气 |  39.4  | 26.3  | -9.8  |  -10.9  |  -5.5   |
| 家电行业 | 002723 | 小崧股份 |  38.6  | 416.0 | -1.2  |  -2.3   |  -1.7   |
| 家电行业 | 601956 | 东贝集团 |  36.5  | 28.2  | -4.1  |  -6.4   |  -2.1   |
| 家电行业 | 301061 | 匠心家居 |  36.1  | 12.8  | -6.8  |  -10.5  |  -9.5   |
| 家电行业 | 300824 | 北鼎股份 |  35.7  | 79.0  | -2.5  |  -2.2   |   1.2   |
| 家电行业 | 603519 | 立霸股份 |  34.8  |  5.5  | -3.8  |  -4.0   |  -1.6   |
| 家电行业 | 605336 | 帅丰电器 |  34.2  | 22.7  | -4.8  |  -8.6   |  -7.2   |
| 家电行业 | 002403 |  爱仕达  |  33.8  | -31.4 | 10.0  |   9.1   |  26.4   |
| 家电行业 | 300625 | 三雄极光 |  33.6  | 36.2  | -3.7  |  -3.5   |  -1.5   |
| 家电行业 | 300272 | 开能健康 |  33.0  | 51.7  | -5.3  |  -7.5   |  -2.1   |
| 家电行业 | 603579 | 荣泰健康 |  32.2  | 13.8  | -4.7  |  -5.3   |  -5.3   |
| 家电行业 | 603551 | 奥普家居 |  31.8  | 28.6  | -4.0  |  -5.6   |  -3.4   |
| 家电行业 | 603311 | 金海高科 |  30.8  | 33.8  | -5.6  |  -0.8   |  -3.5   |
| 家电行业 | 002676 | 顺威股份 |  30.5  | 44.6  | -4.9  |  -4.7   |  -6.4   |
| 家电行业 | 603215 | 比依股份 |  30.3  | 29.7  | -8.1  |  -10.3  |  -9.5   |
| 家电行业 | 600854 | 春兰股份 |  28.2  | 22.7  | -9.1  |  -10.8  |  -10.1  |
| 家电行业 | 002005 |  ST德豪  |  28.2  | -13.8 | -3.6  |  -7.5   |  -4.7   |
| 家电行业 | 002420 | 毅昌科技 |  28.0  | 79.6  | -4.2  |  -4.6   |  -3.2   |
| 家电行业 | 688793 |  倍轻松  |  26.8  | -67.8 | -8.4  |  -11.2  |  -7.5   |
| 家电行业 | 300247 | 融捷健康 |  25.6  | 123.8 | -6.7  |  -8.4   |  -7.3   |
| 家电行业 | 603578 | 三星新材 |  23.4  | 17.0  | -5.6  |  -4.8   |  -1.7   |
| 家电行业 | 603726 | 朗迪集团 |  23.1  | 26.5  | -3.9  |  -2.5   |   0.4   |
| 家电行业 | 603677 | 奇精机械 |  22.9  | 26.2  | -4.3  |  -3.7   |  -0.2   |
| 家电行业 | 002290 | 禾盛新材 |  22.2  | 22.8  | -9.9  |  -10.8  |  18.7   |
| 家电行业 | 301008 | 宏昌科技 |  21.2  | 49.1  | -5.3  |  -6.3   |  -0.5   |
| 家电行业 | 603657 | 春光科技 |  19.6  | 32.9  | -5.4  |  -4.0   |  -1.0   |
