[行业>市值]
+--------+--------+----------+--------+--------+------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+------+---------+---------+
| 小金属 | 603993 | 洛阳钼业 | 1127.0 |  15.7  | -4.0 |  -4.7   |  -3.0   |
| 小金属 | 600111 | 北方稀土 | 1077.0 |  17.4  | -4.8 |  -7.5   |  -4.8   |
| 小金属 | 002738 | 中矿资源 | 386.6  |  12.5  | -5.9 |  -6.0   |  -4.1   |
| 小金属 | 600549 | 厦门钨业 | 372.9  |  20.5  | -2.9 |  -1.4   |   5.5   |
| 小金属 | 300748 | 金力永磁 | 366.5  |  55.9  | -3.6 |  -4.4   |  -2.6   |
| 小金属 | 002056 | 横店东磁 | 359.5  |  24.6  | -6.3 |  -10.5  |  -1.5   |
| 小金属 | 600392 | 盛和资源 | 343.2  |  12.0  | -5.2 |  -7.8   |   0.0   |
| 小金属 | 601958 | 金钼股份 | 266.2  |  20.4  | -3.6 |  -4.4   |  -0.8   |
| 小金属 | 000831 | 五矿稀土 | 264.8  |  39.4  | -3.9 |  -7.7   |  -5.3   |
| 小金属 | 600456 | 宝钛股份 | 256.8  |  33.2  | -2.7 |  -6.2   |  -6.4   |
| 小金属 | 000970 | 中科三环 | 249.2  |  37.5  | -3.8 |  -2.3   |   9.0   |
| 小金属 | 000960 | 锡业股份 | 242.3  |  5.0   | -5.4 |  -4.3   |  -2.5   |
| 小金属 | 000657 | 中钨高新 | 180.9  |  42.0  | -5.1 |  -4.9   |   4.1   |
| 小金属 | 600259 | 广晟有色 | 153.5  |  47.1  | -6.4 |  -5.7   |  -3.6   |
| 小金属 | 300224 | 正海磁材 | 142.3  |  42.5  | -5.6 |   1.8   |  11.9   |
| 小金属 | 605376 | 博迁新材 | 137.9  |  80.2  | 2.8  |   4.5   |  12.7   |
| 小金属 | 600206 | 有研新材 | 136.5  |  32.8  | -2.3 |  -2.0   |   0.3   |
| 小金属 | 600366 | 宁波韵升 | 133.0  |  27.7  | -5.9 |  -4.1   |   5.1   |
| 小金属 | 688190 | 云路股份 | 121.9  |  79.6  | 2.9  |   6.5   |  12.8   |
| 小金属 | 300811 | 铂科新材 | 108.4  |  83.9  | -0.8 |   0.4   |   2.3   |
| 小金属 | 603399 | 吉翔股份 | 100.3  | 1289.3 | -7.5 |  -12.8  |  -14.7  |
| 小金属 | 600459 | 贵研铂业 |  99.4  |  13.1  | -3.6 |  -2.6   |   0.8   |
| 小金属 | 002057 | 中钢天源 |  97.9  |  39.5  | -7.1 |  -8.6   |  -3.0   |
| 小金属 | 000795 |  英洛华  |  90.7  |  39.8  | -6.0 |  -7.1   |   7.1   |
| 小金属 | 002428 | 云南锗业 |  76.0  | 217.6  | -5.5 |  -3.0   |  -0.2   |
| 小金属 | 002378 | 章源钨业 |  75.0  |  28.6  | -4.2 |  -3.5   |   0.6   |
| 小金属 | 002149 | 西部材料 |  71.1  |  84.5  | 1.0  |   4.5   |   3.6   |
| 小金属 | 688077 |  大地熊  |  69.1  |  33.0  | -4.1 |  -4.7   |   4.4   |
| 小金属 | 300328 | 宜安科技 |  65.7  | 193.3  | -5.8 |  -9.8   |  -5.9   |
| 小金属 | 300127 | 银河磁体 |  60.8  |  41.5  | -5.4 |  -5.4   |   1.4   |
| 小金属 | 002167 | 东方锆业 |  54.4  |  22.6  | -5.7 |  -7.6   |  -3.7   |
| 小金属 | 300835 | 龙磁科技 |  47.2  |  42.3  | -4.0 |  -2.0   |   6.0   |
| 小金属 | 000962 | 东方钽业 |  44.0  |  22.1  | -5.8 |  -6.3   |  -4.0   |
| 小金属 | 301026 | 浩通科技 |  36.5  |  19.7  | -7.5 |  -9.5   |  -9.0   |
| 小金属 | 000633 | 合金投资 |  32.5  | 343.8  | -7.8 |  -4.2   |  -4.2   |
| 小金属 | 600980 | 北矿科技 |  28.9  |  31.0  | -4.2 |  -5.1   |   2.1   |
| 小金属 | 600281 | 华阳新材 |  26.3  | 240.3  | -3.9 |  -2.9   |   0.8   |
| 小金属 | 002842 | 翔鹭钨业 |  25.1  |  55.8  | -3.9 |  -0.3   |   4.0   |
| 小金属 | 600615 | *ST丰华  |  15.0  | -104.3 | -5.0 |  -0.9   |   1.3   |
+--------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+--------+--------+----------+--------+--------+------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+------+---------+---------+
