[行业>市值]
+--------------+--------+----------+------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+------+---------+---------+
| 工程咨询服务 | 603959 | 百利科技 | 79.1 |  64.3  | -2.7 |   1.8   |  12.9   |
| 工程咨询服务 | 300284 |  苏交科  | 79.0 |  23.9  | -4.6 |  -6.7   |  -5.3   |
| 工程咨询服务 | 000928 | 中钢国际 | 74.2 |  14.4  | -3.3 |  -4.8   |  -2.9   |
| 工程咨询服务 | 003013 | 地铁设计 | 60.9 |  16.2  | -5.0 |  -5.3   |  -3.7   |
| 工程咨询服务 | 301091 |  深城交  | 56.7 | -37.4  | -8.4 |  -1.9   |   0.6   |
| 工程咨询服务 | 603018 | 华设集团 | 56.5 |  15.1  | -7.1 |  -11.0  |  -9.3   |
| 工程咨询服务 | 600629 | 华建集团 | 50.9 |  14.6  | -5.2 |  -7.3   |  -9.3   |
| 工程咨询服务 | 300492 | 华图山鼎 | 50.2 | 922.6  | -2.6 |  -3.0   |  -3.4   |
| 工程咨询服务 | 301136 | 招标股份 | 46.3 | 130.5  | -8.7 |  -10.9  |  -9.5   |
| 工程咨询服务 | 603357 | 设计总院 | 45.8 |  10.3  | -6.4 |  -11.0  |  -10.5  |
| 工程咨询服务 | 300983 | 尤安设计 | 42.1 | -48.6  | -4.6 |  -6.3   |  -4.7   |
| 工程咨询服务 | 000779 |  甘咨询  | 35.4 |  21.9  | -8.1 |  -10.8  |  -9.3   |
| 工程咨询服务 | 002116 | 中国海诚 | 34.0 |  16.2  | -6.4 |  -11.2  |  -9.1   |
| 工程咨询服务 | 300732 |  设研院  | 32.6 |  17.8  | -7.8 |  -9.7   |  -8.5   |
| 工程咨询服务 | 603458 | 勘设股份 | 32.1 |  26.4  | -5.2 |  -6.4   |  -10.2  |
| 工程咨询服务 | 300500 | 启迪设计 | 28.4 | -80.1  | -7.3 |  -9.5   |  -8.2   |
| 工程咨询服务 | 603909 | 建发合诚 | 26.4 | 109.0  | -2.0 |  -3.4   |  -2.1   |
| 工程咨询服务 | 603017 | 中衡设计 | 24.8 |  28.9  | -4.6 |  -5.5   |  -4.4   |
| 工程咨询服务 | 301027 | 华蓝集团 | 24.4 |  36.6  | -5.3 |  -8.6   |  -8.5   |
| 工程咨询服务 | 002949 | 华阳国际 | 24.2 | -158.9 | -4.0 |  -5.8   |  -5.9   |
| 工程咨询服务 | 300746 | 汉嘉设计 | 23.3 |  40.9  | -6.9 |  -8.9   |  -8.5   |
| 工程咨询服务 | 300977 | 深圳瑞捷 | 23.1 | -23.6  | -7.4 |  -8.5   |  -5.5   |
| 工程咨询服务 | 301167 | 建研设计 | 22.2 |  37.0  | -7.7 |  -9.5   |  -8.8   |
| 工程咨询服务 | 300675 |  建科院  | 21.8 | -24.3  | -6.8 |  -9.4   |  -6.5   |
| 工程咨询服务 | 300635 |  中达安  | 21.4 |  71.3  | -5.3 |  -8.2   |  -9.2   |
| 工程咨询服务 | 300989 | 蕾奥规划 | 21.3 |  38.8  | -5.8 |  -6.5   |  -5.2   |
| 工程咨询服务 | 300668 | 杰恩设计 | 21.2 | -32.9  | -3.1 |  -2.2   |  -1.6   |
| 工程咨询服务 | 300778 |  新城市  | 20.9 |  29.7  | -5.7 |  -5.7   |  -4.5   |
| 工程咨询服务 | 300564 | 筑博设计 | 20.7 | 225.0  | -6.9 |  -8.3   |  -7.2   |
| 工程咨询服务 | 300949 | 奥雅股份 | 20.3 | -12.8  | -7.2 |  -8.3   |  -7.9   |
| 工程咨询服务 | 003001 | 中岩大地 | 20.0 |  77.9  | -5.7 |  -6.9   |  -5.3   |
