[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 工程建设 | 601668 | 中国建筑 | 2063.0 |  4.0   | -1.8 |  -3.9   |  -4.1   |
| 工程建设 | 601390 | 中国中铁 | 1386.0 |  4.6   | -1.9 |  -5.6   |  -7.0   |
| 工程建设 | 601800 | 中国交建 | 1256.0 |  6.2   | -3.7 |  -8.2   |  -9.0   |
| 工程建设 | 601669 | 中国电建 | 1044.0 |  9.4   | -5.1 |  -5.9   |  -6.6   |
| 工程建设 | 601186 | 中国铁建 | 975.0  |  4.3   | -2.3 |  -3.9   |  -3.9   |
| 工程建设 | 601868 | 中国能建 | 929.7  |  24.2  | -2.6 |  -3.5   |  -3.0   |
| 工程建设 | 601618 | 中国中冶 | 646.6  |  6.0   | -3.4 |  -5.7   |  -5.8   |
| 工程建设 | 601117 | 中国化学 | 573.7  |  14.7  | -6.6 |  -9.8   |  -9.4   |
| 工程建设 | 600039 | 四川路桥 | 477.1  |  7.6   | -3.5 |  -3.5   |  -3.6   |
| 工程建设 | 002761 | 浙江建投 | 270.7  |  20.6  | -6.7 |  -9.1   |  -9.3   |
| 工程建设 | 600170 | 上海建工 | 243.1  | -34.0  | -2.1 |  -2.3   |  -0.9   |
| 工程建设 | 600970 | 中材国际 | 211.6  |  11.0  | -4.1 |  -5.3   |  -3.3   |
| 工程建设 | 601611 | 中国核建 | 207.4  |  12.3  | -2.6 |  -6.8   |  -6.2   |
| 工程建设 | 603098 | 森特股份 | 168.9  | 102.5  | -4.4 |  -6.8   |  -2.9   |
| 工程建设 | 600248 | 陕西建工 | 168.6  |  5.5   | -4.4 |  -9.0   |  -7.9   |
| 工程建设 | 600820 | 隧道股份 | 165.4  |  13.9  | -3.0 |  -4.5   |  -4.0   |
| 工程建设 | 601068 | 中铝国际 | 136.4  | 102.8  | -3.0 |  -1.7   |  -0.4   |
| 工程建设 | 000498 | 山东路桥 | 128.7  |  13.7  | -9.7 |  -19.3  |  -19.0  |
| 工程建设 | 300712 | 永福股份 | 119.0  | 176.5  | -2.5 |  -5.7   |  -2.0   |
| 工程建设 | 002061 | 浙江交科 | 115.5  |  7.9   | -8.4 |  -11.9  |  -8.5   |
| 工程建设 | 600491 | 龙元建设 | 107.2  |  15.7  | -5.5 |  -0.4   |   1.6   |
| 工程建设 | 000090 | 天健集团 | 100.7  |  2.8   | -5.1 |  -7.9   |  -5.9   |
| 工程建设 | 600502 | 安徽建工 |  97.4  |  7.8   | -6.8 |  -9.7   |  -10.3  |
| 工程建设 | 002135 | 东南网架 |  95.8  |  14.1  | -7.8 |  -9.7   |  -6.9   |
| 工程建设 | 002051 | 中工国际 |  93.2  |  31.3  | -5.3 |  -9.8   |  -11.3  |
| 工程建设 | 002060 |  粤水电  |  90.3  |  47.9  | -6.5 |  -9.1   |  -8.5   |
| 工程建设 | 002941 | 新疆交建 |  89.4  | 576.8  | -6.5 |  -7.1   |  -9.1   |
| 工程建设 | 301058 | 中粮工科 |  84.4  |  73.9  | 3.3  |   0.8   |   4.4   |
| 工程建设 | 002307 | 北新路桥 |  78.0  | 227.7  | -9.2 |  -11.8  |  -10.7  |
| 工程建设 | 000065 | 北方国际 |  72.8  |  17.4  | -5.7 |  -6.1   |  -5.3   |
| 工程建设 | 600939 | 重庆建工 |  70.9  |  19.6  | -6.0 |  -8.1   |  -6.9   |
| 工程建设 | 300982 | 苏文电能 |  67.4  |  39.9  | -3.8 |  -5.4   |  -1.0   |
| 工程建设 | 002062 | 宏润建设 |  65.0  |  15.8  | -6.8 |  -7.4   |  -6.9   |
| 工程建设 | 600284 | 浦东建设 |  63.4  |  10.1  | -5.0 |  -7.5   |  -6.5   |
| 工程建设 | 000628 | 高新发展 |  56.6  | 122.9  | -8.1 |  -11.0  |  -4.4   |
| 工程建设 | 600846 | 同济科技 |  52.2  |  23.3  | -4.1 |  -2.2   |  -0.4   |
| 工程建设 | 601789 | 宁波建工 |  52.2  |  12.7  | -6.4 |  -8.8   |  -7.2   |
| 工程建设 | 002140 | 东华科技 |  50.8  |  15.4  | -8.6 |  -7.1   |  -5.6   |
| 工程建设 | 002374 | 中锐股份 |  50.7  |  99.7  | -7.5 |  -10.7  |  -8.1   |
| 工程建设 | 002586 | *ST围海  |  48.3  | -65.9  | -5.0 |  -6.4   |  -6.8   |
| 工程建设 | 002542 | 中化岩土 |  47.5  | -72.8  | -3.7 |  -6.4   |  -6.1   |
| 工程建设 | 603815 | 交建股份 |  45.5  |  35.8  | -5.8 |  -10.9  |  -9.2   |
| 工程建设 | 600133 | 东湖高新 |  44.6  |  37.1  | -7.0 |  -10.2  |  -7.1   |
| 工程建设 | 600512 | 腾达建设 |  43.6  |  -6.3  | -4.5 |  -5.9   |  -5.2   |
| 工程建设 | 002431 | 棕榈股份 |  43.3  |  -5.8  | -5.5 |  -7.9   |  -6.7   |
| 工程建设 | 300536 | 农尚环境 |  39.8  | 266.6  | -7.9 |  -7.6   |  -9.9   |
| 工程建设 | 000010 | 美丽生态 |  36.3  | 459.6  | -5.2 |  -6.5   |  -6.3   |
| 工程建设 | 603176 | 汇通集团 |  35.1  | -24.7  | -8.0 |  -9.1   |  -10.1  |
| 工程建设 | 300237 | 美晨生态 |  34.6  |  -7.9  | -5.1 |  -7.3   |  -7.3   |
| 工程建设 | 001267 | 汇绿生态 |  33.5  | 164.6  | -5.2 |  -5.7   |  -5.3   |
| 工程建设 | 002663 | 普邦股份 |  33.2  | -20.8  | -4.6 |  -7.5   |  -7.5   |
| 工程建设 | 603843 | 正平股份 |  32.3  | -119.2 | -3.4 |   0.9   |   5.5   |
| 工程建设 | 600853 | 龙建股份 |  30.0  | 173.9  | -5.1 |  -7.8   |  -7.5   |
| 工程建设 | 600769 | 祥龙电业 |  29.9  | 296.6  | -5.6 |  -12.0  |  -11.2  |
| 工程建设 | 605598 | 上海港湾 |  28.9  |  6.9   | -7.1 |  -10.0  |  -5.7   |
| 工程建设 | 301038 | 深水规院 |  28.7  | -14.8  | -8.6 |  -11.3  |  -10.2  |
| 工程建设 | 002628 | 成都路桥 |  27.1  |  38.3  | -4.3 |  -6.0   |  -5.8   |
| 工程建设 | 603955 | 大千生态 |  26.5  | 218.7  | -2.1 |  -5.6   |   0.6   |
| 工程建设 | 300649 | 杭州园林 |  26.2  |  28.8  | -8.8 |  -11.6  |  -11.8  |
| 工程建设 | 300517 | 海波重科 |  25.4  |  21.1  | -5.9 |  -2.2   |   4.7   |
| 工程建设 | 603717 | 天域生态 |  21.8  |  23.8  | -6.1 |  -7.8   |  -6.4   |
| 工程建设 | 301098 | 金埔园林 |  21.3  |  24.7  | -9.1 |  -11.2  |  -9.2   |
| 工程建设 | 603388 | 元成股份 |  21.2  | 155.0  | -6.0 |  -3.9   |  -3.9   |
| 工程建设 | 603778 | 乾景园林 |  20.9  | -51.5  | -4.4 |  -7.1   |  -6.6   |
| 工程建设 | 603637 | 镇海股份 |  20.1  |  37.3  | -4.6 |  -6.0   |  -4.4   |
| 工程建设 | 002775 | 文科园林 |  19.6  | 256.7  | -5.7 |  -8.4   |  -6.6   |
| 工程建设 | 605303 | 园林股份 |  18.4  | -50.0  | -4.8 |  -5.6   |  -4.0   |
| 工程建设 | 301024 | 霍普股份 |  15.5  | -20.5  | -4.9 |  -5.0   |  -3.1   |
| 工程建设 | 603316 | 诚邦股份 |  15.0  | -78.1  | -6.0 |  -6.6   |  -4.9   |
| 工程建设 | 603007 |  ST花王  |  13.6  | -19.5  | -5.1 |  -8.7   |  -8.3   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 工程建设 | 301058 | 中粮工科 |  84.4  |  73.9  | 3.3  |   0.8   |   4.4   |
| 工程建设 | 601668 | 中国建筑 | 2063.0 |  4.0   | -1.8 |  -3.9   |  -4.1   |
| 工程建设 | 601390 | 中国中铁 | 1386.0 |  4.6   | -1.9 |  -5.6   |  -7.0   |
